V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Earnings_codelist,Earnings,Gender_codelist,Gender,Pension Type_codelist,Pension Type
7880.0,,0.3,Year,2016,K02000001,,,All employees,,Total,,All,,Defined benefit
5118.0,,0.5,Year,2016,K02000001,,,All employees,,Total,,All,,Defined contribution
3813.0,,0.6,Year,2016,K02000001,,,All employees,,Total,,All,,Group personal pension
169.0,,3.2,Year,2016,K02000001,,,All employees,,Total,,All,,Group self-invested personal pension
1206.0,,1.1,Year,2016,K02000001,,,All employees,,Total,,All,,Group stakeholder pension
344.0,,2.2,Year,2016,K02000001,,,All employees,,Total,,All,,Unknown pension provision
8865.0,,0.3,Year,2016,K02000001,,,All employees,,Total,,All,,No pension provisiond
212.0,,2.4,Year,2016,K02000001,,,All employees,,Less than £100,,All,,Defined benefit
127.0,,3.2,Year,2016,K02000001,,,All employees,,Less than £100,,All,,Defined contribution
36.0,,6.2,Year,2016,K02000001,,,All employees,,Less than £100,,All,,Group personal pension
,x,27.0,Year,2016,K02000001,,,All employees,,Less than £100,,All,,Group self-invested personal pension
15.0,,9.6,Year,2016,K02000001,,,All employees,,Less than £100,,All,,Group stakeholder pension
5.0,,17.0,Year,2016,K02000001,,,All employees,,Less than £100,,All,,Unknown pension provision
1407.0,,0.9,Year,2016,K02000001,,,All employees,,Less than £100,,All,,No pension provisiond
504.0,,1.6,Year,2016,K02000001,,,All employees,,£100 - £200,,All,,Defined benefit
433.0,,1.7,Year,2016,K02000001,,,All employees,,£100 - £200,,All,,Defined contribution
144.0,,3.1,Year,2016,K02000001,,,All employees,,£100 - £200,,All,,Group personal pension
8.0,,14.0,Year,2016,K02000001,,,All employees,,£100 - £200,,All,,Group self-invested personal pension
78.0,,3.9,Year,2016,K02000001,,,All employees,,£100 - £200,,All,,Group stakeholder pension
19.0,,8.5,Year,2016,K02000001,,,All employees,,£100 - £200,,All,,Unknown pension provision
1954.0,,0.8,Year,2016,K02000001,,,All employees,,£100 - £200,,All,,No pension provisiond
