V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
7880.0,,0.3,Year,2016,K02000001,,,Total,,All,,Defined benefit,,All employees
5118.0,,0.5,Year,2016,K02000001,,,Total,,All,,Defined contribution,,All employees
3813.0,,0.6,Year,2016,K02000001,,,Total,,All,,Group personal pension,,All employees
169.0,,3.2,Year,2016,K02000001,,,Total,,All,,Group self-invested personal pension,,All employees
1206.0,,1.1,Year,2016,K02000001,,,Total,,All,,Group stakeholder pension,,All employees
344.0,,2.2,Year,2016,K02000001,,,Total,,All,,Unknown pension provision,,All employees
8865.0,,0.3,Year,2016,K02000001,,,Total,,All,,No pension provision,,All employees
212.0,,2.4,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,All employees
127.0,,3.2,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,All employees
36.0,,6.2,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,All employees
,x,27.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,All employees
15.0,,9.6,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,All employees
5.0,,17.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,All employees
1407.0,,0.9,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,All employees
504.0,,1.6,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,All employees
433.0,,1.7,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,All employees
144.0,,3.1,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,All employees
8.0,,14.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,All employees
78.0,,3.9,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,All employees
19.0,,8.5,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,All employees
1954.0,,0.8,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,All employees
780.0,,1.3,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,All employees
783.0,,1.3,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,All employees
324.0,,2.1,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,All employees
11.0,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,All employees
133.0,,3.1,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,All employees
44.0,,5.6,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,All employees
1438.0,,1.0,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,All employees
1040.0,,1.1,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,All employees
976.0,,1.2,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,All employees
628.0,,1.5,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,All employees
19.0,,8.7,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,All employees
208.0,,2.6,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,All employees
70.0,,4.6,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,All employees
1349.0,,1.0,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,All employees
1110.0,,1.1,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,All employees
750.0,,1.4,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,All employees
619.0,,1.6,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,All employees
24.0,,8.1,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,All employees
189.0,,2.9,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,All employees
59.0,,5.2,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,All employees
962.0,,1.3,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,All employees
961.0,,1.3,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,All employees
553.0,,1.7,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,All employees
492.0,,1.8,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,All employees
20.0,,9.2,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,All employees
152.0,,3.3,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,All employees
41.0,,6.4,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,All employees
613.0,,1.7,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,All employees
3274.0,,0.6,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,All employees
1495.0,,1.0,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,All employees
1570.0,,1.0,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,All employees
85.0,,4.7,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,All employees
431.0,,2.0,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,All employees
105.0,,4.2,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,All employees
1143.0,,1.2,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,All employees
51.0,,5.7,Year,2016,K02000001,,,1 to 12 employees,,All,,Defined benefit,,1 to 12 employees
176.0,,3.1,Year,2016,K02000001,,,1 to 12 employees,,All,,Defined contribution,,1 to 12 employees
106.0,,4.1,Year,2016,K02000001,,,1 to 12 employees,,All,,Group personal pension,,1 to 12 employees
17.0,,10.0,Year,2016,K02000001,,,1 to 12 employees,,All,,Group self-invested personal pension,,1 to 12 employees
57.0,,5.5,Year,2016,K02000001,,,1 to 12 employees,,All,,Group stakeholder pension,,1 to 12 employees
17.0,,10.0,Year,2016,K02000001,,,1 to 12 employees,,All,,Unknown pension provision,,1 to 12 employees
2354.0,,0.8,Year,2016,K02000001,,,1 to 12 employees,,All,,No pension provision,,1 to 12 employees
,x,29.0,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,1 to 12 employees
7.0,,14.0,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,1 to 12 employees
,x,34.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,1 to 12 employees
,x,58.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,1 to 12 employees
,x,31.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,1 to 12 employees
,x,50.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,1 to 12 employees
306.0,,2.1,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,1 to 12 employees
10.0,,12.0,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,1 to 12 employees
19.0,,8.7,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,1 to 12 employees
8.0,,14.0,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,1 to 12 employees
,x,23.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,1 to 12 employees
4.0,,20.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,1 to 12 employees
,x,31.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,1 to 12 employees
619.0,,1.5,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,1 to 12 employees
8.0,,13.0,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,1 to 12 employees
28.0,,7.3,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,1 to 12 employees
11.0,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,1 to 12 employees
,x,26.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,1 to 12 employees
7.0,,15.0,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,1 to 12 employees
,x,24.0,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,1 to 12 employees
412.0,,1.9,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,1 to 12 employees
8.0,,14.0,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,1 to 12 employees
31.0,,7.1,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,1 to 12 employees
14.0,,11.0,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,1 to 12 employees
,x,26.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,1 to 12 employees
11.0,,13.0,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,1 to 12 employees
,x,22.0,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,1 to 12 employees
336.0,,2.2,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,1 to 12 employees
7.0,,15.0,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,1 to 12 employees
27.0,,7.9,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,1 to 12 employees
14.0,,11.0,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,1 to 12 employees
,x,29.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,1 to 12 employees
8.0,,14.0,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,1 to 12 employees
,x,25.0,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,1 to 12 employees
269.0,,2.5,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,1 to 12 employees
,x,21.0,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,1 to 12 employees
22.0,,9.1,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,1 to 12 employees
10.0,,13.0,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,1 to 12 employees
,x,31.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,1 to 12 employees
6.0,,18.0,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,1 to 12 employees
,x,28.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,1 to 12 employees
166.0,,3.3,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,1 to 12 employees
12.0,,13.0,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,1 to 12 employees
41.0,,6.8,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,1 to 12 employees
48.0,,6.4,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,1 to 12 employees
,x,21.0,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,1 to 12 employees
20.0,,9.7,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,1 to 12 employees
,x,23.0,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,1 to 12 employees
246.0,,2.8,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,1 to 12 employees
406.0,,2.0,Year,2016,K02000001,,,13 to 99 employees,,All,,Defined benefit,,13 to 99 employees
741.0,,1.5,Year,2016,K02000001,,,13 to 99 employees,,All,,Defined contribution,,13 to 99 employees
929.0,,1.3,Year,2016,K02000001,,,13 to 99 employees,,All,,Group personal pension,,13 to 99 employees
44.0,,6.4,Year,2016,K02000001,,,13 to 99 employees,,All,,Group self-invested personal pension,,13 to 99 employees
269.0,,2.5,Year,2016,K02000001,,,13 to 99 employees,,All,,Group stakeholder pension,,13 to 99 employees
99.0,,4.1,Year,2016,K02000001,,,13 to 99 employees,,All,,Unknown pension provision,,13 to 99 employees
2580.0,,0.7,Year,2016,K02000001,,,13 to 99 employees,,All,,No pension provision,,13 to 99 employees
16.0,,9.2,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,13 to 99 employees
17.0,,9.5,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,13 to 99 employees
7.0,,15.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,13 to 99 employees
,x,59.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,13 to 99 employees
4.0,,20.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,13 to 99 employees
,x,32.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,13 to 99 employees
306.0,,2.2,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,13 to 99 employees
45.0,,5.5,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,13 to 99 employees
54.0,,5.2,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,13 to 99 employees
31.0,,6.9,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,13 to 99 employees
,x,28.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,13 to 99 employees
13.0,,11.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,13 to 99 employees
6.0,,16.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,13 to 99 employees
432.0,,1.8,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,13 to 99 employees
65.0,,4.7,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,13 to 99 employees
