V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
28.8,,0.3,Year,2016,K02000001,,,All,,All,,Defined benefit,,All employees
18.7,,0.5,Year,2016,K02000001,,,All,,All,,Defined contribution,,All employees
13.9,,0.6,Year,2016,K02000001,,,All,,All,,Group personal pension,,All employees
0.6,,3.2,Year,2016,K02000001,,,All,,All,,Group self-invested personal pension,,All employees
4.4,,1.1,Year,2016,K02000001,,,All,,All,,Group stakeholder pension,,All employees
1.3,,2.2,Year,2016,K02000001,,,All,,All,,Unknown pension provision,,All employees
32.4,,0.3,Year,2016,K02000001,,,All,,All,,No pension provision,,All employees
11.7,,2.3,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,All employees
7.1,,3.1,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,All employees
2.0,,6.2,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,All employees
,x,27.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,All employees
0.8,,9.5,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,All employees
0.3,,17.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,All employees
78.0,,0.5,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,All employees
16.0,,1.5,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,All employees
13.8,,1.6,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,All employees
4.6,,3.1,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,All employees
0.3,,14.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,All employees
2.5,,3.9,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,All employees
0.6,,8.4,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,All employees
62.2,,0.5,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,All employees
22.2,,1.2,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,All employees
22.3,,1.1,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,All employees
9.2,,2.0,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,All employees
0.3,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,All employees
3.8,,3.0,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,All employees
1.3,,5.6,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,All employees
40.9,,0.8,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,All employees
24.3,,1.0,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,All employees
22.8,,1.1,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,All employees
14.7,,1.4,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,All employees
0.4,,8.7,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,All employees
4.8,,2.5,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,All employees
1.6,,4.5,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,All employees
31.4,,0.9,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,All employees
29.9,,1.0,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,All employees
20.2,,1.3,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,All employees
16.7,,1.5,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,All employees
0.7,,8.1,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,All employees
5.1,,2.8,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,All employees
1.6,,5.2,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,All employees
25.9,,1.1,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,All employees
33.9,,1.1,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,All employees
19.5,,1.5,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,All employees
17.4,,1.7,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,All employees
0.7,,9.1,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,All employees
5.4,,3.2,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,All employees
1.5,,6.4,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,All employees
21.7,,1.5,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,All employees
40.4,,0.6,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,All employees
18.5,,1.0,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,All employees
19.4,,1.0,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,All employees
1.0,,4.7,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,All employees
5.3,,2.0,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,All employees
1.3,,4.2,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,All employees
14.1,,1.2,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,All employees
