V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Contribution_codelist,Contribution,Contributor_codelist,Contributor,Gender_codelist,Gender,Industry_codelist,Industry,Provision_codelist,Provision
1008.0,,1.3,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Total
4545.0,,0.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Total
1008.0,,1.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Total
1130.0,,1.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Total
1189.0,,1.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Total
2708.0,,0.7,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Total
1216.0,,1.2,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Total
4143.0,,0.5,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Total
302.0,,2.2,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Defined benefit
273.0,,2.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Defined benefit
73.0,,5.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Defined benefit
126.0,,3.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Defined benefit
342.0,,2.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Defined benefit
2028.0,,0.8,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Defined benefit
902.0,,1.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Defined benefit
3416.0,,0.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Defined benefit
267.0,,2.6,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Defined contribution
2321.0,,0.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Defined contribution
329.0,,2.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Defined contribution
460.0,,1.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Defined contribution
376.0,,2.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Defined contribution
288.0,,2.5,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Defined contribution
140.0,,3.7,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Defined contribution
268.0,,2.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Defined contribution
300.0,,2.5,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Group personal pension
1302.0,,1.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Group personal pension
451.0,,2.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Group personal pension
396.0,,2.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Group personal pension
347.0,,2.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Group personal pension
