V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Contribution_codelist,Contribution,Contributor_codelist,Contributor,Gender_codelist,Gender,Occupation_codelist,Occupation,Provision_codelist,Provision
1008.0,,1.3,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,All
4545.0,,0.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,All
1008.0,,1.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,All
1130.0,,1.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,All
1189.0,,1.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,All
2708.0,,0.7,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,All
1216.0,,1.2,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,All
4143.0,,0.5,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,All
302.0,,2.2,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Defined benefit
273.0,,2.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Defined benefit
73.0,,5.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Defined benefit
126.0,,3.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Defined benefit
342.0,,2.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Defined benefit
2028.0,,0.8,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Defined benefit
902.0,,1.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Defined benefit
3416.0,,0.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Defined benefit
267.0,,2.6,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Defined contribution
2321.0,,0.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Defined contribution
329.0,,2.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Defined contribution
460.0,,1.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Defined contribution
376.0,,2.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Defined contribution
288.0,,2.5,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Defined contribution
140.0,,3.7,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Defined contribution
268.0,,2.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Defined contribution
300.0,,2.5,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Group personal pension
1302.0,,1.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Group personal pension
451.0,,2.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Group personal pension
396.0,,2.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Group personal pension
347.0,,2.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Group personal pension
274.0,,2.6,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Group personal pension
120.0,,4.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Group personal pension
311.0,,2.5,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Group personal pension
82.0,,4.8,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Group stakeholder pension
422.0,,2.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Group stakeholder pension
126.0,,3.8,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Group stakeholder pension
117.0,,3.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Group stakeholder pension
102.0,,4.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Group stakeholder pension
85.0,,4.7,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Group stakeholder pension
42.0,,6.7,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Group stakeholder pension
88.0,,4.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Group stakeholder pension
26.0,,8.8,Year,2016,K02000001,,,Zero,,Employee,,All,,All employees,,Group self-invested personal pension
47.0,,6.2,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All employees,,Group self-invested personal pension
13.0,,13.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All employees,,Group self-invested personal pension
16.0,,11.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All employees,,Group self-invested personal pension
12.0,,13.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All employees,,Group self-invested personal pension
10.0,,15.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All employees,,Group self-invested personal pension
,x,23.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All employees,,Group self-invested personal pension
16.0,,11.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,All employees,,Group self-invested personal pension
197.0,,3.2,Year,2016,K02000001,,,Zero,,Employee,,All,,"Managers, directors and senior officials",,All
447.0,,2.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Managers, directors and senior officials",,All
137.0,,3.9,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Managers, directors and senior officials",,All
156.0,,3.6,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Managers, directors and senior officials",,All
178.0,,3.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Managers, directors and senior officials",,All
168.0,,3.5,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Managers, directors and senior officials",,All
152.0,,3.6,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Managers, directors and senior officials",,All
355.0,,2.3,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Managers, directors and senior officials",,All
53.0,,6.1,Year,2016,K02000001,,,Zero,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
26.0,,9.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
10.0,,15.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
13.0,,13.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
32.0,,8.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
54.0,,6.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
87.0,,4.8,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
200.0,,3.1,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Managers, directors and senior officials",,Defined benefit
52.0,,6.4,Year,2016,K02000001,,,Zero,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
210.0,,3.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
39.0,,7.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
56.0,,6.1,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
63.0,,5.7,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
53.0,,6.2,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
27.0,,8.8,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
57.0,,6.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Managers, directors and senior officials",,Defined contribution
62.0,,6.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
142.0,,3.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
65.0,,5.7,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
62.0,,5.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
62.0,,5.9,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
41.0,,7.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
25.0,,9.3,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
69.0,,5.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Managers, directors and senior officials",,Group personal pension
15.0,,12.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
44.0,,6.9,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
19.0,,11.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
19.0,,11.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
17.0,,11.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
16.0,,11.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
10.0,,15.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
19.0,,11.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Managers, directors and senior officials",,Group stakeholder pension
9.0,,16.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
6.0,,19.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
