V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Contribution_codelist,Contribution,Contributor_codelist,Contributor,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
1008.0,,1.3,Year,2016,K02000001,,,Zero,,Employee,,All,,All,,All employees
4545.0,,0.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All,,All employees
1008.0,,1.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All,,All employees
1130.0,,1.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All,,All employees
1189.0,,1.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All,,All employees
2708.0,,0.7,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All,,All employees
1216.0,,1.2,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All,,All employees
4143.0,,0.5,Year,2016,K02000001,,,7% and over,,Employee,,All,,All,,All employees
302.0,,2.2,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined benefit,,All employees
273.0,,2.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined benefit,,All employees
73.0,,5.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined benefit,,All employees
126.0,,3.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined benefit,,All employees
342.0,,2.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined benefit,,All employees
2028.0,,0.8,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined benefit,,All employees
902.0,,1.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined benefit,,All employees
3416.0,,0.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined benefit,,All employees
267.0,,2.6,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined contribution,,All employees
2321.0,,0.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined contribution,,All employees
329.0,,2.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined contribution,,All employees
