V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Accommodation type_codelist,Accommodation type,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,HouseholdType
2.636349147,0.668055317,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Domestic burglary with entry and no loss,,All households
7.566589972,1.839089769,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Domestic burglary with entry and no loss,,All households
5.891650731,0.6432567889999999,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Domestic burglary with entry and no loss,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Domestic burglary with entry and no loss,,All households
6.175696283,1.029769851,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Domestic burglary with entry and no loss,,All households
8.093505992999999,1.3724899419999999,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Domestic burglary with entry and no loss,,All households
11.38154509,1.347620309,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Domestic burglary with entry and loss,,All households
11.12889641,2.3848084480000002,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Domestic burglary with entry and loss,,All households
11.28298292,0.751856408,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Domestic burglary with entry and loss,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Domestic burglary with entry and loss,,All households
9.116090716,0.9840314729999999,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Domestic burglary with entry and loss,,All households
13.40832055,1.5262901080000002,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Domestic burglary with entry and loss,,All households
6.099946352000001,0.956808986,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Attempted domestic burglary,,All households
11.47797519,1.7804644930000002,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Attempted domestic burglary,,All households
8.622335855,0.674935255,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Attempted domestic burglary,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Attempted domestic burglary,,All households
