V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Accommodation type_codelist,Accommodation type,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
20.02854228,12.97782559,420,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,16-24,,All adults
28.12126764,12.63984262,499,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,16-24,,All adults
21.25142172,4.979910054,2079,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,16-24,,All adults
33.60165875,9.838982584,738,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,16-24,,All adults
12.03207284,5.372562183,921,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,16-24,,All adults
10.40246907,2.325425133,8833,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,16+,,All adults
13.55910886,2.873072592,5294,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.422769684,1.0706302,29953,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,16+,,All adults
13.88453655,13.81423583,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.433035905,1.72718301,10904,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.623595566,1.510247157,10216,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,16+,,All adults
25.4755592,16.20427095,543,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,25-34,,All adults
11.81359967,4.702320098,1227,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.15983788,2.942836606,4068,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,25-34,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,25-34,,All adults
8.397270466,2.708845874,1505,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,25-34,,All adults
7.121360258,2.816083683,2020,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,25-34,,All adults
8.371547222,3.905431375,1196,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,35-44,,All adults
17.57772976,8.472229883,930,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,35-44,,All adults
7.630260969,1.929044514,4862,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,35-44,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,35-44,,All adults
3.396605919,2.187939455,1832,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,35-44,,All adults
11.27355168,3.621670464,1834,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,35-44,,All adults
10.7719474,4.824187439,1590,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,45-54,,All adults
12.26395003,5.233251164,767,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.46343101,2.935492029,5403,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,45-54,,All adults
14.40577263,5.709520399,2005,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,45-54,,All adults
14.80613903,4.3439681,1808,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,45-54,,All adults
14.92667196,5.223573387,1762,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,55-64,,All adults
8.39909845,3.995648362,684,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.505856862,1.980470365,4954,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,11,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,55-64,,All adults
3.13409425,1.257220273,1748,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,55-64,,All adults
3.820160417,2.013965895,1444,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.167668214,1.018378369,1910,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.3367823,1.768359218,638,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.056483032,0.648969297,4913,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,65-74,,All adults
