V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Employment status_codelist,Employment status,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
23.41343776,7.857654372,831,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,16-24,,All adults
10.64990825,10.74814281,35,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,16-24,,All adults
25.2890593,25.25954469,124,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,16-24,,All adults
0,0,46,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,16-24,,All adults
25.04500495,9.019203306,626,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,16-24,,All adults
19.70527226,5.44903016,1575,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,16-24,,All adults
42.29101624,30.51322771,178,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,16-24,,All adults
6.572490554,1.166982208,14222,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,16+,,All adults
19.5499859,5.330515348,1577,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.27635731,3.213623779,1530,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,16+,,All adults
1.565316084,1.565694311,430,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,16+,,All adults
1.443808182,0.36783388,9914,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,16+,,All adults
22.73994954,8.049315184,771,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,16+,,All adults
11.53325949,1.395549028,20450,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,16+,,All adults
22.64026243,12.59146137,696,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,16+,,All adults
12.95273221,5.61011543,839,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,25-34,,All adults
38.42177806,29.91610491,145,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,25-34,,All adults
9.070705487,4.606971222,518,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,25-34,,All adults
6.318180877,6.334027849,82,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,25-34,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,25-34,,All adults
5.539446075,5.562714488,92,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.34500554,2.851322523,4314,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,25-34,,All adults
3.443725868,3.448607546,149,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,25-34,,All adults
7.061114166,3.530384616,804,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,35-44,,All adults
18.81305442,11.55811822,272,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,35-44,,All adults
2.873314999,2.102000271,437,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,57,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,35-44,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,35-44,,All adults
