V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Ethnic group_codelist,Ethnic group,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0,0,204,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,16-24,,All adults
11.54553869,11.49565892,93,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,16-24,,All adults
0,0,77,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,16-24,,All adults
0,0,43,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,16-24,,All adults
27.15409353,5.779202527,2166,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,16-24,,All adults
3.306780336,1.264720735,1956,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,16+,,All adults
2.869022232,1.999137011,1026,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,16+,,All adults
4.033955457,2.927135026,370,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,16+,,All adults
5.541929859,4.187827546,349,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,16+,,All adults
10.99544307,1.137329231,31673,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,16+,,All adults
0.864187762,0.865520836,498,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,25-34,,All adults
0,0,185,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,25-34,,All adults
5.83093884,5.838925493,104,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,25-34,,All adults
0,0,76,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,25-34,,All adults
12.76250687,3.096224853,4439,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,25-34,,All adults
3.910780932,2.761422937,563,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,35-44,,All adults
2.157143019,2.158308285,262,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,35-44,,All adults
12.88809093,12.92967863,79,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,35-44,,All adults
15.42977298,15.30061515,88,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,35-44,,All adults
9.934408639,2.530030315,4809,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,35-44,,All adults
14.94595659,7.32013309,295,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,45-54,,All adults
2.359940661,2.361055683,234,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,55,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,45-54,,All adults
11.93973542,11.92356541,62,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.81993792,2.988206699,5545,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,197,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,147,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,33,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,44,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,55-64,,All adults
8.344300479,2.011351068,5234,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,116,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,65-74,,All adults
