V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,HRP Age_codelist,HRP Age,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0.975982598,0.379724694,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.5165111929999999,0.12452651699999999,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.7324363159999999,0.12459959699999999,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.487767994,0.08938337199999999,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.432647334,0.092463696,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.231394145,0.06819136,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.34771757799999997,0.095173115,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
1.4720428269999999,0.36432962799999996,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.8800506570000001,0.137891942,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
1.147302392,0.145267066,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.898336103,0.10971702,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.868093991,0.122551459,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.882524394,0.130131769,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.635070655,0.126439456,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.730317133,0.237820549,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.945316268,0.143293594,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.922307931,0.129960989,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.8036352040000001,0.10958913599999999,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.8168929640000001,0.121128054,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.612592163,0.101425146,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.34446440700000003,0.08471621300000001,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Attempted domestic burglary,, ,, 
2.399076946,0.520760625,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.396561849,0.185365657,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.866127219,0.18986260600000002,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.353939616,0.138700805,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.259312556,0.15019696,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.11391854,0.14622918699999998,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Domestic burglary with entry,, ,, 
0.9586953509999999,0.15614831,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Domestic burglary with entry,, ,, 
3.080445601,0.565046237,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Domestic burglary,, ,, 
2.28577981,0.22931942100000002,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Domestic burglary,, ,, 
2.730378237,0.22516898,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Domestic burglary,, ,, 
2.15757482,0.174166563,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Domestic burglary,, ,, 
2.01244013,0.189529513,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Domestic burglary,, ,, 
1.726510702,0.176307603,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Domestic burglary,, ,, 
1.289197267,0.17657378199999998,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Domestic burglary,, ,, 
5.34638036,0.6957572940000001,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,All vehicle crime,, ,, 
5.890393743,0.347635123,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,All vehicle crime,, ,, 
6.709692866,0.339689289,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,All vehicle crime,, ,, 
7.050570474,0.316993118,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,All vehicle crime,, ,, 
5.299205317,0.313977891,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,All vehicle crime,, ,, 
3.080032216,0.237307205,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,All vehicle crime,, ,, 
1.315326668,0.17456196699999998,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,All vehicle crime,, ,, 
10.91123957,1.395527172,520,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,All vehicle crime,, ,, 
7.897314123999999,0.46072346399999997,3625,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,All vehicle crime,, ,, 
8.205138818,0.41247224299999996,5028,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,All vehicle crime,, ,, 
8.231331665,0.367601685,6303,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,All vehicle crime,, ,, 
6.337759103,0.37204176299999997,5193,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,All vehicle crime,, ,, 
