V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,HRP occupation_codelist,HRP occupation,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0.337449305,0.247670253,462,Quarter,2017 Q1,K04000001,,,Full-time students,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.479159341,0.08253935,7909,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.397391285,0.060460781,13579,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
1.003350695,0.319506894,1103,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.0,0.0,417,Quarter,2017 Q1,K04000001,,,Not classified,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.566282511,0.084333522,11864,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.748560021,0.392524105,462,Quarter,2017 Q1,K04000001,,,Full-time students,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.7719722920000001,0.101815758,7909,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.867215835,0.080458102,13579,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
1.549911732,0.384779298,1103,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.684852695,0.395265204,417,Quarter,2017 Q1,K04000001,,,Not classified,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
1.023670107,0.09595038800000001,11864,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.244259804,0.175301312,462,Quarter,2017 Q1,K04000001,,,Full-time students,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.616996168,0.089170334,7909,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.709977256,0.076186577,13579,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Prevalence rate,,Attempted domestic burglary,, ,, 
1.392372027,0.35421877700000004,1103,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.0,0.0,417,Quarter,2017 Q1,K04000001,,,Not classified,,Prevalence rate,,Attempted domestic burglary,, ,, 
0.88863202,0.087124286,11864,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Prevalence rate,,Attempted domestic burglary,, ,, 
1.0860093259999999,0.46340051299999996,462,Quarter,2017 Q1,K04000001,,,Full-time students,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.222380373,0.128909512,7909,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.253455925,0.099382296,13579,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Prevalence rate,,Domestic burglary with entry,, ,, 
2.464577454,0.48781055,1103,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Prevalence rate,,Domestic burglary with entry,, ,, 
0.684852695,0.395265204,417,Quarter,2017 Q1,K04000001,,,Not classified,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.56882239,0.12502855400000001,11864,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Prevalence rate,,Domestic burglary with entry,, ,, 
1.33026913,0.491715715,462,Quarter,2017 Q1,K04000001,,,Full-time students,,Prevalence rate,,Domestic burglary,, ,, 
1.811255259,0.153792599,7909,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Prevalence rate,,Domestic burglary,, ,, 
1.9379161719999998,0.12415491099999999,13579,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Prevalence rate,,Domestic burglary,, ,, 
3.779592827,0.589417241,1103,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Prevalence rate,,Domestic burglary,, ,, 
0.684852695,0.395265204,417,Quarter,2017 Q1,K04000001,,,Not classified,,Prevalence rate,,Domestic burglary,, ,, 
