V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Highest qualification_codelist,Highest qualification,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
14.99347703,6.568742176,832,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,16-24,,All adults
19.24767658,9.82645835,705,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,16-24,,All adults
45.46162531,20.24249976,244,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,All adults
29.63719727,8.8553075,726,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,16-24,,All adults
0,0,69,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,16-24,,All adults
12.37460448,2.515373911,6091,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.250207375,1.592734776,14072,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.359705404,1.822284128,7262,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,All adults
11.89250166,2.491520361,6413,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,16+,,All adults
6.112709145,2.717207045,1467,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.910937913,3.503091692,943,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,25-34,,All adults
8.09136885,3.482143631,2736,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,25-34,,All adults
27.21978309,10.5381155,540,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,All adults
9.363950462,6.09864206,873,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,25-34,,All adults
7.319893747,7.29169853,200,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,25-34,,All adults
16.3549992,7.757085582,919,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,35-44,,All adults
5.197108938,1.798796416,3134,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,35-44,,All adults
14.23748868,5.785949796,550,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,All adults
11.78342539,7.368140849,972,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,35-44,,All adults
10.3572927,10.33580102,217,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,35-44,,All adults
19.46722132,8.001862734,1054,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,45-54,,All adults
