V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Level of physical disorder in immediate area_codelist,Level of physical disorder in immediate area,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
23.43961992,11.52485245,210,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,16-24,,All adults
22.41676939,5.042395384,2362,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,16-24,,All adults
19.92359482,5.271200554,1842,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.493790427,1.024043436,33325,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,16+,,All adults
19.03765785,11.7676843,405,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,25-34,,All adults
9.93997249,2.56527053,4855,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,25-34,,All adults
36.25021446,19.62911777,347,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,35-44,,All adults
7.389253946,1.82263561,5429,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,35-44,,All adults
8.134943678,6.937355976,336,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.6701175,2.814186276,5819,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,45-54,,All adults
23.54955996,11.18306156,254,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,55-64,,All adults
6.908598407,1.85295591,5361,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,55-64,,All adults
5.244487243,5.239146341,186,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.179731258,0.638037567,5377,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,104,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.934813008,0.491548072,4122,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,75+,,All adults
2.808762898,2.820440791,113,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,16-24,,Female
16.32618882,5.2743587,1241,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,16-24,,Female
16.33274835,5.573696271,969,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,16+,,Female
8.27860459,1.271179122,17874,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,16+,,Female
22.98051717,18.00447505,247,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,25-34,,Female
8.763102412,2.859656795,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,25-34,,Female
32.44528338,14.06775105,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,35-44,,Female
5.386713026,1.778454846,2930,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,163,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.44938411,4.553774073,3078,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,45-54,,Female
45.85618224,23.73417734,116,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,55-64,,Female
7.868335768,2.6041058,2802,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,99,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.479856739,0.33975185,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,58,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,75+,,Female
0.711970602,0.51589234,2283,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,75+,,Female
40.97033573,20.98399695,97,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,16-24,,Male
28.31769308,8.24204967,1121,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,16-24,,Male
23.26702239,8.773995389,873,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,16+,,Male
