V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Long-standing illness or disability _codelist,Long-standing illness or disability ,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
60.60351165,23.90852253,317,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,16-24,,All adults
49.787901,24.89767856,231,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,All adults
17.48984596,4.302270633,2267,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,All adults
84.75043935,53.63880131,86,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,All adults
14.08780504,2.635724693,8552,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,16+,,All adults
12.84636024,2.863775545,6764,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.787593168,1.052102223,26770,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,16+,,All adults
18.44138454,6.36703027,1781,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,16+,,All adults
37.49059686,18.82760895,606,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,25-34,,All adults
50.2680075,26.4752747,439,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,All adults
7.548969994,1.725008071,4697,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,All adults
6.984951229,6.979922771,166,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,All adults
12.79907467,4.362503826,839,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,35-44,,All adults
10.90505215,5.074262988,640,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,All adults
8.473667822,2.308051297,4959,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,All adults
18.51698736,8.486073161,199,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,All adults
14.67888549,4.980038962,1329,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,45-54,,All adults
