V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Number of hours out of home on an average weekday_codelist,Number of hours out of home on an average weekday,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
16.99938915,5.826688945,752,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,16-24,,All adults
19.1822178,5.197809663,1554,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,16-24,,All adults
60.19585177,31.09070063,280,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,16-24,,All adults
8.046653514,1.395864318,9317,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,16+,,All adults
12.99188512,1.669818654,15372,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,16+,,All adults
6.581358204,1.685629264,10594,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,16+,,All adults
15.56374558,5.99171361,1099,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.03293475,3.10825082,3398,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,25-34,,All adults
5.876624441,4.101320391,798,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,25-34,,All adults
8.359866796,2.767577119,1285,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,35-44,,All adults
10.40717153,3.070814087,3547,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,35-44,,All adults
5.505120496,2.960109431,965,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,35-44,,All adults
8.140225843,3.567159087,1341,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,45-54,,All adults
15.07996971,3.876813064,3859,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.46625942,5.106178082,973,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,45-54,,All adults
3.26188599,1.500042971,1612,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,55-64,,All adults
12.73641961,3.921256959,2407,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,55-64,,All adults
3.863830833,1.546598988,1616,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.785191066,1.112702314,2121,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,65-74,,All adults
3.658133448,2.660421351,513,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.674908645,0.787876366,2920,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.590986313,0.591447251,1107,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,94,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.044226227,0.62500384,3042,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,75+,,All adults
7.130382119,3.680452271,415,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,16-24,,Female
13.88056728,4.930142329,770,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,16-24,,Female
