V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Number of visits to a nightclub last month_codelist,Number of visits to a nightclub last month,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
19.61837086,11.00649488,607,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,16-24,,All adults
9.656197886,9.652618265,167,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,16-24,,All adults
24.84874908,5.533557332,1813,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,All adults
9.669944026,5.025360479,1864,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.902106405,7.454285568,289,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,16+,,All adults
10.04842612,1.014903107,33249,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,All adults
1.973594959,1.484765429,682,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.40961085,10.40823666,68,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,25-34,,All adults
11.87722261,2.926588435,4555,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,All adults
1.055451236,1.054677217,317,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,12,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,35-44,,All adults
9.590566385,2.206016285,5485,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,160,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.64140032,2.744250976,6023,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,62,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,16,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.666841016,1.847364206,5585,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,32,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.283505597,0.641921494,5546,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.907772528,0.47735017,4242,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,All adults
15.25359145,15.1694765,327,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,70,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,16-24,,Female
16.73805968,4.718550896,965,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,Female
8.493924402,7.309565563,946,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,16+,,Female
0,0,109,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,16+,,Female
8.753429787,1.233211751,17920,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,Female
3.028665798,3.026399409,345,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,22,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,25-34,,Female
10.72659997,3.337425019,2677,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,Female
2.348680283,2.354930946,152,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,35-44,,Female
7.087663656,1.934457503,2969,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,45-54,,Female
14.96011525,4.409472459,3180,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,55-64,,Female
9.331696891,2.673823151,2914,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.465320178,0.329465501,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,75+,,Female
0.689993697,0.49997428,2351,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,Female
23.83625172,15.9281836,280,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,16-24,,Male
16.73752672,16.72756502,97,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,16-24,,Male
32.83498518,9.598816279,848,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,Male
10.70194846,6.918369254,918,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,16+,,Male
14.41827421,12.07093744,180,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,16+,,Male
11.42845902,1.596487877,15329,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,Male
1.131857873,1.133015948,337,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,25-34,,Male
13.60262706,13.6148119,46,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,25-34,,Male
13.09680595,4.879571029,1878,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,165,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,35-44,,Male
12.16835596,3.925922215,2516,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,45-54,,Male
12.27624806,3.266738759,2843,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,37,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.931559054,2.555608928,2671,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,17,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.2443809,1.286208355,2682,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Acquaintance violence,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Acquaintance violence,,75+,,Male
1.193639088,0.886821668,1891,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,Male
14.6018598,5.753411884,607,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,16-24,,All adults
18.60184686,13.25139901,167,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,16-24,,All adults
16.74258205,4.805206443,1813,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,All adults
8.326685595,2.811343546,1864,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,16+,,All adults
18.77676923,10.58902726,289,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,16+,,All adults
5.90205936,0.709996836,33249,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,All adults
2.371921829,1.473822138,682,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,25-34,,All adults
30.58401303,22.99566122,68,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.488013369,1.785332468,4555,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.622481576,7.60949993,317,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,35-44,,All adults
0,0,12,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.69092333,1.405086357,5485,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,35-44,,All adults
0,0,160,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,45-54,,All adults
8.007173991,1.922015367,6023,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,45-54,,All adults
0,0,62,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,16,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,55-64,,All adults
2.985833643,0.882063911,5585,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,32,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,65-74,,All adults
