V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Occupation_codelist,Occupation,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
29.02611079,8.648267983,913,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,16-24,,All adults
4.697195811,4.689279813,311,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,16-24,,All adults
1.751527598,1.359652076,397,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,16-24,,All adults
30.37731692,30.17424274,190,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,16-24,,All adults
0,0,14,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,16-24,,All adults
29.2790561,8.410652848,763,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,16-24,,All adults
28.16459521,7.971979327,1140,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,16+,,All adults
6.86906107,1.390725706,8293,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,16+,,All adults
7.290684405,1.531417486,12440,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.855007231,6.586000666,1340,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,16+,,All adults
0,0,324,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,16+,,All adults
12.07313855,1.66487441,11883,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,16+,,All adults
32.30645644,28.86819793,139,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.02945714,3.264668103,1106,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,25-34,,All adults
6.901010973,4.502844656,2050,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,25-34,,All adults
2.558084663,2.558852179,259,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,25-34,,All adults
0,0,42,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,25-34,,All adults
14.80993041,4.233092945,1713,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,25-34,,All adults
0,0,51,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,35-44,,All adults
10.94540106,5.06360047,1317,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,35-44,,All adults
6.29264284,2.298938777,2607,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,35-44,,All adults
5.686633791,4.030535336,200,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,71,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,35-44,,All adults
13.49603729,5.178081855,1570,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,26,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,45-54,,All adults
9.399860269,4.276203295,1616,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.00223766,4.753083875,2388,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,45-54,,All adults
8.613291243,6.17068586,172,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,50,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,45-54,,All adults
17.68868029,5.028452416,1944,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,55-64,,All adults
4.21852637,1.769126729,1448,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,55-64,,All adults
11.47917441,4.16521116,1985,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,160,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,50,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,55-64,,All adults
6.859176094,2.724893588,2013,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,55-64,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,65-74,,All adults
