V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
7.257546807,4.28337585,276,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
15.88065047,11.97246727,257,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
21.21088527,4.773826544,2418,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
2.964676599,2.962591303,324,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
29.73336827,19.05099887,170,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
20.51438023,16.05153933,276,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
32.28872079,15.83674629,329,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
9.292162765,6.941401482,229,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
45.95254474,25.4235919,170,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
51.97510372,22.48441521,295,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
19.42996705,11.93498276,262,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,16-24,,All adults
7.079253432,1.760950606,3227,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,16+,,All adults
15.05869904,3.196486625,4091,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.682183705,1.029065001,32742,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,16+,,All adults
1.209799339,0.564808213,4139,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,16+,,All adults
13.49682677,5.537182833,2059,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.407581883,2.52628587,4278,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,16+,,All adults
13.30923167,3.246787668,4683,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.808602829,3.058640587,3769,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,16+,,All adults
15.53949509,4.475549311,2678,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,16+,,All adults
16.18327974,5.219779928,3232,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,16+,,All adults
7.208961406,2.15055132,3264,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,16+,,All adults
11.39184143,5.665618083,493,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
7.802282612,5.356628959,627,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.89469977,2.623748256,4958,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
0,0,841,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
2.50822097,2.509479552,306,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
15.74534288,6.279960823,616,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
14.30054132,5.161568961,657,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
15.86268031,12.25051407,481,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
2.77791281,2.764437138,351,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
24.62056408,19.10184106,488,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
12.44600836,7.173993569,449,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.22714209,4.69134012,487,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
31.10134423,12.47857898,718,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
8.637390711,2.106489684,5449,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
2.663198412,1.6861573,928,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
2.805857809,2.807158779,292,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0.376454472,0.37673859,655,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
17.1555129,8.246628944,794,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,556,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
19.37295408,12.25019069,367,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
1.495431667,1.49810571,506,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
5.849662832,4.055379995,513,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,35-44,,All adults
4.543150701,2.541057795,591,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
21.40430306,9.60341452,696,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
12.86773575,2.732621262,5752,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
1.523073594,1.07706366,725,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
37.0417713,27.05732733,326,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
14.74216527,7.166264742,781,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
9.728546333,6.841030226,875,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
20.66550895,9.327007569,685,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
20.73330463,12.73322673,444,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
18.59629023,12.44285245,520,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
6.336976912,3.259824769,553,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,45-54,,All adults
8.010207006,5.664783829,499,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
16.99165659,8.028189354,643,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
6.725293533,1.838048917,5181,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,550,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
18.06637398,14.12243536,323,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.154916157,1.541874088,742,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
13.73391234,7.645381419,757,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
3.608377861,2.678304721,633,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
20.46799731,9.615446269,483,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
1.022585832,1.02575112,489,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
1.06862428,1.066754138,545,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,55-64,,All adults
5.830941107,3.402445404,530,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.799930492,0.798731353,665,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.29786439,0.669186739,5108,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,420,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,366,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.918366477,1.394270338,704,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.79569538,0.796113395,684,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
7.02451781,3.750812486,684,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.749512371,1.742606706,484,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.737817063,1.297344254,524,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.782618467,1.782357112,531,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,351,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,75+,,All adults
3.200008218,3.212173786,485,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.969479053,0.509789369,3876,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,351,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,276,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.221831102,1.222981017,504,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.089863961,1.08580592,587,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,501,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,379,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,410,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,75+,,All adults
2.444675499,2.432999086,411,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,145,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,16-24,,Female
8.879384139,6.35417923,136,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,16-24,,Female
