V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Tenure_codelist,Tenure,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
8.786069863,4.347545988,775,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,16-24,,All adults
13.64427397,5.057455041,1220,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,16-24,,All adults
29.74577772,6.746116097,1769,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,16-24,,All adults
72.75904133,20.14091703,549,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,16-24,,All adults
7.414597144,1.043179151,22626,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,16+,,All adults
11.30062341,2.434964951,6626,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,16+,,All adults
14.57375562,2.053857487,12566,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,16+,,All adults
19.27651669,3.548511835,5940,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.020722495,3.136852482,2206,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,25-34,,All adults
9.596992326,4.516712904,2119,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,25-34,,All adults
11.71518693,3.714037336,3080,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,25-34,,All adults
17.43414379,6.328692066,961,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,25-34,,All adults
6.27468905,2.048942372,3492,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,35-44,,All adults
15.29436972,6.468066969,1364,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,35-44,,All adults
13.77650272,4.323006082,2292,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,35-44,,All adults
11.40048273,4.521018598,928,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,35-44,,All adults
14.74141729,3.54591167,4260,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.10738569,5.606555347,850,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,45-54,,All adults
9.856761545,3.090984116,1904,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,45-54,,All adults
7.3144702,3.343857038,1054,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,45-54,,All adults
7.684276223,2.248228311,4184,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,55-64,,All adults
3.68266471,3.673916273,550,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.377748542,2.641690759,1442,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,55-64,,All adults
9.900489746,3.665896539,892,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.071823596,0.656818877,4370,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.122188847,1.12328001,323,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,65-74,,All adults
3.172838432,1.893737321,1182,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,65-74,,All adults
3.982112447,2.609068079,859,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.131778217,0.594993584,3339,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,200,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,897,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,697,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,75+,,All adults
3.397816944,3.395116721,380,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,16-24,,Female
9.275285183,3.813740156,636,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,16-24,,Female
21.3379083,7.13305348,958,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,16-24,,Female
50.76622113,22.46011228,322,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,16-24,,Female
7.167279535,1.494336709,11960,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,16+,,Female
7.123855237,1.831546737,3416,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,16+,,Female
11.33717124,2.099270252,6902,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,16+,,Female
16.47016309,4.080493085,3486,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,16+,,Female
9.946011483,5.196199353,1218,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,25-34,,Female
3.519248392,2.589382696,1167,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,25-34,,Female
9.656411397,3.386974704,1815,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,25-34,,Female
23.51168629,9.351921468,648,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,25-34,,Female
3.135491165,1.527757355,1882,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,35-44,,Female
