V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Total household income_codelist,Total household income,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
34.76631688,15.58256827,406,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,16-24,,All adults
47.72145993,23.27312573,322,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,16-24,,All adults
11.47262523,7.239301415,227,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,16-24,,All adults
39.73465482,21.79791366,168,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,16-24,,All adults
19.85774458,12.11507474,377,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,16-24,,All adults
13.00276711,5.010781316,826,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,16-24,,All adults
10.95888654,9.934178561,260,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,16-24,,All adults
9.081179936,1.956737348,6899,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,16+,,All adults
12.10599095,3.282431566,5286,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,16+,,All adults
12.3091852,3.07404162,4045,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,16+,,All adults
12.24761058,3.36258831,2960,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,16+,,All adults
7.349387374,1.803675441,6816,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,16+,,All adults
9.199325469,2.375094313,6045,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,16+,,All adults
12.2414021,3.034423311,3363,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,16+,,All adults
12.99317136,5.459034541,893,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,25-34,,All adults
13.50962972,6.498867135,862,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,25-34,,All adults
5.237281801,3.893690548,761,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,25-34,,All adults
4.7104881,2.764983253,592,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,25-34,,All adults
4.762871228,2.189451274,1180,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,25-34,,All adults
17.90446614,11.1604929,673,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,25-34,,All adults
29.64318477,15.75903659,346,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.80131589,4.058520989,756,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,35-44,,All adults
2.675568846,2.674196599,785,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,35-44,,All adults
17.28856118,8.276152359,761,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,35-44,,All adults
11.63867387,8.112318305,623,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,35-44,,All adults
4.44182229,1.611453249,1811,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,35-44,,All adults
12.71608881,8.730303026,735,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,35-44,,All adults
18.29094193,10.71697995,343,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,35-44,,All adults
4.420460871,2.409655028,855,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,45-54,,All adults
17.28984589,9.329755852,857,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,45-54,,All adults
30.89864688,12.94681898,770,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,45-54,,All adults
12.81734437,6.246865527,650,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,45-54,,All adults
5.853044733,3.486018495,1765,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.82664365,6.999819236,859,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,45-54,,All adults
28.61392638,11.82637977,440,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,45-54,,All adults
3.505187777,1.780272601,1052,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,55-64,,All adults
8.813996322,5.956400266,848,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.719409612,3.738179919,663,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,55-64,,All adults
14.09013866,8.149159213,513,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,55-64,,All adults
11.43794449,5.393528633,1090,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,55-64,,All adults
1.211013819,1.211786613,911,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,55-64,,All adults
8.102227188,4.310550858,587,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,55-64,,All adults
5.413753998,2.069141078,1559,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.984093886,0.739661799,1020,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.790134871,0.790725712,579,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,283,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,65-74,,All adults
3.926461229,2.770654116,435,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.57662038,0.576751394,1032,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.217241926,1.217915872,684,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.592531801,1.207412398,1378,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,592,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,284,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,131,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,158,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,75+,,All adults
0.687594077,0.687746627,1009,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.722072933,1.722669952,703,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,75+,,All adults
20.85401348,9.761402605,241,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,16-24,,Female
38.10066978,31.8037343,169,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,16-24,,Female
