V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Total_codelist,Total,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
22.38019545,4.70036408,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,16-24,,All adults
9.99929105,1.001313832,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,16+,,All adults
10.51277344,2.503539562,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,25-34,,All adults
9.124526487,2.086258727,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,35-44,,All adults
13.29384629,2.674826141,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,45-54,,All adults
7.564630701,1.822792793,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.2622919390000003,0.635901103,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.904845535,0.475812152,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,75+,,All adults
15.20348261,4.850718838,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,16-24,,Female
8.638510604,1.231067617,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,16+,,Female
9.744184859,2.942803782,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,25-34,,Female
6.854030022000001,1.842842395,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,35-44,,Female
14.61095688,4.306860865,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,45-54,,Female
9.239873398,2.647340012,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.461565514,0.326807493,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.688512267,0.498901255,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,75+,,Female
29.25079475,7.698136803,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,16-24,,Male
11.41877163,1.560517549,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,16+,,Male
11.28368126,4.055203917,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.43341335,3.68964268,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,35-44,,Male
11.93641755,3.176508057,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,45-54,,Male
5.831051264,2.512447843,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.19937616,1.272311571,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,65-74,,Male
1.188106549,0.882717001,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Acquaintance violence,,75+,,Male
16.39146636,3.706314401,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,16-24,,All adults
6.249832542,0.692586936,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,16+,,All adults
7.093246624,1.561452109,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,25-34,,All adults
5.779454447999999,1.386209997,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,35-44,,All adults
7.803168131,1.87330291,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,45-54,,All adults
2.94602807,0.8703836429999999,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,55-64,,All adults
