V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender
62.66217,,2011-2013,E06000057,,,Male
61.05533,,2011-2013,E06000004,,,Male
59.92651,,2011-2013,E08000022,,,Male
59.2714,,2011-2013,E06000003,,,Male
58.8895,,2011-2013,E08000024,,,Male
58.36136,,2011-2013,E06000047,,,Male
57.81718,,2011-2013,E08000021,,,Male
57.76408,,2011-2013,E08000023,,,Male
57.64601,,2011-2013,E06000002,,,Male
57.52061,,2011-2013,E08000037,,,Male
56.28373,,2011-2013,E06000001,,,Male
62.70222,,2011-2013,E10000006,,,Male
62.453,,2011-2013,E08000013,,,Male
62.02515,,2011-2013,E06000007,,,Male
61.91366,,2011-2013,E08000002,,,Male
61.32539,,2011-2013,E10000017,,,Male
61.27481,,2011-2013,E08000001,,,Male
61.05178,,2011-2013,E08000010,,,Male
60.83053,,2011-2013,E08000004,,,Male
60.81081,,2011-2013,E08000014,,,Male
59.82658,,2011-2013,E08000015,,,Male
59.46071,,2011-2013,E08000005,,,Male
58.27762,,2011-2013,E06000006,,,Male
57.95351,,2011-2013,E08000003,,,Male
57.93521,,2011-2013,E08000008,,,Male
57.86231,,2011-2013,E08000006,,,Male
57.52442,,2011-2013,E08000011,,,Male
57.50152,,2011-2013,E06000008,,,Male
57.22392,,2011-2013,E08000012,,,Male
54.89308,,2011-2013,E06000009,,,Male
62.49313,,2011-2013,E06000013,,,Male
62.27143,,2011-2013,E08000034,,,Male
61.87985,,2011-2013,E08000032,,,Male
61.71235,,2011-2013,E08000033,,,Male
60.83871,,2011-2013,E08000019,,,Male
60.57434,,2011-2013,E08000035,,,Male
58.29499,,2011-2013,E08000017,,,Male
58.0962,,2011-2013,E08000036,,,Male
57.40095,,2011-2013,E06000010,,,Male
57.13759,,2011-2013,E08000018,,,Male
56.29989,,2011-2013,E08000016,,,Male
62.7858,,2011-2013,E10000007,,,Male
61.91495,,2011-2013,E10000024,,,Male
61.31439,,2011-2013,E06000015,,,Male
58.81706,,2011-2013,E06000018,,,Male
56.1103,,2011-2013,E06000016,,,Male
62.76012,,2011-2013,E10000028,,,Male
62.2859,,2011-2013,E08000027,,,Male
61.44993,,2011-2013,E08000026,,,Male
60.9212,,2011-2013,E06000021,,,Male
60.11224,,2011-2013,E06000020,,,Male
59.95571,,2011-2013,E08000030,,,Male
59.66203,,2011-2013,E08000028,,,Male
58.76405,,2011-2013,E08000025,,,Male
56.56518,,2011-2013,E08000031,,,Male
62.61598,,2011-2013,E06000033,,,Male
