V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender
79.10782,,2011-2013,E06000057,,,Male
77.8464,,2011-2013,E06000004,,,Male
76.78582,,2011-2013,E08000022,,,Male
75.41194,,2011-2013,E06000003,,,Male
76.19959,,2011-2013,E08000024,,,Male
74.78335,,2011-2013,E06000047,,,Male
73.95556,,2011-2013,E08000021,,,Male
75.21701,,2011-2013,E08000023,,,Male
75.19666,,2011-2013,E06000002,,,Male
74.30386,,2011-2013,E08000037,,,Male
72.38216,,2011-2013,E06000001,,,Male
79.3419,,2011-2013,E10000006,,,Male
80.0951,,2011-2013,E08000013,,,Male
79.18017,,2011-2013,E06000007,,,Male
79.15047,,2011-2013,E08000002,,,Male
78.3609,,2011-2013,E10000017,,,Male
78.96977,,2011-2013,E08000001,,,Male
78.60674,,2011-2013,E08000010,,,Male
78.41093,,2011-2013,E08000004,,,Male
77.9047,,2011-2013,E08000014,,,Male
76.87553,,2011-2013,E08000015,,,Male
77.02176,,2011-2013,E08000005,,,Male
75.36384,,2011-2013,E06000006,,,Male
76.77138,,2011-2013,E08000003,,,Male
75.34553,,2011-2013,E08000008,,,Male
75.49054,,2011-2013,E08000006,,,Male
75.005,,2011-2013,E08000011,,,Male
74.91789,,2011-2013,E06000008,,,Male
75.05094,,2011-2013,E08000012,,,Male
73.8799,,2011-2013,E06000009,,,Male
80.03059,,2011-2013,E06000013,,,Male
79.4277,,2011-2013,E08000034,,,Male
79.6576,,2011-2013,E08000032,,,Male
79.11721,,2011-2013,E08000033,,,Male
77.21213,,2011-2013,E08000019,,,Male
77.35093,,2011-2013,E08000035,,,Male
75.19729,,2011-2013,E08000017,,,Male
74.60265,,2011-2013,E08000036,,,Male
74.97491,,2011-2013,E06000010,,,Male
73.15435,,2011-2013,E08000018,,,Male
72.0675,,2011-2013,E08000016,,,Male
79.04747,,2011-2013,E10000007,,,Male
77.74283,,2011-2013,E10000024,,,Male
78.05095,,2011-2013,E06000015,,,Male
