V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender,Life Measure_codelist,Life Measure
78.41497,Year,2013,E06000005,,,Male,,Life Expectancy
63.41104,Year,2013,E06000005,,,Male,,Healthy Life Expectancy
79.2111,Year,2013,E06000057,,,Male,,Life Expectancy
62.66217,Year,2013,E06000057,,,Male,,Healthy Life Expectancy
78.43052,Year,2013,E06000004,,,Male,,Life Expectancy
61.05533,Year,2013,E06000004,,,Male,,Healthy Life Expectancy
78.04373,Year,2013,E08000022,,,Male,,Life Expectancy
59.92651,Year,2013,E08000022,,,Male,,Healthy Life Expectancy
78.59684,Year,2013,E06000003,,,Male,,Life Expectancy
59.2714,Year,2013,E06000003,,,Male,,Healthy Life Expectancy
77.28322,Year,2013,E08000024,,,Male,,Life Expectancy
58.8895,Year,2013,E08000024,,,Male,,Healthy Life Expectancy
78.04058,Year,2013,E06000047,,,Male,,Life Expectancy
58.36136,Year,2013,E06000047,,,Male,,Healthy Life Expectancy
78.17827,Year,2013,E08000021,,,Male,,Life Expectancy
57.81718,Year,2013,E08000021,,,Male,,Healthy Life Expectancy
76.79657,Year,2013,E08000023,,,Male,,Life Expectancy
57.76408,Year,2013,E08000023,,,Male,,Healthy Life Expectancy
76.66034,Year,2013,E06000002,,,Male,,Life Expectancy
57.64601,Year,2013,E06000002,,,Male,,Healthy Life Expectancy
77.41268,Year,2013,E08000037,,,Male,,Life Expectancy
57.52061,Year,2013,E08000037,,,Male,,Healthy Life Expectancy
77.75912,Year,2013,E06000001,,,Male,,Life Expectancy
56.28373,Year,2013,E06000001,,,Male,,Healthy Life Expectancy
80.41986,Year,2013,E06000049,,,Male,,Life Expectancy
68.04963,Year,2013,E06000049,,,Male,,Healthy Life Expectancy
79.85232,Year,2013,E08000009,,,Male,,Life Expectancy
65.70617,Year,2013,E08000009,,,Male,,Healthy Life Expectancy
79.73159,Year,2013,E08000007,,,Male,,Life Expectancy
65.57,Year,2013,E08000007,,,Male,,Healthy Life Expectancy
79.24303,Year,2013,E06000050,,,Male,,Life Expectancy
64.83366,Year,2013,E06000050,,,Male,,Healthy Life Expectancy
79.02788,Year,2013,E10000006,,,Male,,Life Expectancy
62.70222,Year,2013,E10000006,,,Male,,Healthy Life Expectancy
77.97356,Year,2013,E08000013,,,Male,,Life Expectancy
62.453,Year,2013,E08000013,,,Male,,Healthy Life Expectancy
78.3342,Year,2013,E06000007,,,Male,,Life Expectancy
62.02515,Year,2013,E06000007,,,Male,,Healthy Life Expectancy
78.22274,Year,2013,E08000002,,,Male,,Life Expectancy
61.91366,Year,2013,E08000002,,,Male,,Healthy Life Expectancy
78.26019,Year,2013,E10000017,,,Male,,Life Expectancy
61.32539,Year,2013,E10000017,,,Male,,Healthy Life Expectancy
77.59275,Year,2013,E08000001,,,Male,,Life Expectancy
61.27481,Year,2013,E08000001,,,Male,,Healthy Life Expectancy
77.66736,Year,2013,E08000010,,,Male,,Life Expectancy
61.05178,Year,2013,E08000010,,,Male,,Healthy Life Expectancy
77.57914,Year,2013,E08000004,,,Male,,Life Expectancy
60.83053,Year,2013,E08000004,,,Male,,Healthy Life Expectancy
78.05795,Year,2013,E08000014,,,Male,,Life Expectancy
60.81081,Year,2013,E08000014,,,Male,,Healthy Life Expectancy
77.82266,Year,2013,E08000015,,,Male,,Life Expectancy
59.82658,Year,2013,E08000015,,,Male,,Healthy Life Expectancy
77.19988,Year,2013,E08000005,,,Male,,Life Expectancy
59.46071,Year,2013,E08000005,,,Male,,Healthy Life Expectancy
77.32836,Year,2013,E06000006,,,Male,,Life Expectancy
58.27762,Year,2013,E06000006,,,Male,,Healthy Life Expectancy
75.48843,Year,2013,E08000003,,,Male,,Life Expectancy
57.95351,Year,2013,E08000003,,,Male,,Healthy Life Expectancy
76.8927,Year,2013,E08000008,,,Male,,Life Expectancy
57.93521,Year,2013,E08000008,,,Male,,Healthy Life Expectancy
76.64842,Year,2013,E08000006,,,Male,,Life Expectancy
57.86231,Year,2013,E08000006,,,Male,,Healthy Life Expectancy
76.69412,Year,2013,E08000011,,,Male,,Life Expectancy
57.52442,Year,2013,E08000011,,,Male,,Healthy Life Expectancy
76.75272,Year,2013,E06000008,,,Male,,Life Expectancy
57.50152,Year,2013,E06000008,,,Male,,Healthy Life Expectancy
76.24677,Year,2013,E08000012,,,Male,,Life Expectancy
57.22392,Year,2013,E08000012,,,Male,,Healthy Life Expectancy
74.30042,Year,2013,E06000009,,,Male,,Life Expectancy
54.89308,Year,2013,E06000009,,,Male,,Healthy Life Expectancy
80.05021,Year,2013,E06000011,,,Male,,Life Expectancy
65.22284,Year,2013,E06000011,,,Male,,Healthy Life Expectancy
77.88107,Year,2013,E06000012,,,Male,,Life Expectancy
63.78782,Year,2013,E06000012,,,Male,,Healthy Life Expectancy
80.10877,Year,2013,E10000023,,,Male,,Life Expectancy
63.56145,Year,2013,E10000023,,,Male,,Healthy Life Expectancy
79.41339,Year,2013,E06000014,,,Male,,Life Expectancy
63.4379,Year,2013,E06000014,,,Male,,Healthy Life Expectancy
78.08655,Year,2013,E06000013,,,Male,,Life Expectancy
62.49313,Year,2013,E06000013,,,Male,,Healthy Life Expectancy
78.40014,Year,2013,E08000034,,,Male,,Life Expectancy
62.27143,Year,2013,E08000034,,,Male,,Healthy Life Expectancy
77.6823,Year,2013,E08000032,,,Male,,Life Expectancy
61.87985,Year,2013,E08000032,,,Male,,Healthy Life Expectancy
78.00118,Year,2013,E08000033,,,Male,,Life Expectancy
61.71235,Year,2013,E08000033,,,Male,,Healthy Life Expectancy
78.79424,Year,2013,E08000019,,,Male,,Life Expectancy
60.83871,Year,2013,E08000019,,,Male,,Healthy Life Expectancy
78.31106,Year,2013,E08000035,,,Male,,Life Expectancy
60.57434,Year,2013,E08000035,,,Male,,Healthy Life Expectancy
77.52272,Year,2013,E08000017,,,Male,,Life Expectancy
58.29499,Year,2013,E08000017,,,Male,,Healthy Life Expectancy
77.87418,Year,2013,E08000036,,,Male,,Life Expectancy
58.0962,Year,2013,E08000036,,,Male,,Healthy Life Expectancy
76.56021,Year,2013,E06000010,,,Male,,Life Expectancy
57.40095,Year,2013,E06000010,,,Male,,Healthy Life Expectancy
78.10552,Year,2013,E08000018,,,Male,,Life Expectancy
57.13759,Year,2013,E08000018,,,Male,,Healthy Life Expectancy
78.12105,Year,2013,E08000016,,,Male,,Life Expectancy
