V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,Growth Period_codelist,Growth Period,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
16.9,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
17.7,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
9.7,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
16.4,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
19.7,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
18.2,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
31.3,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
15.3,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
11.0,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
11.8,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
8.2,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
10.6,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
-5.0,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-4.3,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-3.7,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-4.2,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
8.7,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
7.3,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
19.4,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
7.8,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
0.1,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
0.0,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
1.1,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
-1.2,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
7.0,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
6.4,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
12.9,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
7.8,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
1.6,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
0.7,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
8.8,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
1.4,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
6.6,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
5.9,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
11.4,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
7.3,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
