V4_0,Time_codelist,Time,Geography_codelist,Geography,Flow_codelist,Flow,Transactions_codelist,Transactions,Merger or Acquisition_codelist,Merger or Acquisition
42,Year,1986,K02000001,,,Inward,,Direct Transactions,,Acquisition
52,Year,1987,K02000001,,,Inward,,Direct Transactions,,Acquisition
78,Year,1988,K02000001,,,Inward,,Direct Transactions,,Acquisition
122,Year,1989,K02000001,,,Inward,,Direct Transactions,,Acquisition
113,Year,1990,K02000001,,,Inward,,Direct Transactions,,Acquisition
120,Year,1991,K02000001,,,Inward,,Direct Transactions,,Acquisition
171,Year,1992,K02000001,,,Inward,,Direct Transactions,,Acquisition
204,Year,1993,K02000001,,,Inward,,Direct Transactions,,Acquisition
132,Year,1994,K02000001,,,Inward,,Direct Transactions,,Acquisition
96,Year,1995,K02000001,,,Inward,,Direct Transactions,,Acquisition
102,Year,1996,K02000001,,,Inward,,Direct Transactions,,Acquisition
146,Year,1997,K02000001,,,Inward,,Direct Transactions,,Acquisition
207,Year,1998,K02000001,,,Inward,,Direct Transactions,,Acquisition
179,Year,1999,K02000001,,,Inward,,Direct Transactions,,Acquisition
172,Year,2000,K02000001,,,Inward,,Direct Transactions,,Acquisition
113,Year,2001,K02000001,,,Inward,,Direct Transactions,,Acquisition
93,Year,2002,K02000001,,,Inward,,Direct Transactions,,Acquisition
76,Year,2003,K02000001,,,Inward,,Direct Transactions,,Acquisition
128,Year,2004,K02000001,,,Inward,,Direct Transactions,,Acquisition
175,Year,2005,K02000001,,,Inward,,Direct Transactions,,Acquisition
178,Year,2006,K02000001,,,Inward,,Direct Transactions,,Acquisition
200,Year,2007,K02000001,,,Inward,,Direct Transactions,,Acquisition
179,Year,2008,K02000001,,,Inward,,Direct Transactions,,Acquisition
87,Year,2009,K02000001,,,Inward,,Direct Transactions,,Acquisition
161,Year,2010,K02000001,,,Inward,,Direct Transactions,,Acquisition
158,Year,2011,K02000001,,,Inward,,Direct Transactions,,Acquisition
103,Year,2012,K02000001,,,Inward,,Direct Transactions,,Acquisition
94,Year,2013,K02000001,,,Inward,,Direct Transactions,,Acquisition
78,Year,2014,K02000001,,,Inward,,Direct Transactions,,Acquisition
150,Year,2015,K02000001,,,Inward,,Direct Transactions,,Acquisition
274,Year,2016,K02000001,,,Inward,,Direct Transactions,,Acquisition
8,Year,1987,K02000001,,,Inward,,In USA,,Disposal
7,Year,1988,K02000001,,,Inward,,In USA,,Disposal
9,Year,1989,K02000001,,,Inward,,In USA,,Disposal
7,Year,1990,K02000001,,,Inward,,In USA,,Disposal
7,Year,1991,K02000001,,,Inward,,In USA,,Disposal
