V4_0,Time_codelist,Time,Geography_codelist,Geography,Transactions_codelist,Transactions,Flow_codelist,Flow
1077,Year,1986,K02000001,,,Direct Transactions,,Acquisition
1935,Year,1987,K02000001,,,Direct Transactions,,Acquisition
2301,Year,1988,K02000001,,,Direct Transactions,,Acquisition
6196,Year,1989,K02000001,,,Direct Transactions,,Acquisition
7006,Year,1990,K02000001,,,Direct Transactions,,Acquisition
3679,Year,1991,K02000001,,,Direct Transactions,,Acquisition
3157,Year,1992,K02000001,,,Direct Transactions,,Acquisition
3874,Year,1993,K02000001,,,Direct Transactions,,Acquisition
3615,Year,1994,K02000001,,,Direct Transactions,,Acquisition
8697,Year,1995,K02000001,,,Direct Transactions,,Acquisition
4555,Year,1996,K02000001,,,Direct Transactions,,Acquisition
8594,Year,1997,K02000001,,,Direct Transactions,,Acquisition
21052,Year,1998,K02000001,,,Direct Transactions,,Acquisition
34888,Year,1999,K02000001,,,Direct Transactions,,Acquisition
56892,Year,2000,K02000001,,,Direct Transactions,,Acquisition
11697,Year,2001,K02000001,,,Direct Transactions,,Acquisition
13729,Year,2002,K02000001,,,Direct Transactions,,Acquisition
2978,Year,2003,K02000001,,,Direct Transactions,,Acquisition
23527,Year,2004,K02000001,,,Direct Transactions,,Acquisition
32193,Year,2005,K02000001,,,Direct Transactions,,Acquisition
53578,Year,2006,K02000001,,,Direct Transactions,,Acquisition
62475,Year,2007,K02000001,,,Direct Transactions,,Acquisition
36101,Year,2008,K02000001,,,Direct Transactions,,Acquisition
21091,Year,2009,K02000001,,,Direct Transactions,,Acquisition
33540,Year,2010,K02000001,,,Direct Transactions,,Acquisition
17112,Year,2011,K02000001,,,Direct Transactions,,Acquisition
11659,Year,2012,K02000001,,,Direct Transactions,,Acquisition
8391,Year,2013,K02000001,,,Direct Transactions,,Acquisition
10404,Year,2014,K02000001,,,Direct Transactions,,Acquisition
29009,Year,2015,K02000001,,,Direct Transactions,,Acquisition
184656,Year,2016,K02000001,,,Direct Transactions,,Acquisition
1198,Year,1987,K02000001,,,Total Value,,Disposal
668,Year,1988,K02000001,,,Total Value,,Disposal
3017,Year,1989,K02000001,,,Total Value,,Disposal
1200,Year,1990,K02000001,,,Total Value,,Disposal
1027,Year,1991,K02000001,,,Total Value,,Disposal
1407,Year,1992,K02000001,,,Total Value,,Disposal
1111,Year,1993,K02000001,,,Total Value,,Disposal
1476,Year,1994,K02000001,,,Total Value,,Disposal
1511,Year,1995,K02000001,,,Total Value,,Disposal
1033,Year,1996,K02000001,,,Total Value,,Disposal
1478,Year,1997,K02000001,,,Total Value,,Disposal
3471,Year,1998,K02000001,,,Total Value,,Disposal
5518,Year,1999,K02000001,,,Total Value,,Disposal
4464,Year,2001,K02000001,,,Total Value,,Disposal
7912,Year,2002,K02000001,,,Total Value,,Disposal
3620,Year,2003,K02000001,,,Total Value,,Disposal
5514,Year,2004,K02000001,,,Total Value,,Disposal
8387,Year,2005,K02000001,,,Total Value,,Disposal
14208,Year,2006,K02000001,,,Total Value,,Disposal
7524,Year,2007,K02000001,,,Total Value,,Disposal
5139,Year,2008,K02000001,,,Total Value,,Disposal
7820,Year,2009,K02000001,,,Total Value,,Disposal
9891,Year,2010,K02000001,,,Total Value,,Disposal
11748,Year,2011,K02000001,,,Total Value,,Disposal
1913,Year,2013,K02000001,,,Total Value,,Disposal
2794,Year,2014,K02000001,,,Total Value,,Disposal
7451,Year,2015,K02000001,,,Total Value,,Disposal
6143,Year,2016,K02000001,,,Total Value,,Disposal
683,Quarter,1987 Q1,K02000001,,,Total Value,,Disposal
267,Quarter,1987 Q2,K02000001,,,Total Value,,Disposal
71,Quarter,1987 Q3,K02000001,,,Total Value,,Disposal
177,Quarter,1987 Q4,K02000001,,,Total Value,,Disposal
139,Quarter,1988 Q1,K02000001,,,Total Value,,Disposal
331,Quarter,1988 Q2,K02000001,,,Total Value,,Disposal
27,Quarter,1988 Q3,K02000001,,,Total Value,,Disposal
171,Quarter,1988 Q4,K02000001,,,Total Value,,Disposal
66,Quarter,1989 Q1,K02000001,,,Total Value,,Disposal
1431,Quarter,1989 Q2,K02000001,,,Total Value,,Disposal
662,Quarter,1989 Q3,K02000001,,,Total Value,,Disposal
858,Quarter,1989 Q4,K02000001,,,Total Value,,Disposal
264,Quarter,1990 Q1,K02000001,,,Total Value,,Disposal
760,Quarter,1990 Q2,K02000001,,,Total Value,,Disposal
127,Quarter,1990 Q3,K02000001,,,Total Value,,Disposal
49,Quarter,1990 Q4,K02000001,,,Total Value,,Disposal
47,Quarter,1991 Q1,K02000001,,,Total Value,,Disposal
318,Quarter,1991 Q2,K02000001,,,Total Value,,Disposal
536,Quarter,1991 Q3,K02000001,,,Total Value,,Disposal
126,Quarter,1991 Q4,K02000001,,,Total Value,,Disposal
556,Quarter,1992 Q1,K02000001,,,Total Value,,Disposal
113,Quarter,1992 Q2,K02000001,,,Total Value,,Disposal
377,Quarter,1992 Q3,K02000001,,,Total Value,,Disposal
361,Quarter,1992 Q4,K02000001,,,Total Value,,Disposal
343,Quarter,1993 Q1,K02000001,,,Total Value,,Disposal
158,Quarter,1993 Q2,K02000001,,,Total Value,,Disposal
272,Quarter,1993 Q3,K02000001,,,Total Value,,Disposal
338,Quarter,1993 Q4,K02000001,,,Total Value,,Disposal
747,Quarter,1994 Q1,K02000001,,,Total Value,,Disposal
289,Quarter,1994 Q2,K02000001,,,Total Value,,Disposal
328,Quarter,1994 Q3,K02000001,,,Total Value,,Disposal
112,Quarter,1994 Q4,K02000001,,,Total Value,,Disposal
84,Quarter,1995 Q1,K02000001,,,Total Value,,Disposal
219,Quarter,1995 Q2,K02000001,,,Total Value,,Disposal
182,Quarter,1995 Q3,K02000001,,,Total Value,,Disposal
1026,Quarter,1995 Q4,K02000001,,,Total Value,,Disposal
2,Quarter,1996 Q1,K02000001,,,Total Value,,Disposal
542,Quarter,1996 Q2,K02000001,,,Total Value,,Disposal
264,Quarter,1996 Q3,K02000001,,,Total Value,,Disposal
225,Quarter,1996 Q4,K02000001,,,Total Value,,Disposal
119,Quarter,1997 Q1,K02000001,,,Total Value,,Disposal
140,Quarter,1997 Q2,K02000001,,,Total Value,,Disposal
358,Quarter,1997 Q3,K02000001,,,Total Value,,Disposal
861,Quarter,1997 Q4,K02000001,,,Total Value,,Disposal
566,Quarter,1998 Q1,K02000001,,,Total Value,,Disposal
1490,Quarter,1998 Q2,K02000001,,,Total Value,,Disposal
1176,Quarter,1998 Q3,K02000001,,,Total Value,,Disposal
239,Quarter,1998 Q4,K02000001,,,Total Value,,Disposal
482,Quarter,1999 Q1,K02000001,,,Total Value,,Disposal
335,Quarter,1999 Q2,K02000001,,,Total Value,,Disposal
236,Quarter,1999 Q3,K02000001,,,Total Value,,Disposal
4465,Quarter,1999 Q4,K02000001,,,Total Value,,Disposal
898,Quarter,2000 Q1,K02000001,,,Total Value,,Disposal
2743,Quarter,2000 Q2,K02000001,,,Total Value,,Disposal
2076,Quarter,2001 Q1,K02000001,,,Total Value,,Disposal
747,Quarter,2001 Q2,K02000001,,,Total Value,,Disposal
557,Quarter,2001 Q3,K02000001,,,Total Value,,Disposal
1084,Quarter,2001 Q4,K02000001,,,Total Value,,Disposal
3524,Quarter,2002 Q1,K02000001,,,Total Value,,Disposal
1645,Quarter,2002 Q2,K02000001,,,Total Value,,Disposal
1770,Quarter,2002 Q3,K02000001,,,Total Value,,Disposal
973,Quarter,2002 Q4,K02000001,,,Total Value,,Disposal
313,Quarter,2003 Q1,K02000001,,,Total Value,,Disposal
1098,Quarter,2003 Q2,K02000001,,,Total Value,,Disposal
1631,Quarter,2003 Q3,K02000001,,,Total Value,,Disposal
578,Quarter,2003 Q4,K02000001,,,Total Value,,Disposal
983,Quarter,2004 Q1,K02000001,,,Total Value,,Disposal
271,Quarter,2004 Q2,K02000001,,,Total Value,,Disposal
3246,Quarter,2004 Q3,K02000001,,,Total Value,,Disposal
1014,Quarter,2004 Q4,K02000001,,,Total Value,,Disposal
3328,Quarter,2005 Q1,K02000001,,,Total Value,,Disposal
544,Quarter,2005 Q2,K02000001,,,Total Value,,Disposal
1639,Quarter,2005 Q3,K02000001,,,Total Value,,Disposal
2876,Quarter,2005 Q4,K02000001,,,Total Value,,Disposal
431,Quarter,2006 Q1,K02000001,,,Total Value,,Disposal
1837,Quarter,2006 Q2,K02000001,,,Total Value,,Disposal
5715,Quarter,2006 Q3,K02000001,,,Total Value,,Disposal
6225,Quarter,2006 Q4,K02000001,,,Total Value,,Disposal
638,Quarter,2007 Q1,K02000001,,,Total Value,,Disposal
5274,Quarter,2007 Q2,K02000001,,,Total Value,,Disposal
903,Quarter,2007 Q3,K02000001,,,Total Value,,Disposal
709,Quarter,2007 Q4,K02000001,,,Total Value,,Disposal
766,Quarter,2008 Q1,K02000001,,,Total Value,,Disposal
2140,Quarter,2008 Q2,K02000001,,,Total Value,,Disposal
568,Quarter,2008 Q3,K02000001,,,Total Value,,Disposal
1665,Quarter,2008 Q4,K02000001,,,Total Value,,Disposal
2157,Quarter,2009 Q1,K02000001,,,Total Value,,Disposal
236,Quarter,2009 Q2,K02000001,,,Total Value,,Disposal
2715,Quarter,2009 Q3,K02000001,,,Total Value,,Disposal
2712,Quarter,2009 Q4,K02000001,,,Total Value,,Disposal
332,Quarter,2010 Q1,K02000001,,,Total Value,,Disposal
1092,Quarter,2010 Q2,K02000001,,,Total Value,,Disposal
3448,Quarter,2010 Q3,K02000001,,,Total Value,,Disposal
5019,Quarter,2010 Q4,K02000001,,,Total Value,,Disposal
