V4_0,Time_codelist,Time,Geography_codelist,Geography,RSI Industry_codelist,RSI Industry,Series type_codelist,Series type,Seasonal adjustment_codelist,Seasonal adjustment
63.5,Month,Nov-07,K03000001,,47.19,,CPP,,NSA,
70.3,Month,Dec-07,K03000001,,47.19,,CPP,,NSA,
69.4,Month,Jan-08,K03000001,,47.19,,CPP,,NSA,
65.3,Month,Feb-08,K03000001,,47.19,,CPP,,NSA,
57.2,Month,Mar-08,K03000001,,47.19,,CPP,,NSA,
58.6,Month,Apr-08,K03000001,,47.19,,CPP,,NSA,
52,Month,May-08,K03000001,,47.19,,CPP,,NSA,
54.1,Month,Jun-08,K03000001,,47.19,,CPP,,NSA,
47,Month,Jul-08,K03000001,,47.19,,CPP,,NSA,
50.6,Month,Aug-08,K03000001,,47.19,,CPP,,NSA,
47.8,Month,Sep-08,K03000001,,47.19,,CPP,,NSA,
42.7,Month,Oct-08,K03000001,,47.19,,CPP,,NSA,
39.3,Month,Nov-08,K03000001,,47.19,,CPP,,NSA,
39.9,Month,Dec-08,K03000001,,47.19,,CPP,,NSA,
39.5,Month,Jan-09,K03000001,,47.19,,CPP,,NSA,
33,Month,Feb-09,K03000001,,47.19,,CPP,,NSA,
20.6,Month,Mar-09,K03000001,,47.19,,CPP,,NSA,
36,Month,Apr-09,K03000001,,47.19,,CPP,,NSA,
26.2,Month,May-09,K03000001,,47.19,,CPP,,NSA,
25.6,Month,Jun-09,K03000001,,47.19,,CPP,,NSA,
28,Month,Jul-09,K03000001,,47.19,,CPP,,NSA,
16.3,Month,Aug-09,K03000001,,47.19,,CPP,,NSA,
16.6,Month,Sep-09,K03000001,,47.19,,CPP,,NSA,
28.1,Month,Oct-09,K03000001,,47.19,,CPP,,NSA,
51.6,Month,Nov-09,K03000001,,47.19,,CPP,,NSA,
33.2,Month,Dec-09,K03000001,,47.19,,CPP,,NSA,
16.6,Month,Jan-10,K03000001,,47.19,,CPP,,NSA,
-4.5,Month,Feb-10,K03000001,,47.19,,CPP,,NSA,
21.2,Month,Mar-10,K03000001,,47.19,,CPP,,NSA,
5.4,Month,Apr-10,K03000001,,47.19,,CPP,,NSA,
20.5,Month,May-10,K03000001,,47.19,,CPP,,NSA,
13.8,Month,Jun-10,K03000001,,47.19,,CPP,,NSA,
5.1,Month,Jul-10,K03000001,,47.19,,CPP,,NSA,
3,Month,Aug-10,K03000001,,47.19,,CPP,,NSA,
9.7,Month,Sep-10,K03000001,,47.19,,CPP,,NSA,
6.3,Month,Oct-10,K03000001,,47.19,,CPP,,NSA,
8.2,Month,Nov-10,K03000001,,47.19,,CPP,,NSA,
24.2,Month,Dec-10,K03000001,,47.19,,CPP,,NSA,
27.1,Month,Jan-11,K03000001,,47.19,,CPP,,NSA,
16.2,Month,Feb-11,K03000001,,47.19,,CPP,,NSA,
17.2,Month,Mar-11,K03000001,,47.19,,CPP,,NSA,
12.9,Month,Apr-11,K03000001,,47.19,,CPP,,NSA,
13.2,Month,May-11,K03000001,,47.19,,CPP,,NSA,
26.9,Month,Jun-11,K03000001,,47.19,,CPP,,NSA,
22.9,Month,Jul-11,K03000001,,47.19,,CPP,,NSA,
24.2,Month,Aug-11,K03000001,,47.19,,CPP,,NSA,
22.1,Month,Sep-11,K03000001,,47.19,,CPP,,NSA,
17.8,Month,Oct-11,K03000001,,47.19,,CPP,,NSA,
10.2,Month,Nov-11,K03000001,,47.19,,CPP,,NSA,
20.8,Month,Dec-11,K03000001,,47.19,,CPP,,NSA,
13.1,Month,Jan-12,K03000001,,47.19,,CPP,,NSA,
20.4,Month,Feb-12,K03000001,,47.19,,CPP,,NSA,
14.7,Month,Mar-12,K03000001,,47.19,,CPP,,NSA,
27.4,Month,Apr-12,K03000001,,47.19,,CPP,,NSA,
17.4,Month,May-12,K03000001,,47.19,,CPP,,NSA,
16.2,Month,Jun-12,K03000001,,47.19,,CPP,,NSA,
22.3,Month,Jul-12,K03000001,,47.19,,CPP,,NSA,
20.2,Month,Aug-12,K03000001,,47.19,,CPP,,NSA,
19.2,Month,Sep-12,K03000001,,47.19,,CPP,,NSA,
19.7,Month,Oct-12,K03000001,,47.19,,CPP,,NSA,
26.8,Month,Nov-12,K03000001,,47.19,,CPP,,NSA,
34.6,Month,Dec-12,K03000001,,47.19,,CPP,,NSA,
33.4,Month,Jan-13,K03000001,,47.19,,CPP,,NSA,
27.2,Month,Feb-13,K03000001,,47.19,,CPP,,NSA,
19.7,Month,Mar-13,K03000001,,47.19,,CPP,,NSA,
16.8,Month,Apr-13,K03000001,,47.19,,CPP,,NSA,
16.8,Month,May-13,K03000001,,47.19,,CPP,,NSA,
33.5,Month,Jun-13,K03000001,,47.19,,CPP,,NSA,
24.1,Month,Jul-13,K03000001,,47.19,,CPP,,NSA,
29.8,Month,Aug-13,K03000001,,47.19,,CPP,,NSA,
30,Month,Sep-13,K03000001,,47.19,,CPP,,NSA,
39.6,Month,Oct-13,K03000001,,47.19,,CPP,,NSA,
31.9,Month,Nov-13,K03000001,,47.19,,CPP,,NSA,
38.3,Month,Dec-13,K03000001,,47.19,,CPP,,NSA,
9.2,Month,Jan-14,K03000001,,47.19,,CPP,,NSA,
20.7,Month,Feb-14,K03000001,,47.19,,CPP,,NSA,
21.4,Month,Mar-14,K03000001,,47.19,,CPP,,NSA,
31,Month,Apr-14,K03000001,,47.19,,CPP,,NSA,
24.1,Month,May-14,K03000001,,47.19,,CPP,,NSA,
8,Month,Jun-14,K03000001,,47.19,,CPP,,NSA,
16.1,Month,Jul-14,K03000001,,47.19,,CPP,,NSA,
19.8,Month,Aug-14,K03000001,,47.19,,CPP,,NSA,
4.6,Month,Sep-14,K03000001,,47.19,,CPP,,NSA,
1.8,Month,Oct-14,K03000001,,47.19,,CPP,,NSA,
19.5,Month,Nov-14,K03000001,,47.19,,CPP,,NSA,
-3.5,Month,Dec-14,K03000001,,47.19,,CPP,,NSA,
11.5,Month,Jan-15,K03000001,,47.19,,CPP,,NSA,
9.2,Month,Feb-15,K03000001,,47.19,,CPP,,NSA,
12.5,Month,Mar-15,K03000001,,47.19,,CPP,,NSA,
3.7,Month,Apr-15,K03000001,,47.19,,CPP,,NSA,
11.6,Month,May-15,K03000001,,47.19,,CPP,,NSA,
15,Month,Jun-15,K03000001,,47.19,,CPP,,NSA,
11.8,Month,Jul-15,K03000001,,47.19,,CPP,,NSA,
6.9,Month,Aug-15,K03000001,,47.19,,CPP,,NSA,
19.4,Month,Sep-15,K03000001,,47.19,,CPP,,NSA,
20.3,Month,Oct-15,K03000001,,47.19,,CPP,,NSA,
26.1,Month,Nov-15,K03000001,,47.19,,CPP,,NSA,
28.6,Month,Dec-15,K03000001,,47.19,,CPP,,NSA,
26.3,Month,Jan-16,K03000001,,47.19,,CPP,,NSA,
24.5,Month,Feb-16,K03000001,,47.19,,CPP,,NSA,
