V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
906,Year,2013,E38000001,,,0,,Male
950,Year,2013,E38000001,,,0,,Female
960,Year,2013,E38000001,,,1,,Male
917,Year,2013,E38000001,,,1,,Female
924,Year,2013,E38000001,,,2,,Male
938,Year,2013,E38000001,,,2,,Female
1023,Year,2013,E38000001,,,3,,Male
921,Year,2013,E38000001,,,3,,Female
953,Year,2013,E38000001,,,4,,Male
964,Year,2013,E38000001,,,4,,Female
1045,Year,2013,E38000001,,,5,,Male
959,Year,2013,E38000001,,,5,,Female
1017,Year,2013,E38000001,,,6,,Male
938,Year,2013,E38000001,,,6,,Female
946,Year,2013,E38000001,,,7,,Male
997,Year,2013,E38000001,,,7,,Female
960,Year,2013,E38000001,,,8,,Male
909,Year,2013,E38000001,,,8,,Female
972,Year,2013,E38000001,,,9,,Male
889,Year,2013,E38000001,,,9,,Female
1008,Year,2013,E38000001,,,10,,Male
899,Year,2013,E38000001,,,10,,Female
962,Year,2013,E38000001,,,11,,Male
887,Year,2013,E38000001,,,11,,Female
985,Year,2013,E38000001,,,12,,Male
948,Year,2013,E38000001,,,12,,Female
1002,Year,2013,E38000001,,,13,,Male
912,Year,2013,E38000001,,,13,,Female
1065,Year,2013,E38000001,,,14,,Male
955,Year,2013,E38000001,,,14,,Female
1015,Year,2013,E38000001,,,15,,Male
950,Year,2013,E38000001,,,15,,Female
953,Year,2013,E38000001,,,16,,Male
950,Year,2013,E38000001,,,16,,Female
1021,Year,2013,E38000001,,,17,,Male
1062,Year,2013,E38000001,,,17,,Female
989,Year,2013,E38000001,,,18,,Male
889,Year,2013,E38000001,,,18,,Female
733,Year,2013,E38000001,,,19,,Male
754,Year,2013,E38000001,,,19,,Female
695,Year,2013,E38000001,,,20,,Male
640,Year,2013,E38000001,,,20,,Female
751,Year,2013,E38000001,,,21,,Male
681,Year,2013,E38000001,,,21,,Female
822,Year,2013,E38000001,,,22,,Male
753,Year,2013,E38000001,,,22,,Female
791,Year,2013,E38000001,,,23,,Male
749,Year,2013,E38000001,,,23,,Female
756,Year,2013,E38000001,,,24,,Male
812,Year,2013,E38000001,,,24,,Female
772,Year,2013,E38000001,,,25,,Male
881,Year,2013,E38000001,,,25,,Female
751,Year,2013,E38000001,,,26,,Male
826,Year,2013,E38000001,,,26,,Female
773,Year,2013,E38000001,,,27,,Male
785,Year,2013,E38000001,,,27,,Female
763,Year,2013,E38000001,,,28,,Male
791,Year,2013,E38000001,,,28,,Female
756,Year,2013,E38000001,,,29,,Male
787,Year,2013,E38000001,,,29,,Female
845,Year,2013,E38000001,,,30,,Male
833,Year,2013,E38000001,,,30,,Female
829,Year,2013,E38000001,,,31,,Male
929,Year,2013,E38000001,,,31,,Female
858,Year,2013,E38000001,,,32,,Male
892,Year,2013,E38000001,,,32,,Female
873,Year,2013,E38000001,,,33,,Male
876,Year,2013,E38000001,,,33,,Female
906,Year,2013,E38000001,,,34,,Male
878,Year,2013,E38000001,,,34,,Female
772,Year,2013,E38000001,,,35,,Male
820,Year,2013,E38000001,,,35,,Female
802,Year,2013,E38000001,,,36,,Male
862,Year,2013,E38000001,,,36,,Female
818,Year,2013,E38000001,,,37,,Male
880,Year,2013,E38000001,,,37,,Female
953,Year,2013,E38000001,,,38,,Male
941,Year,2013,E38000001,,,38,,Female
932,Year,2013,E38000001,,,39,,Male
1014,Year,2013,E38000001,,,39,,Female
1049,Year,2013,E38000001,,,40,,Male
1037,Year,2013,E38000001,,,40,,Female
1148,Year,2013,E38000001,,,41,,Male
1161,Year,2013,E38000001,,,41,,Female
1091,Year,2013,E38000001,,,42,,Male
1194,Year,2013,E38000001,,,42,,Female
1096,Year,2013,E38000001,,,43,,Male
1152,Year,2013,E38000001,,,43,,Female
1117,Year,2013,E38000001,,,44,,Male
1101,Year,2013,E38000001,,,44,,Female
1093,Year,2013,E38000001,,,45,,Male
1176,Year,2013,E38000001,,,45,,Female
1160,Year,2013,E38000001,,,46,,Male
1188,Year,2013,E38000001,,,46,,Female
1126,Year,2013,E38000001,,,47,,Male
1270,Year,2013,E38000001,,,47,,Female
1127,Year,2013,E38000001,,,48,,Male
1223,Year,2013,E38000001,,,48,,Female
1139,Year,2013,E38000001,,,49,,Male
1268,Year,2013,E38000001,,,49,,Female
1168,Year,2013,E38000001,,,50,,Male
1220,Year,2013,E38000001,,,50,,Female
1201,Year,2013,E38000001,,,51,,Male
1178,Year,2013,E38000001,,,51,,Female
1109,Year,2013,E38000001,,,52,,Male
1192,Year,2013,E38000001,,,52,,Female
1120,Year,2013,E38000001,,,53,,Male
1207,Year,2013,E38000001,,,53,,Female
1005,Year,2013,E38000001,,,54,,Male
1091,Year,2013,E38000001,,,54,,Female
1039,Year,2013,E38000001,,,55,,Male
1114,Year,2013,E38000001,,,55,,Female
1052,Year,2013,E38000001,,,56,,Male
1059,Year,2013,E38000001,,,56,,Female
1091,Year,2013,E38000001,,,57,,Male
1029,Year,2013,E38000001,,,57,,Female
957,Year,2013,E38000001,,,58,,Male
931,Year,2013,E38000001,,,58,,Female
1017,Year,2013,E38000001,,,59,,Male
1016,Year,2013,E38000001,,,59,,Female
1040,Year,2013,E38000001,,,60,,Male
1028,Year,2013,E38000001,,,60,,Female
964,Year,2013,E38000001,,,61,,Male
1057,Year,2013,E38000001,,,61,,Female
939,Year,2013,E38000001,,,62,,Male
957,Year,2013,E38000001,,,62,,Female
923,Year,2013,E38000001,,,63,,Male
1020,Year,2013,E38000001,,,63,,Female
1028,Year,2013,E38000001,,,64,,Male
1064,Year,2013,E38000001,,,64,,Female
1103,Year,2013,E38000001,,,65,,Male
1208,Year,2013,E38000001,,,65,,Female
1263,Year,2013,E38000001,,,66,,Male
1278,Year,2013,E38000001,,,66,,Female
858,Year,2013,E38000001,,,67,,Male
960,Year,2013,E38000001,,,67,,Female
821,Year,2013,E38000001,,,68,,Male
899,Year,2013,E38000001,,,68,,Female
897,Year,2013,E38000001,,,69,,Male
869,Year,2013,E38000001,,,69,,Female
781,Year,2013,E38000001,,,70,,Male
849,Year,2013,E38000001,,,70,,Female
674,Year,2013,E38000001,,,71,,Male
740,Year,2013,E38000001,,,71,,Female
595,Year,2013,E38000001,,,72,,Male
696,Year,2013,E38000001,,,72,,Female
614,Year,2013,E38000001,,,73,,Male
717,Year,2013,E38000001,,,73,,Female
642,Year,2013,E38000001,,,74,,Male
763,Year,2013,E38000001,,,74,,Female
597,Year,2013,E38000001,,,75,,Male
700,Year,2013,E38000001,,,75,,Female
587,Year,2013,E38000001,,,76,,Male
729,Year,2013,E38000001,,,76,,Female
532,Year,2013,E38000001,,,77,,Male
701,Year,2013,E38000001,,,77,,Female
527,Year,2013,E38000001,,,78,,Male
655,Year,2013,E38000001,,,78,,Female
489,Year,2013,E38000001,,,79,,Male
632,Year,2013,E38000001,,,79,,Female
434,Year,2013,E38000001,,,80,,Male
584,Year,2013,E38000001,,,80,,Female
406,Year,2013,E38000001,,,81,,Male
577,Year,2013,E38000001,,,81,,Female
396,Year,2013,E38000001,,,82,,Male
558,Year,2013,E38000001,,,82,,Female
330,Year,2013,E38000001,,,83,,Male
516,Year,2013,E38000001,,,83,,Female
318,Year,2013,E38000001,,,84,,Male
500,Year,2013,E38000001,,,84,,Female
276,Year,2013,E38000001,,,85,,Male
441,Year,2013,E38000001,,,85,,Female
250,Year,2013,E38000001,,,86,,Male
441,Year,2013,E38000001,,,86,,Female
222,Year,2013,E38000001,,,87,,Male
414,Year,2013,E38000001,,,87,,Female
189,Year,2013,E38000001,,,88,,Male
336,Year,2013,E38000001,,,88,,Female
152,Year,2013,E38000001,,,89,,Male
333,Year,2013,E38000001,,,89,,Female
485,Year,2013,E38000001,,,90,,Male
1335,Year,2013,E38000001,,,90,,Female
781,Year,2013,E38000002,,,0,,Male
785,Year,2013,E38000002,,,0,,Female
835,Year,2013,E38000002,,,1,,Male
772,Year,2013,E38000002,,,1,,Female
816,Year,2013,E38000002,,,2,,Male
765,Year,2013,E38000002,,,2,,Female
754,Year,2013,E38000002,,,3,,Male
821,Year,2013,E38000002,,,3,,Female
819,Year,2013,E38000002,,,4,,Male
803,Year,2013,E38000002,,,4,,Female
841,Year,2013,E38000002,,,5,,Male
820,Year,2013,E38000002,,,5,,Female
817,Year,2013,E38000002,,,6,,Male
799,Year,2013,E38000002,,,6,,Female
783,Year,2013,E38000002,,,7,,Male
754,Year,2013,E38000002,,,7,,Female
752,Year,2013,E38000002,,,8,,Male
741,Year,2013,E38000002,,,8,,Female
803,Year,2013,E38000002,,,9,,Male
751,Year,2013,E38000002,,,9,,Female
761,Year,2013,E38000002,,,10,,Male
784,Year,2013,E38000002,,,10,,Female
819,Year,2013,E38000002,,,11,,Male
754,Year,2013,E38000002,,,11,,Female
796,Year,2013,E38000002,,,12,,Male
775,Year,2013,E38000002,,,12,,Female
788,Year,2013,E38000002,,,13,,Male
724,Year,2013,E38000002,,,13,,Female
816,Year,2013,E38000002,,,14,,Male
819,Year,2013,E38000002,,,14,,Female
754,Year,2013,E38000002,,,15,,Male
815,Year,2013,E38000002,,,15,,Female
832,Year,2013,E38000002,,,16,,Male
819,Year,2013,E38000002,,,16,,Female
814,Year,2013,E38000002,,,17,,Male
753,Year,2013,E38000002,,,17,,Female
802,Year,2013,E38000002,,,18,,Male
732,Year,2013,E38000002,,,18,,Female
679,Year,2013,E38000002,,,19,,Male
592,Year,2013,E38000002,,,19,,Female
654,Year,2013,E38000002,,,20,,Male
583,Year,2013,E38000002,,,20,,Female
663,Year,2013,E38000002,,,21,,Male
624,Year,2013,E38000002,,,21,,Female
636,Year,2013,E38000002,,,22,,Male
631,Year,2013,E38000002,,,22,,Female
663,Year,2013,E38000002,,,23,,Male
703,Year,2013,E38000002,,,23,,Female
644,Year,2013,E38000002,,,24,,Male
717,Year,2013,E38000002,,,24,,Female
693,Year,2013,E38000002,,,25,,Male
742,Year,2013,E38000002,,,25,,Female
684,Year,2013,E38000002,,,26,,Male
726,Year,2013,E38000002,,,26,,Female
654,Year,2013,E38000002,,,27,,Male
752,Year,2013,E38000002,,,27,,Female
642,Year,2013,E38000002,,,28,,Male
701,Year,2013,E38000002,,,28,,Female
