V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
783,Year,2015,E14000530,,,0,,Male
758,Year,2015,E14000530,,,1,,Male
742,Year,2015,E14000530,,,2,,Male
766,Year,2015,E14000530,,,3,,Male
724,Year,2015,E14000530,,,4,,Male
719,Year,2015,E14000530,,,5,,Male
658,Year,2015,E14000530,,,6,,Male
673,Year,2015,E14000530,,,7,,Male
641,Year,2015,E14000530,,,8,,Male
700,Year,2015,E14000530,,,9,,Male
669,Year,2015,E14000530,,,10,,Male
592,Year,2015,E14000530,,,11,,Male
557,Year,2015,E14000530,,,12,,Male
593,Year,2015,E14000530,,,13,,Male
605,Year,2015,E14000530,,,14,,Male
585,Year,2015,E14000530,,,15,,Male
596,Year,2015,E14000530,,,16,,Male
615,Year,2015,E14000530,,,17,,Male
656,Year,2015,E14000530,,,18,,Male
578,Year,2015,E14000530,,,19,,Male
650,Year,2015,E14000530,,,20,,Male
568,Year,2015,E14000530,,,21,,Male
623,Year,2015,E14000530,,,22,,Male
682,Year,2015,E14000530,,,23,,Male
776,Year,2015,E14000530,,,24,,Male
859,Year,2015,E14000530,,,25,,Male
782,Year,2015,E14000530,,,26,,Male
822,Year,2015,E14000530,,,27,,Male
848,Year,2015,E14000530,,,28,,Male
777,Year,2015,E14000530,,,29,,Male
770,Year,2015,E14000530,,,30,,Male
804,Year,2015,E14000530,,,31,,Male
827,Year,2015,E14000530,,,32,,Male
808,Year,2015,E14000530,,,33,,Male
836,Year,2015,E14000530,,,34,,Male
816,Year,2015,E14000530,,,35,,Male
797,Year,2015,E14000530,,,36,,Male
718,Year,2015,E14000530,,,37,,Male
709,Year,2015,E14000530,,,38,,Male
755,Year,2015,E14000530,,,39,,Male
834,Year,2015,E14000530,,,40,,Male
818,Year,2015,E14000530,,,41,,Male
795,Year,2015,E14000530,,,42,,Male
820,Year,2015,E14000530,,,43,,Male
827,Year,2015,E14000530,,,44,,Male
796,Year,2015,E14000530,,,45,,Male
793,Year,2015,E14000530,,,46,,Male
827,Year,2015,E14000530,,,47,,Male
804,Year,2015,E14000530,,,48,,Male
845,Year,2015,E14000530,,,49,,Male
775,Year,2015,E14000530,,,50,,Male
799,Year,2015,E14000530,,,51,,Male
796,Year,2015,E14000530,,,52,,Male
744,Year,2015,E14000530,,,53,,Male
751,Year,2015,E14000530,,,54,,Male
689,Year,2015,E14000530,,,55,,Male
630,Year,2015,E14000530,,,56,,Male
618,Year,2015,E14000530,,,57,,Male
612,Year,2015,E14000530,,,58,,Male
531,Year,2015,E14000530,,,59,,Male
493,Year,2015,E14000530,,,60,,Male
491,Year,2015,E14000530,,,61,,Male
475,Year,2015,E14000530,,,62,,Male
402,Year,2015,E14000530,,,63,,Male
502,Year,2015,E14000530,,,64,,Male
443,Year,2015,E14000530,,,65,,Male
478,Year,2015,E14000530,,,66,,Male
500,Year,2015,E14000530,,,67,,Male
594,Year,2015,E14000530,,,68,,Male
398,Year,2015,E14000530,,,69,,Male
402,Year,2015,E14000530,,,70,,Male
442,Year,2015,E14000530,,,71,,Male
394,Year,2015,E14000530,,,72,,Male
307,Year,2015,E14000530,,,73,,Male
309,Year,2015,E14000530,,,74,,Male
284,Year,2015,E14000530,,,75,,Male
274,Year,2015,E14000530,,,76,,Male
275,Year,2015,E14000530,,,77,,Male
255,Year,2015,E14000530,,,78,,Male
225,Year,2015,E14000530,,,79,,Male
193,Year,2015,E14000530,,,80,,Male
196,Year,2015,E14000530,,,81,,Male
132,Year,2015,E14000530,,,82,,Male
141,Year,2015,E14000530,,,83,,Male
129,Year,2015,E14000530,,,84,,Male
130,Year,2015,E14000530,,,85,,Male
110,Year,2015,E14000530,,,86,,Male
98,Year,2015,E14000530,,,87,,Male
61,Year,2015,E14000530,,,88,,Male
62,Year,2015,E14000530,,,89,,Male
195,Year,2015,E14000530,,,90,,Male
726,Year,2015,E14000530,,,0,,Female
687,Year,2015,E14000530,,,1,,Female
718,Year,2015,E14000530,,,2,,Female
691,Year,2015,E14000530,,,3,,Female
684,Year,2015,E14000530,,,4,,Female
685,Year,2015,E14000530,,,5,,Female
665,Year,2015,E14000530,,,6,,Female
651,Year,2015,E14000530,,,7,,Female
634,Year,2015,E14000530,,,8,,Female
615,Year,2015,E14000530,,,9,,Female
611,Year,2015,E14000530,,,10,,Female
