V4_0,Time_codelist,Time,Geography_codelist,Geography,Qualifications_codelist,Qualifications
32.08277524778998,Deccenial,2011,J01000001,,,No Qualifications
17.215376372890436,Deccenial,2011,J01000001,,,Level Four And Above Qualifications
30.02810354436684,Deccenial,2011,J01000002,,,No Qualifications
15.049032977196998,Deccenial,2011,J01000002,,,Level Four And Above Qualifications
17.692796311109017,Deccenial,2011,J01000003,,,No Qualifications
27.94781913141674,Deccenial,2011,J01000003,,,Level Four And Above Qualifications
14.002563113560862,Deccenial,2011,J01000004,,,No Qualifications
38.410620746289084,Deccenial,2011,J01000004,,,Level Four And Above Qualifications
21.584883006246336,Deccenial,2011,J01000005,,,No Qualifications
27.219450836894843,Deccenial,2011,J01000005,,,Level Four And Above Qualifications
27.800555109401635,Deccenial,2011,J01000006,,,No Qualifications
19.923355453174974,Deccenial,2011,J01000006,,,Level Four And Above Qualifications
29.460372343918458,Deccenial,2011,J01000007,,,No Qualifications
21.18023924284737,Deccenial,2011,J01000007,,,Level Four And Above Qualifications
29.48878783126862,Deccenial,2011,J01000008,,,No Qualifications
19.27574542440467,Deccenial,2011,J01000008,,,Level Four And Above Qualifications
31.201717797467733,Deccenial,2011,J01000009,,,No Qualifications
15.769512385747547,Deccenial,2011,J01000009,,,Level Four And Above Qualifications
27.218060741939553,Deccenial,2011,J01000010,,,No Qualifications
22.313865524383637,Deccenial,2011,J01000010,,,Level Four And Above Qualifications
19.115504223148786,Deccenial,2011,J01000011,,,No Qualifications
26.292018595732063,Deccenial,2011,J01000011,,,Level Four And Above Qualifications
16.900808854831844,Deccenial,2011,J01000012,,,No Qualifications
28.912466843501328,Deccenial,2011,J01000012,,,Level Four And Above Qualifications
31.13773636266801,Deccenial,2011,J01000013,,,No Qualifications
17.534135246984935,Deccenial,2011,J01000013,,,Level Four And Above Qualifications
15.1957892121852,Deccenial,2011,J01000014,,,No Qualifications
39.23029945450217,Deccenial,2011,J01000014,,,Level Four And Above Qualifications
20.321707715765328,Deccenial,2011,J01000015,,,No Qualifications
30.911138889270457,Deccenial,2011,J01000015,,,Level Four And Above Qualifications
29.98483060846115,Deccenial,2011,J01000016,,,No Qualifications
17.96270474847923,Deccenial,2011,J01000016,,,Level Four And Above Qualifications
