V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
106000.0,Quarter,2015 Q2,J01000001,,,All properties
174950.0,Quarter,2015 Q2,J01000001,,,Detached
107500.0,Quarter,2015 Q2,J01000001,,,Semi Detached
75000.0,Quarter,2015 Q2,J01000001,,,Terraced
65500.0,Quarter,2015 Q2,J01000001,,,Flat/Maisonette
181000.0,Quarter,2015 Q2,J01000002,,,All properties
327997.5,Quarter,2015 Q2,J01000002,,,Detached
233000.0,Quarter,2015 Q2,J01000002,,,Semi Detached
181000.0,Quarter,2015 Q2,J01000002,,,Terraced
135000.0,Quarter,2015 Q2,J01000002,,,Flat/Maisonette
226000.0,Quarter,2015 Q2,J01000003,,,All properties
350000.0,Quarter,2015 Q2,J01000003,,,Detached
259000.0,Quarter,2015 Q2,J01000003,,,Semi Detached
209950.0,Quarter,2015 Q2,J01000003,,,Terraced
155000.0,Quarter,2015 Q2,J01000003,,,Flat/Maisonette
285000.0,Quarter,2015 Q2,J01000004,,,All properties
500000.0,Quarter,2015 Q2,J01000004,,,Detached
293500.0,Quarter,2015 Q2,J01000004,,,Semi Detached
289000.0,Quarter,2015 Q2,J01000004,,,Terraced
230000.0,Quarter,2015 Q2,J01000004,,,Flat/Maisonette
190000.0,Quarter,2015 Q2,J01000005,,,All properties
291995.0,Quarter,2015 Q2,J01000005,,,Detached
215000.0,Quarter,2015 Q2,J01000005,,,Semi Detached
167247.5,Quarter,2015 Q2,J01000005,,,Terraced
115000.0,Quarter,2015 Q2,J01000005,,,Flat/Maisonette
114000.0,Quarter,2015 Q2,J01000006,,,All properties
234000.0,Quarter,2015 Q2,J01000006,,,Detached
134000.0,Quarter,2015 Q2,J01000006,,,Semi Detached
79000.0,Quarter,2015 Q2,J01000006,,,Terraced
80000.0,Quarter,2015 Q2,J01000006,,,Flat/Maisonette
135000.0,Quarter,2015 Q2,J01000007,,,All properties
249950.0,Quarter,2015 Q2,J01000007,,,Detached
150000.0,Quarter,2015 Q2,J01000007,,,Semi Detached
120000.0,Quarter,2015 Q2,J01000007,,,Terraced
110000.0,Quarter,2015 Q2,J01000007,,,Flat/Maisonette
105000.0,Quarter,2015 Q2,J01000008,,,All properties
174995.0,Quarter,2015 Q2,J01000008,,,Detached
120000.0,Quarter,2015 Q2,J01000008,,,Semi Detached
75000.0,Quarter,2015 Q2,J01000008,,,Terraced
72000.0,Quarter,2015 Q2,J01000008,,,Flat/Maisonette
102500.0,Quarter,2015 Q2,J01000009,,,All properties
180000.0,Quarter,2015 Q2,J01000009,,,Detached
117000.0,Quarter,2015 Q2,J01000009,,,Semi Detached
81500.0,Quarter,2015 Q2,J01000009,,,Terraced
70000.0,Quarter,2015 Q2,J01000009,,,Flat/Maisonette
114000.0,Quarter,2015 Q2,J01000010,,,All properties
219950.0,Quarter,2015 Q2,J01000010,,,Detached
129250.0,Quarter,2015 Q2,J01000010,,,Semi Detached
79000.0,Quarter,2015 Q2,J01000010,,,Terraced
94000.0,Quarter,2015 Q2,J01000010,,,Flat/Maisonette
213000.0,Quarter,2015 Q2,J01000011,,,All properties
300000.0,Quarter,2015 Q2,J01000011,,,Detached
230000.0,Quarter,2015 Q2,J01000011,,,Semi Detached
197500.0,Quarter,2015 Q2,J01000011,,,Terraced
160000.0,Quarter,2015 Q2,J01000011,,,Flat/Maisonette
270000.0,Quarter,2015 Q2,J01000012,,,All properties
439450.0,Quarter,2015 Q2,J01000012,,,Detached
317000.0,Quarter,2015 Q2,J01000012,,,Semi Detached
250000.0,Quarter,2015 Q2,J01000012,,,Terraced
175000.0,Quarter,2015 Q2,J01000012,,,Flat/Maisonette
100000.0,Quarter,2015 Q2,J01000013,,,All properties
200000.0,Quarter,2015 Q2,J01000013,,,Detached
115000.0,Quarter,2015 Q2,J01000013,,,Semi Detached
84000.0,Quarter,2015 Q2,J01000013,,,Terraced
51000.0,Quarter,2015 Q2,J01000013,,,Flat/Maisonette
295000.0,Quarter,2015 Q2,J01000014,,,All properties
611250.0,Quarter,2015 Q2,J01000014,,,Detached
365000.0,Quarter,2015 Q2,J01000014,,,Semi Detached
392000.0,Quarter,2015 Q2,J01000014,,,Terraced
240000.0,Quarter,2015 Q2,J01000014,,,Flat/Maisonette
202000.0,Quarter,2015 Q2,J01000015,,,All properties
330000.0,Quarter,2015 Q2,J01000015,,,Detached
220000.0,Quarter,2015 Q2,J01000015,,,Semi Detached
205000.0,Quarter,2015 Q2,J01000015,,,Terraced
165750.0,Quarter,2015 Q2,J01000015,,,Flat/Maisonette
78000.0,Quarter,2015 Q2,J01000016,,,All properties
166000.0,Quarter,2015 Q2,J01000016,,,Detached
120000.0,Quarter,2015 Q2,J01000016,,,Semi Detached
54497.5,Quarter,2015 Q2,J01000016,,,Terraced
69950.0,Quarter,2015 Q2,J01000016,,,Flat/Maisonette
130000.0,Quarter,2015 Q2,J01000017,,,All properties
214975.0,Quarter,2015 Q2,J01000017,,,Detached
133750.0,Quarter,2015 Q2,J01000017,,,Semi Detached
100500.0,Quarter,2015 Q2,J01000017,,,Terraced
72000.0,Quarter,2015 Q2,J01000017,,,Flat/Maisonette
130000.0,Quarter,2015 Q2,J01000018,,,All properties
221000.0,Quarter,2015 Q2,J01000018,,,Detached
145000.0,Quarter,2015 Q2,J01000018,,,Semi Detached
99475.0,Quarter,2015 Q2,J01000018,,,Terraced
85000.0,Quarter,2015 Q2,J01000018,,,Flat/Maisonette
360000.0,Quarter,2015 Q2,J01000019,,,All properties
575000.0,Quarter,2015 Q2,J01000019,,,Detached
380100.0,Quarter,2015 Q2,J01000019,,,Semi Detached
377250.0,Quarter,2015 Q2,J01000019,,,Terraced
275000.0,Quarter,2015 Q2,J01000019,,,Flat/Maisonette
170000.0,Quarter,2015 Q2,J01000020,,,All properties
305000.0,Quarter,2015 Q2,J01000020,,,Detached
192500.0,Quarter,2015 Q2,J01000020,,,Semi Detached
