V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
22.052205220522055,Quarter,2015 Q2,J01000001,,,Detached
38.613861386138616,Quarter,2015 Q2,J01000001,,,Semi Detached
35.55355535553556,Quarter,2015 Q2,J01000001,,,Terraced
3.7803780378037803,Quarter,2015 Q2,J01000001,,,Flat/Maisonette
13.23360184119678,Quarter,2015 Q2,J01000002,,,Detached
13.981588032220943,Quarter,2015 Q2,J01000002,,,Semi Detached
46.89298043728424,Quarter,2015 Q2,J01000002,,,Terraced
25.891829689298046,Quarter,2015 Q2,J01000002,,,Flat/Maisonette
22.070588235294117,Quarter,2015 Q2,J01000003,,,Detached
19.2,Quarter,2015 Q2,J01000003,,,Semi Detached
36.65882352941176,Quarter,2015 Q2,J01000003,,,Terraced
22.070588235294117,Quarter,2015 Q2,J01000003,,,Flat/Maisonette
11.481056257175661,Quarter,2015 Q2,J01000004,,,Detached
18.025258323765787,Quarter,2015 Q2,J01000004,,,Semi Detached
36.56716417910448,Quarter,2015 Q2,J01000004,,,Terraced
33.92652123995408,Quarter,2015 Q2,J01000004,,,Flat/Maisonette
20.877565463552724,Quarter,2015 Q2,J01000005,,,Detached
28.237791932059448,Quarter,2015 Q2,J01000005,,,Semi Detached
31.988676574663838,Quarter,2015 Q2,J01000005,,,Terraced
18.895966029723994,Quarter,2015 Q2,J01000005,,,Flat/Maisonette
13.345521023765997,Quarter,2015 Q2,J01000006,,,Detached
33.36380255941499,Quarter,2015 Q2,J01000006,,,Semi Detached
36.19744058500914,Quarter,2015 Q2,J01000006,,,Terraced
17.09323583180987,Quarter,2015 Q2,J01000006,,,Flat/Maisonette
8.76707591215632,Quarter,2015 Q2,J01000007,,,Detached
33.16617672488328,Quarter,2015 Q2,J01000007,,,Semi Detached
40.11758602801314,Quarter,2015 Q2,J01000007,,,Terraced
17.94916133494726,Quarter,2015 Q2,J01000007,,,Flat/Maisonette
18.554006968641115,Quarter,2015 Q2,J01000008,,,Detached
33.36236933797909,Quarter,2015 Q2,J01000008,,,Semi Detached
44.860627177700344,Quarter,2015 Q2,J01000008,,,Terraced
3.2229965156794425,Quarter,2015 Q2,J01000008,,,Flat/Maisonette
12.45200219418541,Quarter,2015 Q2,J01000009,,,Detached
42.567196928140426,Quarter,2015 Q2,J01000009,,,Semi Detached
35.216675809105865,Quarter,2015 Q2,J01000009,,,Terraced
9.764125068568294,Quarter,2015 Q2,J01000009,,,Flat/Maisonette
19.39240506329114,Quarter,2015 Q2,J01000010,,,Detached
28.55696202531646,Quarter,2015 Q2,J01000010,,,Semi Detached
42.278481012658226,Quarter,2015 Q2,J01000010,,,Terraced
9.772151898734178,Quarter,2015 Q2,J01000010,,,Flat/Maisonette
29.735034347399413,Quarter,2015 Q2,J01000011,,,Detached
10.377821393523062,Quarter,2015 Q2,J01000011,,,Semi Detached
7.53189401373896,Quarter,2015 Q2,J01000011,,,Terraced
52.35525024533857,Quarter,2015 Q2,J01000011,,,Flat/Maisonette
24.63382157123835,Quarter,2015 Q2,J01000012,,,Detached
14.047936085219707,Quarter,2015 Q2,J01000012,,,Semi Detached
42.47669773635153,Quarter,2015 Q2,J01000012,,,Terraced
18.841544607190414,Quarter,2015 Q2,J01000012,,,Flat/Maisonette
12.378842425920798,Quarter,2015 Q2,J01000013,,,Detached
36.2780393242869,Quarter,2015 Q2,J01000013,,,Semi Detached
39.10274162281917,Quarter,2015 Q2,J01000013,,,Terraced
12.240376626973138,Quarter,2015 Q2,J01000013,,,Flat/Maisonette
6.613404349755882,Quarter,2015 Q2,J01000014,,,Detached
12.87172658677319,Quarter,2015 Q2,J01000014,,,Semi Detached
23.368841544607193,Quarter,2015 Q2,J01000014,,,Terraced
57.14602751886374,Quarter,2015 Q2,J01000014,,,Flat/Maisonette
6.781054145689922,Quarter,2015 Q2,J01000015,,,Detached
19.9938354053221,Quarter,2015 Q2,J01000015,,,Semi Detached
42.145278947909176,Quarter,2015 Q2,J01000015,,,Terraced
31.079831501078804,Quarter,2015 Q2,J01000015,,,Flat/Maisonette
11.774744027303754,Quarter,2015 Q2,J01000016,,,Detached
25.0,Quarter,2015 Q2,J01000016,,,Semi Detached
59.89761092150171,Quarter,2015 Q2,J01000016,,,Terraced
3.3276450511945397,Quarter,2015 Q2,J01000016,,,Flat/Maisonette
28.684470820969338,Quarter,2015 Q2,J01000017,,,Detached
27.299703264094955,Quarter,2015 Q2,J01000017,,,Semi Detached
38.18001978239367,Quarter,2015 Q2,J01000017,,,Terraced
5.835806132542038,Quarter,2015 Q2,J01000017,,,Flat/Maisonette
21.21212121212121,Quarter,2015 Q2,J01000018,,,Detached
33.33333333333333,Quarter,2015 Q2,J01000018,,,Semi Detached
38.01652892561984,Quarter,2015 Q2,J01000018,,,Terraced
7.43801652892562,Quarter,2015 Q2,J01000018,,,Flat/Maisonette
13.99812734082397,Quarter,2015 Q2,J01000019,,,Detached
21.48876404494382,Quarter,2015 Q2,J01000019,,,Semi Detached
32.86516853932584,Quarter,2015 Q2,J01000019,,,Terraced
31.647940074906366,Quarter,2015 Q2,J01000019,,,Flat/Maisonette
12.409783480352846,Quarter,2015 Q2,J01000020,,,Detached
24.057738572574177,Quarter,2015 Q2,J01000020,,,Semi Detached
41.39935846030473,Quarter,2015 Q2,J01000020,,,Terraced
22.133119486768244,Quarter,2015 Q2,J01000020,,,Flat/Maisonette
12.937347436940602,Quarter,2015 Q2,J01000021,,,Detached
36.533767290480064,Quarter,2015 Q2,J01000021,,,Semi Detached
42.63628966639544,Quarter,2015 Q2,J01000021,,,Terraced
7.892595606183889,Quarter,2015 Q2,J01000021,,,Flat/Maisonette
13.479359730412805,Quarter,2015 Q2,J01000022,,,Detached
24.01010951979781,Quarter,2015 Q2,J01000022,,,Semi Detached
52.906486941870256,Quarter,2015 Q2,J01000022,,,Terraced
9.604043807919124,Quarter,2015 Q2,J01000022,,,Flat/Maisonette
16.931479642502484,Quarter,2015 Q2,J01000023,,,Detached
26.663356504468723,Quarter,2015 Q2,J01000023,,,Semi Detached
29.692154915590862,Quarter,2015 Q2,J01000023,,,Terraced
26.713008937437934,Quarter,2015 Q2,J01000023,,,Flat/Maisonette
15.543613063249277,Quarter,2015 Q2,J01000024,,,Detached
27.490698635799916,Quarter,2015 Q2,J01000024,,,Semi Detached
28.110789582472094,Quarter,2015 Q2,J01000024,,,Terraced
28.85489871847871,Quarter,2015 Q2,J01000024,,,Flat/Maisonette
15.68758344459279,Quarter,2015 Q2,J01000025,,,Detached
33.64485981308411,Quarter,2015 Q2,J01000025,,,Semi Detached
29.10547396528705,Quarter,2015 Q2,J01000025,,,Terraced
21.56208277703605,Quarter,2015 Q2,J01000025,,,Flat/Maisonette
30.8259587020649,Quarter,2015 Q2,J01000026,,,Detached
41.66666666666667,Quarter,2015 Q2,J01000026,,,Semi Detached
22.935103244837755,Quarter,2015 Q2,J01000026,,,Terraced
4.572271386430678,Quarter,2015 Q2,J01000026,,,Flat/Maisonette
20.752608047690018,Quarter,2015 Q2,J01000027,,,Detached
22.280178837555887,Quarter,2015 Q2,J01000027,,,Semi Detached
34.053651266766025,Quarter,2015 Q2,J01000027,,,Terraced
22.913561847988078,Quarter,2015 Q2,J01000027,,,Flat/Maisonette
12.8644558201647,Quarter,2015 Q2,J01000028,,,Detached
26.73046961940797,Quarter,2015 Q2,J01000028,,,Semi Detached
47.87447139995549,Quarter,2015 Q2,J01000028,,,Terraced
12.530603160471845,Quarter,2015 Q2,J01000028,,,Flat/Maisonette
13.02149178255373,Quarter,2015 Q2,J01000029,,,Detached
16.308470290771176,Quarter,2015 Q2,J01000029,,,Semi Detached
47.02907711757269,Quarter,2015 Q2,J01000029,,,Terraced
23.640960809102403,Quarter,2015 Q2,J01000029,,,Flat/Maisonette
19.8489010989011,Quarter,2015 Q2,J01000030,,,Detached
39.76648351648351,Quarter,2015 Q2,J01000030,,,Semi Detached
32.967032967032964,Quarter,2015 Q2,J01000030,,,Terraced
7.417582417582418,Quarter,2015 Q2,J01000030,,,Flat/Maisonette
27.641408751334044,Quarter,2015 Q2,J01000031,,,Detached
38.15368196371398,Quarter,2015 Q2,J01000031,,,Semi Detached
28.308431163287086,Quarter,2015 Q2,J01000031,,,Terraced
5.896478121664888,Quarter,2015 Q2,J01000031,,,Flat/Maisonette
24.82614742698192,Quarter,2015 Q2,J01000032,,,Detached
43.671766342141865,Quarter,2015 Q2,J01000032,,,Semi Detached
26.21696801112656,Quarter,2015 Q2,J01000032,,,Terraced
5.285118219749652,Quarter,2015 Q2,J01000032,,,Flat/Maisonette
18.439716312056735,Quarter,2015 Q2,J01000033,,,Detached
40.543735224586285,Quarter,2015 Q2,J01000033,,,Semi Detached
33.33333333333333,Quarter,2015 Q2,J01000033,,,Terraced
7.68321513002364,Quarter,2015 Q2,J01000033,,,Flat/Maisonette
17.917369308600335,Quarter,2015 Q2,J01000034,,,Detached
16.947723440134908,Quarter,2015 Q2,J01000034,,,Semi Detached
26.180438448566612,Quarter,2015 Q2,J01000034,,,Terraced
38.954468802698145,Quarter,2015 Q2,J01000034,,,Flat/Maisonette
16.674698795180724,Quarter,2015 Q2,J01000035,,,Detached
20.57831325301205,Quarter,2015 Q2,J01000035,,,Semi Detached
41.87951807228916,Quarter,2015 Q2,J01000035,,,Terraced
20.867469879518072,Quarter,2015 Q2,J01000035,,,Flat/Maisonette
5.401563610518834,Quarter,2015 Q2,J01000036,,,Detached
35.891968727789624,Quarter,2015 Q2,J01000036,,,Semi Detached
29.28216062544421,Quarter,2015 Q2,J01000036,,,Terraced
29.42430703624733,Quarter,2015 Q2,J01000036,,,Flat/Maisonette
11.830488522660389,Quarter,2015 Q2,J01000037,,,Detached
18.304885226603883,Quarter,2015 Q2,J01000037,,,Semi Detached
52.266038846380226,Quarter,2015 Q2,J01000037,,,Terraced
17.598587404355502,Quarter,2015 Q2,J01000037,,,Flat/Maisonette
22.504604051565376,Quarter,2015 Q2,J01000038,,,Detached
33.18600368324125,Quarter,2015 Q2,J01000038,,,Semi Detached
31.30755064456722,Quarter,2015 Q2,J01000038,,,Terraced
13.00184162062615,Quarter,2015 Q2,J01000038,,,Flat/Maisonette
18.394950405770967,Quarter,2015 Q2,J01000039,,,Detached
35.07664562669071,Quarter,2015 Q2,J01000039,,,Semi Detached
41.47880973850316,Quarter,2015 Q2,J01000039,,,Terraced
5.049594229035167,Quarter,2015 Q2,J01000039,,,Flat/Maisonette
22.377622377622377,Quarter,2015 Q2,J01000040,,,Detached
27.583527583527584,Quarter,2015 Q2,J01000040,,,Semi Detached
18.25951825951826,Quarter,2015 Q2,J01000040,,,Terraced
31.77933177933178,Quarter,2015 Q2,J01000040,,,Flat/Maisonette
9.83739837398374,Quarter,2015 Q2,J01000041,,,Detached
24.715447154471544,Quarter,2015 Q2,J01000041,,,Semi Detached
57.39837398373984,Quarter,2015 Q2,J01000041,,,Terraced
8.048780487804878,Quarter,2015 Q2,J01000041,,,Flat/Maisonette
12.003058103975535,Quarter,2015 Q2,J01000042,,,Detached
12.46177370030581,Quarter,2015 Q2,J01000042,,,Semi Detached
50.99388379204893,Quarter,2015 Q2,J01000042,,,Terraced
24.541284403669724,Quarter,2015 Q2,J01000042,,,Flat/Maisonette
17.24137931034483,Quarter,2015 Q2,J01000043,,,Detached
28.36694860117111,Quarter,2015 Q2,J01000043,,,Semi Detached
28.952504879635654,Quarter,2015 Q2,J01000043,,,Terraced
25.439167208848406,Quarter,2015 Q2,J01000043,,,Flat/Maisonette
27.085285848172447,Quarter,2015 Q2,J01000044,,,Detached
35.33270852858482,Quarter,2015 Q2,J01000044,,,Semi Detached
33.0834114339269,Quarter,2015 Q2,J01000044,,,Terraced
4.498594189315839,Quarter,2015 Q2,J01000044,,,Flat/Maisonette
18.97381079636558,Quarter,2015 Q2,J01000045,,,Detached
18.706574024585784,Quarter,2015 Q2,J01000045,,,Semi Detached
28.594334580438268,Quarter,2015 Q2,J01000045,,,Terraced
33.72528059861037,Quarter,2015 Q2,J01000045,,,Flat/Maisonette
14.88747836122331,Quarter,2015 Q2,J01000046,,,Detached
18.52279284477784,Quarter,2015 Q2,J01000046,,,Semi Detached
34.96826312752452,Quarter,2015 Q2,J01000046,,,Terraced
31.621465666474325,Quarter,2015 Q2,J01000046,,,Flat/Maisonette
22.092343658679134,Quarter,2015 Q2,J01000047,,,Detached
26.125073056691996,Quarter,2015 Q2,J01000047,,,Semi Detached
20.514319111630623,Quarter,2015 Q2,J01000047,,,Terraced
31.268264172998244,Quarter,2015 Q2,J01000047,,,Flat/Maisonette
20.469483568075116,Quarter,2015 Q2,J01000048,,,Detached
30.422535211267604,Quarter,2015 Q2,J01000048,,,Semi Detached
42.53521126760563,Quarter,2015 Q2,J01000048,,,Terraced
6.572769953051644,Quarter,2015 Q2,J01000048,,,Flat/Maisonette
19.880800340570456,Quarter,2015 Q2,J01000049,,,Detached
34.05704555129843,Quarter,2015 Q2,J01000049,,,Semi Detached
32.14133673903789,Quarter,2015 Q2,J01000049,,,Terraced
13.92081736909323,Quarter,2015 Q2,J01000049,,,Flat/Maisonette
13.866368465194299,Quarter,2015 Q2,J01000050,,,Detached
28.487559407324575,Quarter,2015 Q2,J01000050,,,Semi Detached
50.65697511881465,Quarter,2015 Q2,J01000050,,,Terraced
6.98909700866648,Quarter,2015 Q2,J01000050,,,Flat/Maisonette
11.264916467780429,Quarter,2015 Q2,J01000051,,,Detached
37.565632458233885,Quarter,2015 Q2,J01000051,,,Semi Detached
30.310262529832936,Quarter,2015 Q2,J01000051,,,Terraced
20.859188544152747,Quarter,2015 Q2,J01000051,,,Flat/Maisonette
17.850510677808728,Quarter,2015 Q2,J01000052,,,Detached
34.052924791086355,Quarter,2015 Q2,J01000052,,,Semi Detached
37.97585886722377,Quarter,2015 Q2,J01000052,,,Terraced
10.12070566388115,Quarter,2015 Q2,J01000052,,,Flat/Maisonette
21.361889071938496,Quarter,2015 Q2,J01000053,,,Detached
28.885227896760025,Quarter,2015 Q2,J01000053,,,Semi Detached
40.30752333882482,Quarter,2015 Q2,J01000053,,,Terraced
9.44535969247666,Quarter,2015 Q2,J01000053,,,Flat/Maisonette
10.956690368455074,Quarter,2015 Q2,J01000054,,,Detached
29.573367808661928,Quarter,2015 Q2,J01000054,,,Semi Detached
41.12798965740142,Quarter,2015 Q2,J01000054,,,Terraced
18.341952165481576,Quarter,2015 Q2,J01000054,,,Flat/Maisonette
4.655592877191368,Quarter,2015 Q2,J01000055,,,Detached
13.344683200662589,Quarter,2015 Q2,J01000055,,,Semi Detached
26.751023788708416,Quarter,2015 Q2,J01000055,,,Terraced
