V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
18725.0,Year,2017,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
18540.0,Year,2017,K03000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
17615.0,Year,2017,K04000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
17470.0,Year,2017,E92000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
550.0,Year,2017,E12000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
905.0,Year,2017,E12000002,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
2360.0,Year,2017,E12000003,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
3025.0,Year,2017,E12000004,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
1680.0,Year,2017,E12000005,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
4370.0,Year,2017,E12000006,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
70.0,Year,2017,E12000007,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
2160.0,Year,2017,E12000008,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
2350.0,Year,2017,E12000009,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
145.0,Year,2017,W92000004,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
925.0,Year,2017,S92000003,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
185.0,Year,2017,N92000002,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
0.0,Year,2017,K02000001,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,K03000001,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,K04000001,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E92000001,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000001,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000002,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000003,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000004,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000005,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000006,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000007,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000008,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,E12000009,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,W92000004,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,S92000003,,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2017,N92000002,,,Enterprise,0112,0112 : Growing of rice
9295.0,Year,2017,K02000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
9110.0,Year,2017,K03000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
8910.0,Year,2017,K04000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
8795.0,Year,2017,E92000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
235.0,Year,2017,E12000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
650.0,Year,2017,E12000002,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
995.0,Year,2017,E12000003,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
1300.0,Year,2017,E12000004,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
965.0,Year,2017,E12000005,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
1945.0,Year,2017,E12000006,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
80.0,Year,2017,E12000007,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
1135.0,Year,2017,E12000008,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
1490.0,Year,2017,E12000009,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
115.0,Year,2017,W92000004,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
200.0,Year,2017,S92000003,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
185.0,Year,2017,N92000002,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
0.0,Year,2017,K02000001,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,K03000001,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,K04000001,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E92000001,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000001,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000002,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000003,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000004,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000005,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000006,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000007,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000008,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,E12000009,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,W92000004,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,S92000003,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,N92000002,,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2017,K02000001,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,K03000001,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,K04000001,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E92000001,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000001,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000002,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000003,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000004,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000005,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000006,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000007,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000008,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,E12000009,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,W92000004,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,S92000003,,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2017,N92000002,,,Enterprise,0115,0115 : Growing of tobacco
955.0,Year,2017,K02000001,,,Enterprise,0116,0116 : Growing of fibre crops
950.0,Year,2017,K03000001,,,Enterprise,0116,0116 : Growing of fibre crops
945.0,Year,2017,K04000001,,,Enterprise,0116,0116 : Growing of fibre crops
940.0,Year,2017,E92000001,,,Enterprise,0116,0116 : Growing of fibre crops
35.0,Year,2017,E12000001,,,Enterprise,0116,0116 : Growing of fibre crops
55.0,Year,2017,E12000002,,,Enterprise,0116,0116 : Growing of fibre crops
110.0,Year,2017,E12000003,,,Enterprise,0116,0116 : Growing of fibre crops
155.0,Year,2017,E12000004,,,Enterprise,0116,0116 : Growing of fibre crops
100.0,Year,2017,E12000005,,,Enterprise,0116,0116 : Growing of fibre crops
205.0,Year,2017,E12000006,,,Enterprise,0116,0116 : Growing of fibre crops
5.0,Year,2017,E12000007,,,Enterprise,0116,0116 : Growing of fibre crops
100.0,Year,2017,E12000008,,,Enterprise,0116,0116 : Growing of fibre crops
175.0,Year,2017,E12000009,,,Enterprise,0116,0116 : Growing of fibre crops
5.0,Year,2017,W92000004,,,Enterprise,0116,0116 : Growing of fibre crops
5.0,Year,2017,S92000003,,,Enterprise,0116,0116 : Growing of fibre crops
5.0,Year,2017,N92000002,,,Enterprise,0116,0116 : Growing of fibre crops
935.0,Year,2017,K02000001,,,Enterprise,0119,0119 : Growing of other non-perennial crops
920.0,Year,2017,K03000001,,,Enterprise,0119,0119 : Growing of other non-perennial crops
900.0,Year,2017,K04000001,,,Enterprise,0119,0119 : Growing of other non-perennial crops
890.0,Year,2017,E92000001,,,Enterprise,0119,0119 : Growing of other non-perennial crops
15.0,Year,2017,E12000001,,,Enterprise,0119,0119 : Growing of other non-perennial crops
85.0,Year,2017,E12000002,,,Enterprise,0119,0119 : Growing of other non-perennial crops
