V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
147795.0,Year,2016,K02000001,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
148870.0,Year,2016,K02000001,,,Enterprise,05-39,05-39 : Production
319860.0,Year,2016,K02000001,,,Enterprise,41-43,41-43 : Construction
75075.0,Year,2016,K02000001,,,Enterprise,45,45 : Motor trades
103415.0,Year,2016,K02000001,,,Enterprise,46,46 : Wholesale
196800.0,Year,2016,K02000001,,,Enterprise,47,47 : Retail
109290.0,Year,2016,K02000001,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
150290.0,Year,2016,K02000001,,,Enterprise,55-56,55-56 : Accommodation & food services
217025.0,Year,2016,K02000001,,,Enterprise,58-63,58-63 : Information & communication
55715.0,Year,2016,K02000001,,,Enterprise,64-66,64-66 : Finance & insurance
93180.0,Year,2016,K02000001,,,Enterprise,68,68 : Property
478825.0,Year,2016,K02000001,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
228185.0,Year,2016,K02000001,,,Enterprise,77-82,77-82 : Business administration & support services
7150.0,Year,2016,K02000001,,,Enterprise,84,84 : Public administration & defence
48300.0,Year,2016,K02000001,,,Enterprise,85,85 : Education
120105.0,Year,2016,K02000001,,,Enterprise,86-88,86-88 : Health
168930.0,Year,2016,K02000001,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
2668810.0,Year,2016,K02000001,,,Enterprise,Total,Total
129965.0,Year,2016,K03000001,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
144045.0,Year,2016,K03000001,,,Enterprise,05-39,05-39 : Production
310175.0,Year,2016,K03000001,,,Enterprise,41-43,41-43 : Construction
72570.0,Year,2016,K03000001,,,Enterprise,45,45 : Motor trades
100300.0,Year,2016,K03000001,,,Enterprise,46,46 : Wholesale
190960.0,Year,2016,K03000001,,,Enterprise,47,47 : Retail
106990.0,Year,2016,K03000001,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
146445.0,Year,2016,K03000001,,,Enterprise,55-56,55-56 : Accommodation & food services
215240.0,Year,2016,K03000001,,,Enterprise,58-63,58-63 : Information & communication
54590.0,Year,2016,K03000001,,,Enterprise,64-66,64-66 : Finance & insurance
91105.0,Year,2016,K03000001,,,Enterprise,68,68 : Property
473260.0,Year,2016,K03000001,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
225780.0,Year,2016,K03000001,,,Enterprise,77-82,77-82 : Business administration & support services
7110.0,Year,2016,K03000001,,,Enterprise,84,84 : Public administration & defence
47655.0,Year,2016,K03000001,,,Enterprise,85,85 : Education
117295.0,Year,2016,K03000001,,,Enterprise,86-88,86-88 : Health
164610.0,Year,2016,K03000001,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
2598095.0,Year,2016,K03000001,,,Enterprise,Total,Total
112770.0,Year,2016,K04000001,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
133745.0,Year,2016,K04000001,,,Enterprise,05-39,05-39 : Production
290385.0,Year,2016,K04000001,,,Enterprise,41-43,41-43 : Construction
