V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
15750.0,Year,2016,K02000001,,,0-4,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
2170.0,Year,2016,K02000001,,,5-9,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
570.0,Year,2016,K02000001,,,10-19,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
170.0,Year,2016,K02000001,,,20-49,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
45.0,Year,2016,K02000001,,,50-99,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
15.0,Year,2016,K02000001,,,100-249,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
5.0,Year,2016,K02000001,,,250+,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
18725.0,Year,2016,K02000001,,,Total,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds
0.0,Year,2016,K02000001,,,0-4,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2016,K02000001,,,5-9,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2016,K02000001,,,10-19,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2016,K02000001,,,20-49,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2016,K02000001,,,50-99,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2016,K02000001,,,100-249,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2016,K02000001,,,250+,,Enterprise,0112,0112 : Growing of rice
0.0,Year,2016,K02000001,,,Total,,Enterprise,0112,0112 : Growing of rice
7820.0,Year,2016,K02000001,,,0-4,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
940.0,Year,2016,K02000001,,,5-9,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
260.0,Year,2016,K02000001,,,10-19,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
170.0,Year,2016,K02000001,,,20-49,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
55.0,Year,2016,K02000001,,,50-99,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
30.0,Year,2016,K02000001,,,100-249,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
20.0,Year,2016,K02000001,,,250+,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
9295.0,Year,2016,K02000001,,,Total,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers
0.0,Year,2016,K02000001,,,0-4,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,5-9,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,10-19,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,20-49,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,50-99,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,100-249,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,250+,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,Total,,Enterprise,0114,0114 : Growing of sugar cane
0.0,Year,2016,K02000001,,,0-4,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2016,K02000001,,,5-9,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2016,K02000001,,,10-19,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2016,K02000001,,,20-49,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2016,K02000001,,,50-99,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2016,K02000001,,,100-249,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2016,K02000001,,,250+,,Enterprise,0115,0115 : Growing of tobacco
0.0,Year,2016,K02000001,,,Total,,Enterprise,0115,0115 : Growing of tobacco
875.0,Year,2016,K02000001,,,0-4,,Enterprise,0116,0116 : Growing of fibre crops
70.0,Year,2016,K02000001,,,5-9,,Enterprise,0116,0116 : Growing of fibre crops
10.0,Year,2016,K02000001,,,10-19,,Enterprise,0116,0116 : Growing of fibre crops
0.0,Year,2016,K02000001,,,20-49,,Enterprise,0116,0116 : Growing of fibre crops
0.0,Year,2016,K02000001,,,50-99,,Enterprise,0116,0116 : Growing of fibre crops
0.0,Year,2016,K02000001,,,100-249,,Enterprise,0116,0116 : Growing of fibre crops
0.0,Year,2016,K02000001,,,250+,,Enterprise,0116,0116 : Growing of fibre crops
955.0,Year,2016,K02000001,,,Total,,Enterprise,0116,0116 : Growing of fibre crops
525.0,Year,2016,K02000001,,,0-4,,Enterprise,0119,0119 : Growing of other non-perennial crops
190.0,Year,2016,K02000001,,,5-9,,Enterprise,0119,0119 : Growing of other non-perennial crops
115.0,Year,2016,K02000001,,,10-19,,Enterprise,0119,0119 : Growing of other non-perennial crops
75.0,Year,2016,K02000001,,,20-49,,Enterprise,0119,0119 : Growing of other non-perennial crops
25.0,Year,2016,K02000001,,,50-99,,Enterprise,0119,0119 : Growing of other non-perennial crops
5.0,Year,2016,K02000001,,,100-249,,Enterprise,0119,0119 : Growing of other non-perennial crops
0.0,Year,2016,K02000001,,,250+,,Enterprise,0119,0119 : Growing of other non-perennial crops
935.0,Year,2016,K02000001,,,Total,,Enterprise,0119,0119 : Growing of other non-perennial crops
40.0,Year,2016,K02000001,,,0-4,,Enterprise,0121,0121 : Growing of grapes
15.0,Year,2016,K02000001,,,5-9,,Enterprise,0121,0121 : Growing of grapes
5.0,Year,2016,K02000001,,,10-19,,Enterprise,0121,0121 : Growing of grapes
5.0,Year,2016,K02000001,,,20-49,,Enterprise,0121,0121 : Growing of grapes
0.0,Year,2016,K02000001,,,50-99,,Enterprise,0121,0121 : Growing of grapes
0.0,Year,2016,K02000001,,,100-249,,Enterprise,0121,0121 : Growing of grapes
0.0,Year,2016,K02000001,,,250+,,Enterprise,0121,0121 : Growing of grapes
65.0,Year,2016,K02000001,,,Total,,Enterprise,0121,0121 : Growing of grapes
5.0,Year,2016,K02000001,,,0-4,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
0.0,Year,2016,K02000001,,,5-9,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
0.0,Year,2016,K02000001,,,10-19,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
0.0,Year,2016,K02000001,,,20-49,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
0.0,Year,2016,K02000001,,,50-99,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
0.0,Year,2016,K02000001,,,100-249,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
0.0,Year,2016,K02000001,,,250+,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
5.0,Year,2016,K02000001,,,Total,,Enterprise,0122,0122 : Growing of tropical and subtropical fruits
5.0,Year,2016,K02000001,,,0-4,,Enterprise,0123,0123 : Growing of citrus fruits
0.0,Year,2016,K02000001,,,5-9,,Enterprise,0123,0123 : Growing of citrus fruits
0.0,Year,2016,K02000001,,,10-19,,Enterprise,0123,0123 : Growing of citrus fruits
0.0,Year,2016,K02000001,,,20-49,,Enterprise,0123,0123 : Growing of citrus fruits
0.0,Year,2016,K02000001,,,50-99,,Enterprise,0123,0123 : Growing of citrus fruits
0.0,Year,2016,K02000001,,,100-249,,Enterprise,0123,0123 : Growing of citrus fruits
0.0,Year,2016,K02000001,,,250+,,Enterprise,0123,0123 : Growing of citrus fruits
5.0,Year,2016,K02000001,,,Total,,Enterprise,0123,0123 : Growing of citrus fruits
660.0,Year,2016,K02000001,,,0-4,,Enterprise,0124,0124 : Growing of pome fruits and stone fruits
115.0,Year,2016,K02000001,,,5-9,,Enterprise,0124,0124 : Growing of pome fruits and stone fruits
45.0,Year,2016,K02000001,,,10-19,,Enterprise,0124,0124 : Growing of pome fruits and stone fruits
40.0,Year,2016,K02000001,,,20-49,,Enterprise,0124,0124 : Growing of pome fruits and stone fruits
