V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,SIC07_codelist,SIC07,Size Band_codelist,Size Band
14690.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,0-4
3040.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,5-9
1320.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,10-19
660.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,20-49
215.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,50-99
100.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,100-249
55.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,250+
20080.0,Year,2016,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,Total
56515.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,0-4
1875.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,5-9
360.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,10-19
80.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,20-49
10.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
5.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
0.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,250+
58845.0,Year,2016,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,Total
59500.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,0-4
7095.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,5-9
1240.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,10-19
255.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,20-49
55.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
20.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
10.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,250+
68175.0,Year,2016,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,Total
0.0,Year,2016,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,0-4
0.0,Year,2016,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,5-9
0.0,Year,2016,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,10-19
0.0,Year,2016,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,20-49
0.0,Year,2016,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
0.0,Year,2016,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
0.0,Year,2016,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,250+
