V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
2087030.0,Year,2016,K02000001,,,0-4,,Enterprise
299710.0,Year,2016,K02000001,,,5-9,,Enterprise
151140.0,Year,2016,K02000001,,,10-19,,Enterprise
80575.0,Year,2016,K02000001,,,20-49,,Enterprise
25915.0,Year,2016,K02000001,,,50-99,,Enterprise
14615.0,Year,2016,K02000001,,,100-249,,Enterprise
9825.0,Year,2016,K02000001,,,250+,,Enterprise
2668810.0,Year,2016,K02000001,,,Total,,Enterprise
2033005.0,Year,2016,K03000001,,,0-4,,Enterprise
291010.0,Year,2016,K03000001,,,5-9,,Enterprise
146865.0,Year,2016,K03000001,,,10-19,,Enterprise
78155.0,Year,2016,K03000001,,,20-49,,Enterprise
25215.0,Year,2016,K03000001,,,50-99,,Enterprise
14225.0,Year,2016,K03000001,,,100-249,,Enterprise
9620.0,Year,2016,K03000001,,,250+,,Enterprise
2598095.0,Year,2016,K03000001,,,Total,,Enterprise
1902275.0,Year,2016,K04000001,,,0-4,,Enterprise
268095.0,Year,2016,K04000001,,,5-9,,Enterprise
135130.0,Year,2016,K04000001,,,10-19,,Enterprise
72330.0,Year,2016,K04000001,,,20-49,,Enterprise
23445.0,Year,2016,K04000001,,,50-99,,Enterprise
13265.0,Year,2016,K04000001,,,100-249,,Enterprise
8930.0,Year,2016,K04000001,,,250+,,Enterprise
2423470.0,Year,2016,K04000001,,,Total,,Enterprise
1823825.0,Year,2016,E92000001,,,0-4,,Enterprise
255075.0,Year,2016,E92000001,,,5-9,,Enterprise
129000.0,Year,2016,E92000001,,,10-19,,Enterprise
69030.0,Year,2016,E92000001,,,20-49,,Enterprise
22540.0,Year,2016,E92000001,,,50-99,,Enterprise
12795.0,Year,2016,E92000001,,,100-249,,Enterprise
8620.0,Year,2016,E92000001,,,250+,,Enterprise
2320885.0,Year,2016,E92000001,,,Total,,Enterprise
51790.0,Year,2016,E12000001,,,0-4,,Enterprise
9290.0,Year,2016,E12000001,,,5-9,,Enterprise
4605.0,Year,2016,E12000001,,,10-19,,Enterprise
2540.0,Year,2016,E12000001,,,20-49,,Enterprise
825.0,Year,2016,E12000001,,,50-99,,Enterprise
470.0,Year,2016,E12000001,,,100-249,,Enterprise
310.0,Year,2016,E12000001,,,250+,,Enterprise
69830.0,Year,2016,E12000001,,,Total,,Enterprise
10355.0,Year,2016,E06000047,,,0-4,,Enterprise
1805.0,Year,2016,E06000047,,,5-9,,Enterprise
885.0,Year,2016,E06000047,,,10-19,,Enterprise
455.0,Year,2016,E06000047,,,20-49,,Enterprise
170.0,Year,2016,E06000047,,,50-99,,Enterprise
90.0,Year,2016,E06000047,,,100-249,,Enterprise
30.0,Year,2016,E06000047,,,250+,,Enterprise
13790.0,Year,2016,E06000047,,,Total,,Enterprise
2415.0,Year,2016,E06000005,,,0-4,,Enterprise
400.0,Year,2016,E06000005,,,5-9,,Enterprise
195.0,Year,2016,E06000005,,,10-19,,Enterprise
120.0,Year,2016,E06000005,,,20-49,,Enterprise
40.0,Year,2016,E06000005,,,50-99,,Enterprise
20.0,Year,2016,E06000005,,,100-249,,Enterprise
20.0,Year,2016,E06000005,,,250+,,Enterprise
3210.0,Year,2016,E06000005,,,Total,,Enterprise
1885.0,Year,2016,E06000001,,,0-4,,Enterprise
275.0,Year,2016,E06000001,,,5-9,,Enterprise
110.0,Year,2016,E06000001,,,10-19,,Enterprise
70.0,Year,2016,E06000001,,,20-49,,Enterprise
25.0,Year,2016,E06000001,,,50-99,,Enterprise
25.0,Year,2016,E06000001,,,100-249,,Enterprise
5.0,Year,2016,E06000001,,,250+,,Enterprise
2395.0,Year,2016,E06000001,,,Total,,Enterprise
2420.0,Year,2016,E06000002,,,0-4,,Enterprise
370.0,Year,2016,E06000002,,,5-9,,Enterprise
200.0,Year,2016,E06000002,,,10-19,,Enterprise
135.0,Year,2016,E06000002,,,20-49,,Enterprise
30.0,Year,2016,E06000002,,,50-99,,Enterprise
30.0,Year,2016,E06000002,,,100-249,,Enterprise
20.0,Year,2016,E06000002,,,250+,,Enterprise
3205.0,Year,2016,E06000002,,,Total,,Enterprise
8500.0,Year,2016,E06000057,,,0-4,,Enterprise
1565.0,Year,2016,E06000057,,,5-9,,Enterprise
720.0,Year,2016,E06000057,,,10-19,,Enterprise
350.0,Year,2016,E06000057,,,20-49,,Enterprise
100.0,Year,2016,E06000057,,,50-99,,Enterprise
30.0,Year,2016,E06000057,,,100-249,,Enterprise
25.0,Year,2016,E06000057,,,250+,,Enterprise
11290.0,Year,2016,E06000057,,,Total,,Enterprise
2435.0,Year,2016,E06000003,,,0-4,,Enterprise
390.0,Year,2016,E06000003,,,5-9,,Enterprise
195.0,Year,2016,E06000003,,,10-19,,Enterprise
105.0,Year,2016,E06000003,,,20-49,,Enterprise
30.0,Year,2016,E06000003,,,50-99,,Enterprise
20.0,Year,2016,E06000003,,,100-249,,Enterprise
15.0,Year,2016,E06000003,,,250+,,Enterprise
3190.0,Year,2016,E06000003,,,Total,,Enterprise
4250.0,Year,2016,E06000004,,,0-4,,Enterprise
595.0,Year,2016,E06000004,,,5-9,,Enterprise
320.0,Year,2016,E06000004,,,10-19,,Enterprise
195.0,Year,2016,E06000004,,,20-49,,Enterprise
80.0,Year,2016,E06000004,,,50-99,,Enterprise
35.0,Year,2016,E06000004,,,100-249,,Enterprise
20.0,Year,2016,E06000004,,,250+,,Enterprise
5495.0,Year,2016,E06000004,,,Total,,Enterprise
19530.0,Year,2016,E11000007,,,0-4,,Enterprise
3890.0,Year,2016,E11000007,,,5-9,,Enterprise
1980.0,Year,2016,E11000007,,,10-19,,Enterprise
1110.0,Year,2016,E11000007,,,20-49,,Enterprise
350.0,Year,2016,E11000007,,,50-99,,Enterprise
220.0,Year,2016,E11000007,,,100-249,,Enterprise
175.0,Year,2016,E11000007,,,250+,,Enterprise
27255.0,Year,2016,E11000007,,,Total,,Enterprise
3545.0,Year,2016,E08000037,,,0-4,,Enterprise
725.0,Year,2016,E08000037,,,5-9,,Enterprise
415.0,Year,2016,E08000037,,,10-19,,Enterprise
245.0,Year,2016,E08000037,,,20-49,,Enterprise
85.0,Year,2016,E08000037,,,50-99,,Enterprise
40.0,Year,2016,E08000037,,,100-249,,Enterprise
30.0,Year,2016,E08000037,,,250+,,Enterprise
5085.0,Year,2016,E08000037,,,Total,,Enterprise
5545.0,Year,2016,E08000021,,,0-4,,Enterprise
1170.0,Year,2016,E08000021,,,5-9,,Enterprise
610.0,Year,2016,E08000021,,,10-19,,Enterprise
350.0,Year,2016,E08000021,,,20-49,,Enterprise
105.0,Year,2016,E08000021,,,50-99,,Enterprise
80.0,Year,2016,E08000021,,,100-249,,Enterprise
65.0,Year,2016,E08000021,,,250+,,Enterprise
7925.0,Year,2016,E08000021,,,Total,,Enterprise
3795.0,Year,2016,E08000022,,,0-4,,Enterprise
650.0,Year,2016,E08000022,,,5-9,,Enterprise
325.0,Year,2016,E08000022,,,10-19,,Enterprise
175.0,Year,2016,E08000022,,,20-49,,Enterprise
55.0,Year,2016,E08000022,,,50-99,,Enterprise
30.0,Year,2016,E08000022,,,100-249,,Enterprise
30.0,Year,2016,E08000022,,,250+,,Enterprise
5060.0,Year,2016,E08000022,,,Total,,Enterprise
2540.0,Year,2016,E08000023,,,0-4,,Enterprise
455.0,Year,2016,E08000023,,,5-9,,Enterprise
185.0,Year,2016,E08000023,,,10-19,,Enterprise
105.0,Year,2016,E08000023,,,20-49,,Enterprise
40.0,Year,2016,E08000023,,,50-99,,Enterprise
25.0,Year,2016,E08000023,,,100-249,,Enterprise
15.0,Year,2016,E08000023,,,250+,,Enterprise
3365.0,Year,2016,E08000023,,,Total,,Enterprise
4105.0,Year,2016,E08000024,,,0-4,,Enterprise
890.0,Year,2016,E08000024,,,5-9,,Enterprise
445.0,Year,2016,E08000024,,,10-19,,Enterprise
235.0,Year,2016,E08000024,,,20-49,,Enterprise
