V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
2087030.0,Year,2016,K02000001,,,0-4,,Enterprise
299710.0,Year,2016,K02000001,,,5-9,,Enterprise
151140.0,Year,2016,K02000001,,,10-19,,Enterprise
80575.0,Year,2016,K02000001,,,20-49,,Enterprise
25915.0,Year,2016,K02000001,,,50-99,,Enterprise
14615.0,Year,2016,K02000001,,,100-249,,Enterprise
9825.0,Year,2016,K02000001,,,250+,,Enterprise
2668810.0,Year,2016,K02000001,,,Total,,Enterprise
2033005.0,Year,2016,K03000001,,,0-4,,Enterprise
291010.0,Year,2016,K03000001,,,5-9,,Enterprise
146865.0,Year,2016,K03000001,,,10-19,,Enterprise
78155.0,Year,2016,K03000001,,,20-49,,Enterprise
25215.0,Year,2016,K03000001,,,50-99,,Enterprise
14225.0,Year,2016,K03000001,,,100-249,,Enterprise
9620.0,Year,2016,K03000001,,,250+,,Enterprise
2598095.0,Year,2016,K03000001,,,Total,,Enterprise
1902275.0,Year,2016,K04000001,,,0-4,,Enterprise
268095.0,Year,2016,K04000001,,,5-9,,Enterprise
135130.0,Year,2016,K04000001,,,10-19,,Enterprise
72330.0,Year,2016,K04000001,,,20-49,,Enterprise
23445.0,Year,2016,K04000001,,,50-99,,Enterprise
13265.0,Year,2016,K04000001,,,100-249,,Enterprise
8930.0,Year,2016,K04000001,,,250+,,Enterprise
2423470.0,Year,2016,K04000001,,,Total,,Enterprise
1823825.0,Year,2016,E92000001,,,0-4,,Enterprise
255075.0,Year,2016,E92000001,,,5-9,,Enterprise
129000.0,Year,2016,E92000001,,,10-19,,Enterprise
69030.0,Year,2016,E92000001,,,20-49,,Enterprise
22540.0,Year,2016,E92000001,,,50-99,,Enterprise
12795.0,Year,2016,E92000001,,,100-249,,Enterprise
8620.0,Year,2016,E92000001,,,250+,,Enterprise
2320885.0,Year,2016,E92000001,,,Total,,Enterprise
51790.0,Year,2016,E12000001,,,0-4,,Enterprise
9290.0,Year,2016,E12000001,,,5-9,,Enterprise
4605.0,Year,2016,E12000001,,,10-19,,Enterprise
2540.0,Year,2016,E12000001,,,20-49,,Enterprise
825.0,Year,2016,E12000001,,,50-99,,Enterprise
470.0,Year,2016,E12000001,,,100-249,,Enterprise
310.0,Year,2016,E12000001,,,250+,,Enterprise
69830.0,Year,2016,E12000001,,,Total,,Enterprise
2560.0,Year,2016,E14000554,,,0-4,,Enterprise
535.0,Year,2016,E14000554,,,5-9,,Enterprise
220.0,Year,2016,E14000554,,,10-19,,Enterprise
95.0,Year,2016,E14000554,,,20-49,,Enterprise
25.0,Year,2016,E14000554,,,50-99,,Enterprise
10.0,Year,2016,E14000554,,,100-249,,Enterprise
0.0,Year,2016,E14000554,,,250+,,Enterprise
3445.0,Year,2016,E14000554,,,Total,,Enterprise
2470.0,Year,2016,E14000569,,,0-4,,Enterprise
380.0,Year,2016,E14000569,,,5-9,,Enterprise
205.0,Year,2016,E14000569,,,10-19,,Enterprise
95.0,Year,2016,E14000569,,,20-49,,Enterprise
30.0,Year,2016,E14000569,,,50-99,,Enterprise
15.0,Year,2016,E14000569,,,100-249,,Enterprise
5.0,Year,2016,E14000569,,,250+,,Enterprise
3200.0,Year,2016,E14000569,,,Total,,Enterprise
1735.0,Year,2016,E14000574,,,0-4,,Enterprise
355.0,Year,2016,E14000574,,,5-9,,Enterprise
185.0,Year,2016,E14000574,,,10-19,,Enterprise
115.0,Year,2016,E14000574,,,20-49,,Enterprise
35.0,Year,2016,E14000574,,,50-99,,Enterprise
20.0,Year,2016,E14000574,,,100-249,,Enterprise
10.0,Year,2016,E14000574,,,250+,,Enterprise
2455.0,Year,2016,E14000574,,,Total,,Enterprise
1315.0,Year,2016,E14000575,,,0-4,,Enterprise
270.0,Year,2016,E14000575,,,5-9,,Enterprise
160.0,Year,2016,E14000575,,,10-19,,Enterprise
75.0,Year,2016,E14000575,,,20-49,,Enterprise
35.0,Year,2016,E14000575,,,50-99,,Enterprise
10.0,Year,2016,E14000575,,,100-249,,Enterprise
10.0,Year,2016,E14000575,,,250+,,Enterprise
1875.0,Year,2016,E14000575,,,Total,,Enterprise
1770.0,Year,2016,E14000641,,,0-4,,Enterprise
300.0,Year,2016,E14000641,,,5-9,,Enterprise
185.0,Year,2016,E14000641,,,10-19,,Enterprise
85.0,Year,2016,E14000641,,,20-49,,Enterprise
35.0,Year,2016,E14000641,,,50-99,,Enterprise
10.0,Year,2016,E14000641,,,100-249,,Enterprise
10.0,Year,2016,E14000641,,,250+,,Enterprise
2395.0,Year,2016,E14000641,,,Total,,Enterprise
1820.0,Year,2016,E14000658,,,0-4,,Enterprise
325.0,Year,2016,E14000658,,,5-9,,Enterprise
150.0,Year,2016,E14000658,,,10-19,,Enterprise
100.0,Year,2016,E14000658,,,20-49,,Enterprise
30.0,Year,2016,E14000658,,,50-99,,Enterprise
15.0,Year,2016,E14000658,,,100-249,,Enterprise
20.0,Year,2016,E14000658,,,250+,,Enterprise
2460.0,Year,2016,E14000658,,,Total,,Enterprise
1150.0,Year,2016,E14000677,,,0-4,,Enterprise
255.0,Year,2016,E14000677,,,5-9,,Enterprise
105.0,Year,2016,E14000677,,,10-19,,Enterprise
65.0,Year,2016,E14000677,,,20-49,,Enterprise
15.0,Year,2016,E14000677,,,50-99,,Enterprise
15.0,Year,2016,E14000677,,,100-249,,Enterprise
5.0,Year,2016,E14000677,,,250+,,Enterprise
1610.0,Year,2016,E14000677,,,Total,,Enterprise
1630.0,Year,2016,E14000709,,,0-4,,Enterprise
335.0,Year,2016,E14000709,,,5-9,,Enterprise
210.0,Year,2016,E14000709,,,10-19,,Enterprise
120.0,Year,2016,E14000709,,,20-49,,Enterprise
45.0,Year,2016,E14000709,,,50-99,,Enterprise
20.0,Year,2016,E14000709,,,100-249,,Enterprise
20.0,Year,2016,E14000709,,,250+,,Enterprise
2380.0,Year,2016,E14000709,,,Total,,Enterprise
1885.0,Year,2016,E14000733,,,0-4,,Enterprise
275.0,Year,2016,E14000733,,,5-9,,Enterprise
110.0,Year,2016,E14000733,,,10-19,,Enterprise
70.0,Year,2016,E14000733,,,20-49,,Enterprise
25.0,Year,2016,E14000733,,,50-99,,Enterprise
25.0,Year,2016,E14000733,,,100-249,,Enterprise
5.0,Year,2016,E14000733,,,250+,,Enterprise
2395.0,Year,2016,E14000733,,,Total,,Enterprise
3160.0,Year,2016,E14000746,,,0-4,,Enterprise
490.0,Year,2016,E14000746,,,5-9,,Enterprise
220.0,Year,2016,E14000746,,,10-19,,Enterprise
120.0,Year,2016,E14000746,,,20-49,,Enterprise
25.0,Year,2016,E14000746,,,50-99,,Enterprise
5.0,Year,2016,E14000746,,,100-249,,Enterprise
5.0,Year,2016,E14000746,,,250+,,Enterprise
4025.0,Year,2016,E14000746,,,Total,,Enterprise
1125.0,Year,2016,E14000754,,,0-4,,Enterprise
220.0,Year,2016,E14000754,,,5-9,,Enterprise
100.0,Year,2016,E14000754,,,10-19,,Enterprise
45.0,Year,2016,E14000754,,,20-49,,Enterprise
15.0,Year,2016,E14000754,,,50-99,,Enterprise
10.0,Year,2016,E14000754,,,100-249,,Enterprise
10.0,Year,2016,E14000754,,,250+,,Enterprise
1525.0,Year,2016,E14000754,,,Total,,Enterprise
1355.0,Year,2016,E14000765,,,0-4,,Enterprise
240.0,Year,2016,E14000765,,,5-9,,Enterprise
110.0,Year,2016,E14000765,,,10-19,,Enterprise
65.0,Year,2016,E14000765,,,20-49,,Enterprise
25.0,Year,2016,E14000765,,,50-99,,Enterprise
15.0,Year,2016,E14000765,,,100-249,,Enterprise
5.0,Year,2016,E14000765,,,250+,,Enterprise
1815.0,Year,2016,E14000765,,,Total,,Enterprise
1645.0,Year,2016,E14000819,,,0-4,,Enterprise
325.0,Year,2016,E14000819,,,5-9,,Enterprise
175.0,Year,2016,E14000819,,,10-19,,Enterprise
120.0,Year,2016,E14000819,,,20-49,,Enterprise
