V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
1465690.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-4
200900.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,5-9
115430.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,10-19
64260.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,20-49
21470.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
11200.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
7180.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,250+
1886130.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
408105.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,0-4
45090.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,5-9
10605.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,10-19
2125.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,20-49
190.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
45.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
5.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,250+
466165.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,Total
152890.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,0-4
38315.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,5-9
15490.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,10-19
7850.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,20-49
1015.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,50-99
240.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,100-249
45.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,250+
215845.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,Total
30.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-4
10.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5-9
10.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10-19
15.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,20-49
15.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
35.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
85.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250+
200.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
70.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,0-4
40.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,5-9
120.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,10-19
740.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,20-49
925.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,50-99
1405.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,100-249
820.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,250+
4120.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,Total
5935.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,0-4
