V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Turnover Size Band_codelist,Turnover Size Band
458070.0,Year,2016,K02000001,,,Enterprise,,0-49
638280.0,Year,2016,K02000001,,,Enterprise,,50-99
826600.0,Year,2016,K02000001,,,Enterprise,,100-249
321315.0,Year,2016,K02000001,,,Enterprise,,250-499
186350.0,Year,2016,K02000001,,,Enterprise,,500-999
106970.0,Year,2016,K02000001,,,Enterprise,,1000-1999
72745.0,Year,2016,K02000001,,,Enterprise,,2000-4999
27350.0,Year,2016,K02000001,,,Enterprise,,5000-9999
23590.0,Year,2016,K02000001,,,Enterprise,,10000-49999
7540.0,Year,2016,K02000001,,,Enterprise,,50000+
2668810.0,Year,2016,K02000001,,,Enterprise,,Total
438470.0,Year,2016,K03000001,,,Enterprise,,0-49
625355.0,Year,2016,K03000001,,,Enterprise,,50-99
808655.0,Year,2016,K03000001,,,Enterprise,,100-249
312930.0,Year,2016,K03000001,,,Enterprise,,250-499
181020.0,Year,2016,K03000001,,,Enterprise,,500-999
103935.0,Year,2016,K03000001,,,Enterprise,,1000-1999
70735.0,Year,2016,K03000001,,,Enterprise,,2000-4999
26595.0,Year,2016,K03000001,,,Enterprise,,5000-9999
23000.0,Year,2016,K03000001,,,Enterprise,,10000-49999
7395.0,Year,2016,K03000001,,,Enterprise,,50000+
2598090.0,Year,2016,K03000001,,,Enterprise,,Total
409705.0,Year,2016,K04000001,,,Enterprise,,0-49
585275.0,Year,2016,K04000001,,,Enterprise,,50-99
752610.0,Year,2016,K04000001,,,Enterprise,,100-249
290630.0,Year,2016,K04000001,,,Enterprise,,250-499
168375.0,Year,2016,K04000001,,,Enterprise,,500-999
97055.0,Year,2016,K04000001,,,Enterprise,,1000-1999
66280.0,Year,2016,K04000001,,,Enterprise,,2000-4999
25040.0,Year,2016,K04000001,,,Enterprise,,5000-9999
21560.0,Year,2016,K04000001,,,Enterprise,,10000-49999
6935.0,Year,2016,K04000001,,,Enterprise,,50000+
2423465.0,Year,2016,K04000001,,,Enterprise,,Total
388305.0,Year,2016,E92000001,,,Enterprise,,0-49
561685.0,Year,2016,E92000001,,,Enterprise,,50-99
722210.0,Year,2016,E92000001,,,Enterprise,,100-249
277875.0,Year,2016,E92000001,,,Enterprise,,250-499
161515.0,Year,2016,E92000001,,,Enterprise,,500-999
93410.0,Year,2016,E92000001,,,Enterprise,,1000-1999
64050.0,Year,2016,E92000001,,,Enterprise,,2000-4999
24235.0,Year,2016,E92000001,,,Enterprise,,5000-9999
20840.0,Year,2016,E92000001,,,Enterprise,,10000-49999
6755.0,Year,2016,E92000001,,,Enterprise,,50000+
2320880.0,Year,2016,E92000001,,,Enterprise,,Total
10140.0,Year,2016,E12000001,,,Enterprise,,0-49
17335.0,Year,2016,E12000001,,,Enterprise,,50-99
22430.0,Year,2016,E12000001,,,Enterprise,,100-249
9015.0,Year,2016,E12000001,,,Enterprise,,250-499
4905.0,Year,2016,E12000001,,,Enterprise,,500-999
2680.0,Year,2016,E12000001,,,Enterprise,,1000-1999
1825.0,Year,2016,E12000001,,,Enterprise,,2000-4999
710.0,Year,2016,E12000001,,,Enterprise,,5000-9999
605.0,Year,2016,E12000001,,,Enterprise,,10000-49999
185.0,Year,2016,E12000001,,,Enterprise,,50000+
69830.0,Year,2016,E12000001,,,Enterprise,,Total
2175.0,Year,2016,E06000047,,,Enterprise,,0-49
3290.0,Year,2016,E06000047,,,Enterprise,,50-99
4470.0,Year,2016,E06000047,,,Enterprise,,100-249
1815.0,Year,2016,E06000047,,,Enterprise,,250-499
880.0,Year,2016,E06000047,,,Enterprise,,500-999
505.0,Year,2016,E06000047,,,Enterprise,,1000-1999
380.0,Year,2016,E06000047,,,Enterprise,,2000-4999
145.0,Year,2016,E06000047,,,Enterprise,,5000-9999
115.0,Year,2016,E06000047,,,Enterprise,,10000-49999
