V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Turnover size Band_codelist,Turnover size Band
458070.0,Year,2017,K02000001,,,Enterprise,,0-49
638280.0,Year,2017,K02000001,,,Enterprise,,50-99
826600.0,Year,2017,K02000001,,,Enterprise,,100-249
321315.0,Year,2017,K02000001,,,Enterprise,,250-499
186350.0,Year,2017,K02000001,,,Enterprise,,500-999
106970.0,Year,2017,K02000001,,,Enterprise,,1000-1999
72745.0,Year,2017,K02000001,,,Enterprise,,2000-4999
27350.0,Year,2017,K02000001,,,Enterprise,,5000-9999
23590.0,Year,2017,K02000001,,,Enterprise,,10000-49999
7540.0,Year,2017,K02000001,,,Enterprise,,50000+
2668810.0,Year,2017,K02000001,,,Enterprise,,Total
438470.0,Year,2017,K03000001,,,Enterprise,,0-49
625355.0,Year,2017,K03000001,,,Enterprise,,50-99
808660.0,Year,2017,K03000001,,,Enterprise,,100-249
312930.0,Year,2017,K03000001,,,Enterprise,,250-499
181020.0,Year,2017,K03000001,,,Enterprise,,500-999
103935.0,Year,2017,K03000001,,,Enterprise,,1000-1999
70735.0,Year,2017,K03000001,,,Enterprise,,2000-4999
26595.0,Year,2017,K03000001,,,Enterprise,,5000-9999
23000.0,Year,2017,K03000001,,,Enterprise,,10000-49999
7395.0,Year,2017,K03000001,,,Enterprise,,50000+
2598095.0,Year,2017,K03000001,,,Enterprise,,Total
409705.0,Year,2017,K04000001,,,Enterprise,,0-49
585275.0,Year,2017,K04000001,,,Enterprise,,50-99
752615.0,Year,2017,K04000001,,,Enterprise,,100-249
290630.0,Year,2017,K04000001,,,Enterprise,,250-499
168375.0,Year,2017,K04000001,,,Enterprise,,500-999
97055.0,Year,2017,K04000001,,,Enterprise,,1000-1999
66280.0,Year,2017,K04000001,,,Enterprise,,2000-4999
25040.0,Year,2017,K04000001,,,Enterprise,,5000-9999
21560.0,Year,2017,K04000001,,,Enterprise,,10000-49999
6935.0,Year,2017,K04000001,,,Enterprise,,50000+
2423470.0,Year,2017,K04000001,,,Enterprise,,Total
388305.0,Year,2017,E92000001,,,Enterprise,,0-49
561685.0,Year,2017,E92000001,,,Enterprise,,50-99
722210.0,Year,2017,E92000001,,,Enterprise,,100-249
277875.0,Year,2017,E92000001,,,Enterprise,,250-499
161515.0,Year,2017,E92000001,,,Enterprise,,500-999
93410.0,Year,2017,E92000001,,,Enterprise,,1000-1999
64050.0,Year,2017,E92000001,,,Enterprise,,2000-4999
24235.0,Year,2017,E92000001,,,Enterprise,,5000-9999
20845.0,Year,2017,E92000001,,,Enterprise,,10000-49999
6755.0,Year,2017,E92000001,,,Enterprise,,50000+
2320885.0,Year,2017,E92000001,,,Enterprise,,Total
10135.0,Year,2017,E12000001,,,Enterprise,,0-49
17335.0,Year,2017,E12000001,,,Enterprise,,50-99
22430.0,Year,2017,E12000001,,,Enterprise,,100-249
9015.0,Year,2017,E12000001,,,Enterprise,,250-499
4905.0,Year,2017,E12000001,,,Enterprise,,500-999
2685.0,Year,2017,E12000001,,,Enterprise,,1000-1999
1825.0,Year,2017,E12000001,,,Enterprise,,2000-4999
710.0,Year,2017,E12000001,,,Enterprise,,5000-9999
605.0,Year,2017,E12000001,,,Enterprise,,10000-49999
185.0,Year,2017,E12000001,,,Enterprise,,50000+
69830.0,Year,2017,E12000001,,,Enterprise,,Total
620.0,Year,2017,E14000554,,,Enterprise,,0-49
715.0,Year,2017,E14000554,,,Enterprise,,50-99
1080.0,Year,2017,E14000554,,,Enterprise,,100-249
525.0,Year,2017,E14000554,,,Enterprise,,250-499
290.0,Year,2017,E14000554,,,Enterprise,,500-999
125.0,Year,2017,E14000554,,,Enterprise,,1000-1999
55.0,Year,2017,E14000554,,,Enterprise,,2000-4999
20.0,Year,2017,E14000554,,,Enterprise,,5000-9999
10.0,Year,2017,E14000554,,,Enterprise,,10000-49999
5.0,Year,2017,E14000554,,,Enterprise,,50000+
3445.0,Year,2017,E14000554,,,Enterprise,,Total
590.0,Year,2017,E14000569,,,Enterprise,,0-49
780.0,Year,2017,E14000569,,,Enterprise,,50-99
1005.0,Year,2017,E14000569,,,Enterprise,,100-249
380.0,Year,2017,E14000569,,,Enterprise,,250-499
215.0,Year,2017,E14000569,,,Enterprise,,500-999
110.0,Year,2017,E14000569,,,Enterprise,,1000-1999
70.0,Year,2017,E14000569,,,Enterprise,,2000-4999
30.0,Year,2017,E14000569,,,Enterprise,,5000-9999
20.0,Year,2017,E14000569,,,Enterprise,,10000-49999
0.0,Year,2017,E14000569,,,Enterprise,,50000+
3200.0,Year,2017,E14000569,,,Enterprise,,Total
325.0,Year,2017,E14000574,,,Enterprise,,0-49
570.0,Year,2017,E14000574,,,Enterprise,,50-99
760.0,Year,2017,E14000574,,,Enterprise,,100-249
330.0,Year,2017,E14000574,,,Enterprise,,250-499
210.0,Year,2017,E14000574,,,Enterprise,,500-999
105.0,Year,2017,E14000574,,,Enterprise,,1000-1999
90.0,Year,2017,E14000574,,,Enterprise,,2000-4999
35.0,Year,2017,E14000574,,,Enterprise,,5000-9999
25.0,Year,2017,E14000574,,,Enterprise,,10000-49999
5.0,Year,2017,E14000574,,,Enterprise,,50000+
2455.0,Year,2017,E14000574,,,Enterprise,,Total
260.0,Year,2017,E14000575,,,Enterprise,,0-49
440.0,Year,2017,E14000575,,,Enterprise,,50-99
575.0,Year,2017,E14000575,,,Enterprise,,100-249
240.0,Year,2017,E14000575,,,Enterprise,,250-499
160.0,Year,2017,E14000575,,,Enterprise,,500-999
75.0,Year,2017,E14000575,,,Enterprise,,1000-1999
70.0,Year,2017,E14000575,,,Enterprise,,2000-4999
25.0,Year,2017,E14000575,,,Enterprise,,5000-9999
25.0,Year,2017,E14000575,,,Enterprise,,10000-49999
5.0,Year,2017,E14000575,,,Enterprise,,50000+
1875.0,Year,2017,E14000575,,,Enterprise,,Total
360.0,Year,2017,E14000641,,,Enterprise,,0-49
550.0,Year,2017,E14000641,,,Enterprise,,50-99
755.0,Year,2017,E14000641,,,Enterprise,,100-249
340.0,Year,2017,E14000641,,,Enterprise,,250-499
165.0,Year,2017,E14000641,,,Enterprise,,500-999
95.0,Year,2017,E14000641,,,Enterprise,,1000-1999
80.0,Year,2017,E14000641,,,Enterprise,,2000-4999
20.0,Year,2017,E14000641,,,Enterprise,,5000-9999
25.0,Year,2017,E14000641,,,Enterprise,,10000-49999
5.0,Year,2017,E14000641,,,Enterprise,,50000+
2395.0,Year,2017,E14000641,,,Enterprise,,Total
380.0,Year,2017,E14000658,,,Enterprise,,0-49
580.0,Year,2017,E14000658,,,Enterprise,,50-99
800.0,Year,2017,E14000658,,,Enterprise,,100-249
325.0,Year,2017,E14000658,,,Enterprise,,250-499
175.0,Year,2017,E14000658,,,Enterprise,,500-999
95.0,Year,2017,E14000658,,,Enterprise,,1000-1999
60.0,Year,2017,E14000658,,,Enterprise,,2000-4999
20.0,Year,2017,E14000658,,,Enterprise,,5000-9999
15.0,Year,2017,E14000658,,,Enterprise,,10000-49999
10.0,Year,2017,E14000658,,,Enterprise,,50000+
2460.0,Year,2017,E14000658,,,Enterprise,,Total
185.0,Year,2017,E14000677,,,Enterprise,,0-49
360.0,Year,2017,E14000677,,,Enterprise,,50-99
565.0,Year,2017,E14000677,,,Enterprise,,100-249
235.0,Year,2017,E14000677,,,Enterprise,,250-499
110.0,Year,2017,E14000677,,,Enterprise,,500-999
70.0,Year,2017,E14000677,,,Enterprise,,1000-1999
45.0,Year,2017,E14000677,,,Enterprise,,2000-4999
15.0,Year,2017,E14000677,,,Enterprise,,5000-9999
20.0,Year,2017,E14000677,,,Enterprise,,10000-49999
5.0,Year,2017,E14000677,,,Enterprise,,50000+
1610.0,Year,2017,E14000677,,,Enterprise,,Total
320.0,Year,2017,E14000709,,,Enterprise,,0-49
505.0,Year,2017,E14000709,,,Enterprise,,50-99
685.0,Year,2017,E14000709,,,Enterprise,,100-249
340.0,Year,2017,E14000709,,,Enterprise,,250-499
215.0,Year,2017,E14000709,,,Enterprise,,500-999
145.0,Year,2017,E14000709,,,Enterprise,,1000-1999
90.0,Year,2017,E14000709,,,Enterprise,,2000-4999
35.0,Year,2017,E14000709,,,Enterprise,,5000-9999
40.0,Year,2017,E14000709,,,Enterprise,,10000-49999
5.0,Year,2017,E14000709,,,Enterprise,,50000+
2380.0,Year,2017,E14000709,,,Enterprise,,Total
310.0,Year,2017,E14000733,,,Enterprise,,0-49
730.0,Year,2017,E14000733,,,Enterprise,,50-99
800.0,Year,2017,E14000733,,,Enterprise,,100-249
255.0,Year,2017,E14000733,,,Enterprise,,250-499
150.0,Year,2017,E14000733,,,Enterprise,,500-999
65.0,Year,2017,E14000733,,,Enterprise,,1000-1999
50.0,Year,2017,E14000733,,,Enterprise,,2000-4999
20.0,Year,2017,E14000733,,,Enterprise,,5000-9999
15.0,Year,2017,E14000733,,,Enterprise,,10000-49999
0.0,Year,2017,E14000733,,,Enterprise,,50000+
2395.0,Year,2017,E14000733,,,Enterprise,,Total
800.0,Year,2017,E14000746,,,Enterprise,,0-49
835.0,Year,2017,E14000746,,,Enterprise,,50-99
1330.0,Year,2017,E14000746,,,Enterprise,,100-249
570.0,Year,2017,E14000746,,,Enterprise,,250-499
255.0,Year,2017,E14000746,,,Enterprise,,500-999
120.0,Year,2017,E14000746,,,Enterprise,,1000-1999
75.0,Year,2017,E14000746,,,Enterprise,,2000-4999
20.0,Year,2017,E14000746,,,Enterprise,,5000-9999
15.0,Year,2017,E14000746,,,Enterprise,,10000-49999
5.0,Year,2017,E14000746,,,Enterprise,,50000+
4025.0,Year,2017,E14000746,,,Enterprise,,Total
195.0,Year,2017,E14000754,,,Enterprise,,0-49
390.0,Year,2017,E14000754,,,Enterprise,,50-99
500.0,Year,2017,E14000754,,,Enterprise,,100-249
210.0,Year,2017,E14000754,,,Enterprise,,250-499
125.0,Year,2017,E14000754,,,Enterprise,,500-999
50.0,Year,2017,E14000754,,,Enterprise,,1000-1999
25.0,Year,2017,E14000754,,,Enterprise,,2000-4999
10.0,Year,2017,E14000754,,,Enterprise,,5000-9999
10.0,Year,2017,E14000754,,,Enterprise,,10000-49999
5.0,Year,2017,E14000754,,,Enterprise,,50000+
1520.0,Year,2017,E14000754,,,Enterprise,,Total
225.0,Year,2017,E14000765,,,Enterprise,,0-49
485.0,Year,2017,E14000765,,,Enterprise,,50-99
570.0,Year,2017,E14000765,,,Enterprise,,100-249
240.0,Year,2017,E14000765,,,Enterprise,,250-499
130.0,Year,2017,E14000765,,,Enterprise,,500-999
80.0,Year,2017,E14000765,,,Enterprise,,1000-1999
45.0,Year,2017,E14000765,,,Enterprise,,2000-4999
15.0,Year,2017,E14000765,,,Enterprise,,5000-9999
20.0,Year,2017,E14000765,,,Enterprise,,10000-49999
5.0,Year,2017,E14000765,,,Enterprise,,50000+
1815.0,Year,2017,E14000765,,,Enterprise,,Total
310.0,Year,2017,E14000819,,,Enterprise,,0-49
580.0,Year,2017,E14000819,,,Enterprise,,50-99
690.0,Year,2017,E14000819,,,Enterprise,,100-249
300.0,Year,2017,E14000819,,,Enterprise,,250-499
190.0,Year,2017,E14000819,,,Enterprise,,500-999
130.0,Year,2017,E14000819,,,Enterprise,,1000-1999
65.0,Year,2017,E14000819,,,Enterprise,,2000-4999
30.0,Year,2017,E14000819,,,Enterprise,,5000-9999
20.0,Year,2017,E14000819,,,Enterprise,,10000-49999
15.0,Year,2017,E14000819,,,Enterprise,,50000+
2330.0,Year,2017,E14000819,,,Enterprise,,Total
320.0,Year,2017,E14000820,,,Enterprise,,0-49
625.0,Year,2017,E14000820,,,Enterprise,,50-99
770.0,Year,2017,E14000820,,,Enterprise,,100-249
205.0,Year,2017,E14000820,,,Enterprise,,250-499
75.0,Year,2017,E14000820,,,Enterprise,,500-999
45.0,Year,2017,E14000820,,,Enterprise,,1000-1999
35.0,Year,2017,E14000820,,,Enterprise,,2000-4999
15.0,Year,2017,E14000820,,,Enterprise,,5000-9999
5.0,Year,2017,E14000820,,,Enterprise,,10000-49999
5.0,Year,2017,E14000820,,,Enterprise,,50000+
2100.0,Year,2017,E14000820,,,Enterprise,,Total
430.0,Year,2017,E14000831,,,Enterprise,,0-49
695.0,Year,2017,E14000831,,,Enterprise,,50-99
970.0,Year,2017,E14000831,,,Enterprise,,100-249
465.0,Year,2017,E14000831,,,Enterprise,,250-499
280.0,Year,2017,E14000831,,,Enterprise,,500-999
150.0,Year,2017,E14000831,,,Enterprise,,1000-1999
95.0,Year,2017,E14000831,,,Enterprise,,2000-4999
45.0,Year,2017,E14000831,,,Enterprise,,5000-9999
50.0,Year,2017,E14000831,,,Enterprise,,10000-49999
25.0,Year,2017,E14000831,,,Enterprise,,50000+
3205.0,Year,2017,E14000831,,,Enterprise,,Total
355.0,Year,2017,E14000832,,,Enterprise,,0-49
585.0,Year,2017,E14000832,,,Enterprise,,50-99
870.0,Year,2017,E14000832,,,Enterprise,,100-249
345.0,Year,2017,E14000832,,,Enterprise,,250-499
230.0,Year,2017,E14000832,,,Enterprise,,500-999
125.0,Year,2017,E14000832,,,Enterprise,,1000-1999
65.0,Year,2017,E14000832,,,Enterprise,,2000-4999
35.0,Year,2017,E14000832,,,Enterprise,,5000-9999
20.0,Year,2017,E14000832,,,Enterprise,,10000-49999
15.0,Year,2017,E14000832,,,Enterprise,,50000+
2645.0,Year,2017,E14000832,,,Enterprise,,Total
295.0,Year,2017,E14000833,,,Enterprise,,0-49
535.0,Year,2017,E14000833,,,Enterprise,,50-99
640.0,Year,2017,E14000833,,,Enterprise,,100-249
270.0,Year,2017,E14000833,,,Enterprise,,250-499
155.0,Year,2017,E14000833,,,Enterprise,,500-999
80.0,Year,2017,E14000833,,,Enterprise,,1000-1999
55.0,Year,2017,E14000833,,,Enterprise,,2000-4999
25.0,Year,2017,E14000833,,,Enterprise,,5000-9999
15.0,Year,2017,E14000833,,,Enterprise,,10000-49999
5.0,Year,2017,E14000833,,,Enterprise,,50000+
2075.0,Year,2017,E14000833,,,Enterprise,,Total
265.0,Year,2017,E14000840,,,Enterprise,,0-49
485.0,Year,2017,E14000840,,,Enterprise,,50-99
