V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07,Turnover Size Band_codelist,Turnover Size Band
1210.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,0-49
910.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,50-99
1100.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,100-249
440.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,250-499
210.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,500-999
160.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,1000-4999
25.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,5000+
4055.0,Year,2017,K02000001,,,Enterprise,02,02 : Forestry and logging,,Total
1195.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,0-49
900.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,50-99
1090.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,100-249
435.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,250-499
205.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,500-999
155.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,1000-4999
25.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,5000+
4005.0,Year,2017,K03000001,,,Enterprise,02,02 : Forestry and logging,,Total
870.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,0-49
710.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,50-99
845.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,100-249
330.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,250-499
135.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,500-999
105.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,1000-4999
15.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,5000+
3010.0,Year,2017,K04000001,,,Enterprise,02,02 : Forestry and logging,,Total
760.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,0-49
640.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,50-99
775.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,100-249
295.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,250-499
110.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,500-999
95.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,1000-4999
10.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,5000+
2685.0,Year,2017,E92000001,,,Enterprise,02,02 : Forestry and logging,,Total
