V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07,Size band_codelist,Size band
4385.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,0-49
3660.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,50-99
5080.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,100-249
2830.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,250-499
1720.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,500-999
670.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,1000-1999
290.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,2000-4999
60.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,5000-9999
30.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,10000-49999
0.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,50000+
18725.0,Year,2016,K02000001,,,Enterprise,0111,0111 : Growing of cereals (except rice); leguminous crops and oil seeds,,Total
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,0-49
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,50-99
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,100-249
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,250-499
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,500-999
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,1000-1999
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,2000-4999
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,5000-9999
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,10000-49999
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,50000+
0.0,Year,2016,K02000001,,,Enterprise,0112,0112 : Growing of rice,,Total
3290.0,Year,2016,K02000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers,,0-49
1795.0,Year,2016,K02000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers,,50-99
2165.0,Year,2016,K02000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers,,100-249
1035.0,Year,2016,K02000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers,,250-499
535.0,Year,2016,K02000001,,,Enterprise,0113,0113 : Growing of vegetables and melons; roots and tubers,,500-999
