V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
267605.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-49
474480.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
584265.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
213990.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,250-499
142165.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,500-999
87800.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,1000-1999
63330.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,2000-4999
24245.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,5000-9999
21535.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,10000-49999
6715.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,50000+
1886130.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
119405.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,0-49
114155.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
151805.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
58045.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,250-499
16895.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,500-999
4490.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,1000-1999
1160.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,2000-4999
165.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,5000-9999
45.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,50000+
466165.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,,Total
43655.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,0-49
35135.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,50-99
67115.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,100-249
36230.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,250-499
19135.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,500-999
9695.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,1000-1999
3850.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,2000-4999
635.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,5000-9999
335.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,10000-49999
60.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,50000+
215845.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,,Total
5.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-49
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
10.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
5.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250-499
10.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,500-999
10.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,1000-1999
10.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,2000-4999
20.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5000-9999
75.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10000-49999
55.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50000+
200.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
145.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,0-49
80.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,50-99
175.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,100-249
140.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,250-499
225.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,500-999
635.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,1000-1999
1075.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,2000-4999
925.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,5000-9999
390.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,10000-49999
330.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,50000+
4120.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,,Total
4655.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,0-49
1155.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,50-99
600.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,100-249
255.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,250-499
210.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,500-999
290.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,1000-1999
470.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,2000-4999
230.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,5000-9999
240.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,,10000-49999
