V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,SIC07_codelist,SIC07,Size Band_codelist,Size Band
3190.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,0-49
3065.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,50-99
5050.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,100-249
3205.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,250-499
2615.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,500-999
1520.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
940.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
265.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
190.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
40.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,50000+
20080.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),01-03,"01-03 : Agriculture, forestry & fishing",,Total
30570.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,0-49
14240.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
9730.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
2845.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,250-499
1065.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,500-999
290.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
95.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
10.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,50000+
58845.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,01-03,"01-03 : Agriculture, forestry & fishing",,Total
20585.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,0-49
11595.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
19295.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
10055.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,250-499
4670.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,500-999
1465.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
420.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
65.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
25.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,50000+
