V4_0,Time_codelist,Time,Geography_codelist,Geography,Component_codelist,Component
23124,Quarter,1959 Q2,K03000001,,EJ,
23248,Quarter,1959 Q3,K03000001,,EJ,
23370,Quarter,1959 Q4,K03000001,,EJ,
23530,Quarter,1960 Q1,K03000001,,EJ,
23633,Quarter,1960 Q2,K03000001,,EJ,
23684,Quarter,1960 Q3,K03000001,,EJ,
23893,Quarter,1960 Q4,K03000001,,EJ,
24011,Quarter,1961 Q1,K03000001,,EJ,
23984,Quarter,1961 Q2,K03000001,,EJ,
24065,Quarter,1961 Q3,K03000001,,EJ,
24013,Quarter,1961 Q4,K03000001,,EJ,
24174,Quarter,1962 Q1,K03000001,,EJ,
24214,Quarter,1962 Q2,K03000001,,EJ,
24207,Quarter,1962 Q3,K03000001,,EJ,
24152,Quarter,1962 Q4,K03000001,,EJ,
24074,Quarter,1963 Q1,K03000001,,EJ,
24271,Quarter,1963 Q2,K03000001,,EJ,
24303,Quarter,1963 Q3,K03000001,,EJ,
24458,Quarter,1963 Q4,K03000001,,EJ,
24517,Quarter,1964 Q1,K03000001,,EJ,
24598,Quarter,1964 Q2,K03000001,,EJ,
24719,Quarter,1964 Q3,K03000001,,EJ,
24810,Quarter,1964 Q4,K03000001,,EJ,
24874,Quarter,1965 Q1,K03000001,,EJ,
24889,Quarter,1965 Q2,K03000001,,EJ,
24899,Quarter,1965 Q3,K03000001,,EJ,
25043,Quarter,1965 Q4,K03000001,,EJ,
25099,Quarter,1966 Q1,K03000001,,EJ,
25080,Quarter,1966 Q2,K03000001,,EJ,
25045,Quarter,1966 Q3,K03000001,,EJ,
24797,Quarter,1966 Q4,K03000001,,EJ,
24626,Quarter,1967 Q1,K03000001,,EJ,
24623,Quarter,1967 Q2,K03000001,,EJ,
24634,Quarter,1967 Q3,K03000001,,EJ,
24530,Quarter,1967 Q4,K03000001,,EJ,
24489,Quarter,1968 Q1,K03000001,,EJ,
24457,Quarter,1968 Q2,K03000001,,EJ,
24454,Quarter,1968 Q3,K03000001,,EJ,
24469,Quarter,1968 Q4,K03000001,,EJ,
24451,Quarter,1969 Q1,K03000001,,EJ,
24435,Quarter,1969 Q2,K03000001,,EJ,
24414,Quarter,1969 Q3,K03000001,,EJ,
24382,Quarter,1969 Q4,K03000001,,EJ,
24397,Quarter,1970 Q1,K03000001,,EJ,
24288,Quarter,1970 Q2,K03000001,,EJ,
24262,Quarter,1970 Q3,K03000001,,EJ,
24224,Quarter,1970 Q4,K03000001,,EJ,
23947,Quarter,1971 Q1,K03000001,,EJ,
23935,Quarter,1971 Q2,K03000001,,EJ,
23752,Quarter,1971 Q3,K03000001,,EJ,
23739,Quarter,1971 Q4,K03000001,,EJ,
23921,Quarter,1972 Q1,K03000001,,EJ,
23937,Quarter,1972 Q2,K03000001,,EJ,
24043,Quarter,1972 Q3,K03000001,,EJ,
24206,Quarter,1972 Q4,K03000001,,EJ,
24526,Quarter,1973 Q1,K03000001,,EJ,
24531,Quarter,1973 Q2,K03000001,,EJ,
24577,Quarter,1973 Q3,K03000001,,EJ,
24613,Quarter,1973 Q4,K03000001,,EJ,
24578,Quarter,1974 Q1,K03000001,,EJ,
24668,Quarter,1974 Q2,K03000001,,EJ,
24764,Quarter,1974 Q3,K03000001,,EJ,
24710,Quarter,1974 Q4,K03000001,,EJ,
24609,Quarter,1975 Q1,K03000001,,EJ,
24582,Quarter,1975 Q2,K03000001,,EJ,
24525,Quarter,1975 Q3,K03000001,,EJ,
24447,Quarter,1975 Q4,K03000001,,EJ,
24397,Quarter,1976 Q1,K03000001,,EJ,
24381,Quarter,1976 Q2,K03000001,,EJ,
24391,Quarter,1976 Q3,K03000001,,EJ,
24427,Quarter,1976 Q4,K03000001,,EJ,
24452,Quarter,1977 Q1,K03000001,,EJ,
24465,Quarter,1977 Q2,K03000001,,EJ,
24486,Quarter,1977 Q3,K03000001,,EJ,
24494,Quarter,1977 Q4,K03000001,,EJ,
24568,Quarter,1978 Q1,K03000001,,EJ,
24632,Quarter,1978 Q2,K03000001,,EJ,
24731,Quarter,1978 Q3,K03000001,,EJ,
24915,Quarter,1978 Q4,K03000001,,EJ,
24946,Quarter,1979 Q1,K03000001,,EJ,
25056,Quarter,1979 Q2,K03000001,,EJ,
25099,Quarter,1979 Q3,K03000001,,EJ,
25118,Quarter,1979 Q4,K03000001,,EJ,
25009,Quarter,1980 Q1,K03000001,,EJ,
24879,Quarter,1980 Q2,K03000001,,EJ,
24580,Quarter,1980 Q3,K03000001,,EJ,
24253,Quarter,1980 Q4,K03000001,,EJ,
23961,Quarter,1981 Q1,K03000001,,EJ,
23727,Quarter,1981 Q2,K03000001,,EJ,
23615,Quarter,1981 Q3,K03000001,,EJ,
23403,Quarter,1981 Q4,K03000001,,EJ,
23337,Quarter,1982 Q1,K03000001,,EJ,
23232,Quarter,1982 Q2,K03000001,,EJ,
23114,Quarter,1982 Q3,K03000001,,EJ,
22903,Quarter,1982 Q4,K03000001,,EJ,
22813,Quarter,1983 Q1,K03000001,,EJ,
22861,Quarter,1983 Q2,K03000001,,EJ,
22968,Quarter,1983 Q3,K03000001,,EJ,
23005,Quarter,1983 Q4,K03000001,,EJ,
23042,Quarter,1984 Q1,K03000001,,EJ,
23090,Quarter,1984 Q2,K03000001,,EJ,
23186,Quarter,1984 Q3,K03000001,,EJ,
23246,Quarter,1984 Q4,K03000001,,EJ,
23265,Quarter,1985 Q1,K03000001,,EJ,
23303,Quarter,1985 Q2,K03000001,,EJ,
23350,Quarter,1985 Q3,K03000001,,EJ,
23318,Quarter,1985 Q4,K03000001,,EJ,
23270,Quarter,1986 Q1,K03000001,,EJ,
23273,Quarter,1986 Q2,K03000001,,EJ,
23304,Quarter,1986 Q3,K03000001,,EJ,
23302,Quarter,1986 Q4,K03000001,,EJ,
23314,Quarter,1987 Q1,K03000001,,EJ,
23514,Quarter,1987 Q2,K03000001,,EJ,
