V4_0,Time_codelist,Time,Geography_codelist,Geography,Split_codelist,Split,Industry_codelist,Industry
167,Quarter,1996 Q1,K03000001,,T,,1,
172,Quarter,1996 Q2,K03000001,,T,,1,
177,Quarter,1996 Q3,K03000001,,T,,1,
166,Quarter,1996 Q4,K03000001,,T,,1,
156,Quarter,1997 Q1,K03000001,,T,,1,
168,Quarter,1997 Q2,K03000001,,T,,1,
160,Quarter,1997 Q3,K03000001,,T,,1,
150,Quarter,1997 Q4,K03000001,,T,,1,
141,Quarter,1998 Q1,K03000001,,T,,1,
143,Quarter,1998 Q2,K03000001,,T,,1,
123,Quarter,1998 Q3,K03000001,,T,,1,
111,Quarter,1998 Q4,K03000001,,T,,1,
108,Quarter,1999 Q1,K03000001,,T,,1,
113,Quarter,1999 Q2,K03000001,,T,,1,
108,Quarter,1999 Q3,K03000001,,T,,1,
104,Quarter,1999 Q4,K03000001,,T,,1,
105,Quarter,2000 Q1,K03000001,,T,,1,
104,Quarter,2000 Q2,K03000001,,T,,1,
102,Quarter,2000 Q3,K03000001,,T,,1,
103,Quarter,2000 Q4,K03000001,,T,,1,
95,Quarter,2001 Q1,K03000001,,T,,1,
95,Quarter,2001 Q2,K03000001,,T,,1,
88,Quarter,2001 Q3,K03000001,,T,,1,
90,Quarter,2001 Q4,K03000001,,T,,1,
83,Quarter,2002 Q1,K03000001,,T,,1,
82,Quarter,2002 Q2,K03000001,,T,,1,
80,Quarter,2002 Q3,K03000001,,T,,1,
87,Quarter,2002 Q4,K03000001,,T,,1,
89,Quarter,2003 Q1,K03000001,,T,,1,
94,Quarter,2003 Q2,K03000001,,T,,1,
98,Quarter,2003 Q3,K03000001,,T,,1,
101,Quarter,2003 Q4,K03000001,,T,,1,
90,Quarter,2004 Q1,K03000001,,T,,1,
90,Quarter,2004 Q2,K03000001,,T,,1,
90,Quarter,2004 Q3,K03000001,,T,,1,
86,Quarter,2004 Q4,K03000001,,T,,1,
104,Quarter,2005 Q1,K03000001,,T,,1,
104,Quarter,2005 Q2,K03000001,,T,,1,
106,Quarter,2005 Q3,K03000001,,T,,1,
112,Quarter,2005 Q4,K03000001,,T,,1,
103,Quarter,2006 Q1,K03000001,,T,,1,
103,Quarter,2006 Q2,K03000001,,T,,1,
