V4_0,Time_codelist,Time,Geography_codelist,Geography,Industry_codelist,Industry,Region_codelist,Region
10,Quarter,1996 Q1,K03000001,,A,,NE,
10,Quarter,1996 Q2,K03000001,,A,,NE,
10,Quarter,1996 Q3,K03000001,,A,,NE,
10,Quarter,1996 Q4,K03000001,,A,,NE,
9,Quarter,1997 Q1,K03000001,,A,,NE,
11,Quarter,1997 Q2,K03000001,,A,,NE,
11,Quarter,1997 Q3,K03000001,,A,,NE,
9,Quarter,1997 Q4,K03000001,,A,,NE,
9,Quarter,1998 Q1,K03000001,,A,,NE,
10,Quarter,1998 Q2,K03000001,,A,,NE,
10,Quarter,1998 Q3,K03000001,,A,,NE,
12,Quarter,1998 Q4,K03000001,,A,,NE,
10,Quarter,1999 Q1,K03000001,,A,,NE,
8,Quarter,1999 Q2,K03000001,,A,,NE,
9,Quarter,1999 Q3,K03000001,,A,,NE,
9,Quarter,1999 Q4,K03000001,,A,,NE,
8,Quarter,2000 Q1,K03000001,,A,,NE,
10,Quarter,2000 Q2,K03000001,,A,,NE,
10,Quarter,2000 Q3,K03000001,,A,,NE,
7,Quarter,2000 Q4,K03000001,,A,,NE,
11,Quarter,2001 Q1,K03000001,,A,,NE,
10,Quarter,2001 Q2,K03000001,,A,,NE,
10,Quarter,2001 Q3,K03000001,,A,,NE,
11,Quarter,2001 Q4,K03000001,,A,,NE,
8,Quarter,2002 Q1,K03000001,,A,,NE,
7,Quarter,2002 Q2,K03000001,,A,,NE,
6,Quarter,2002 Q3,K03000001,,A,,NE,
6,Quarter,2002 Q4,K03000001,,A,,NE,
8,Quarter,2003 Q1,K03000001,,A,,NE,
10,Quarter,2003 Q2,K03000001,,A,,NE,
8,Quarter,2003 Q3,K03000001,,A,,NE,
9,Quarter,2003 Q4,K03000001,,A,,NE,
9,Quarter,2004 Q1,K03000001,,A,,NE,
9,Quarter,2004 Q2,K03000001,,A,,NE,
11,Quarter,2004 Q3,K03000001,,A,,NE,
12,Quarter,2004 Q4,K03000001,,A,,NE,
11,Quarter,2005 Q1,K03000001,,A,,NE,
9,Quarter,2005 Q2,K03000001,,A,,NE,
8,Quarter,2005 Q3,K03000001,,A,,NE,
10,Quarter,2005 Q4,K03000001,,A,,NE,
8,Quarter,2006 Q1,K03000001,,A,,NE,
10,Quarter,2006 Q2,K03000001,,A,,NE,
6,Quarter,2006 Q3,K03000001,,A,,NE,
9,Quarter,2006 Q4,K03000001,,A,,NE,
4,Quarter,2007 Q1,K03000001,,A,,NE,
4,Quarter,2007 Q2,K03000001,,A,,NE,
5,Quarter,2007 Q3,K03000001,,A,,NE,
8,Quarter,2007 Q4,K03000001,,A,,NE,
7,Quarter,2008 Q1,K03000001,,A,,NE,
7,Quarter,2008 Q2,K03000001,,A,,NE,
9,Quarter,2008 Q3,K03000001,,A,,NE,
8,Quarter,2008 Q4,K03000001,,A,,NE,
8,Quarter,2009 Q1,K03000001,,A,,NE,
8,Quarter,2009 Q2,K03000001,,A,,NE,
9,Quarter,2009 Q3,K03000001,,A,,NE,
9,Quarter,2009 Q4,K03000001,,A,,NE,
6,Quarter,2010 Q1,K03000001,,A,,NE,
10,Quarter,2010 Q2,K03000001,,A,,NE,
6,Quarter,2010 Q3,K03000001,,A,,NE,
