V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Gender_codelist,Gender
58.0,Week,2017-01-06,K04000001,,,58,,Person
56.0,Week,2017-01-13,K04000001,,,58,,Person
54.0,Week,2017-01-20,K04000001,,,58,,Person
52.0,Week,2017-01-27,K04000001,,,58,,Person
55.0,Week,2017-02-03,K04000001,,,58,,Person
57.0,Week,2017-02-10,K04000001,,,58,,Person
49.0,Week,2017-02-17,K04000001,,,58,,Person
47.0,Week,2017-02-24,K04000001,,,58,,Person
53.0,Week,2017-03-03,K04000001,,,58,,Person
54.0,Week,2017-03-10,K04000001,,,58,,Person
59.0,Week,2017-03-17,K04000001,,,58,,Person
55.0,Week,2017-03-24,K04000001,,,58,,Person
65.0,Week,2017-03-31,K04000001,,,58,,Person
59.0,Week,2017-04-07,K04000001,,,58,,Person
38.0,Week,2017-04-14,K04000001,,,58,,Person
68.0,Week,2017-04-21,K04000001,,,58,,Person
70.0,Week,2017-04-28,K04000001,,,58,,Person
44.0,Week,2017-05-05,K04000001,,,58,,Person
41.0,Week,2017-05-12,K04000001,,,58,,Person
38.0,Week,2017-05-19,K04000001,,,58,,Person
71.0,Week,2017-05-26,K04000001,,,58,,Person
49.0,Week,2017-06-02,K04000001,,,58,,Person
57.0,Week,2017-06-09,K04000001,,,58,,Person
18.0,Week,2017-01-06,K04000001,,,18,,Person
18.0,Week,2017-01-13,K04000001,,,18,,Person
19.0,Week,2017-01-20,K04000001,,,18,,Person
16.0,Week,2017-01-27,K04000001,,,18,,Person
14.0,Week,2017-02-03,K04000001,,,18,,Person
17.0,Week,2017-02-10,K04000001,,,18,,Person
18.0,Week,2017-02-17,K04000001,,,18,,Person
20.0,Week,2017-02-24,K04000001,,,18,,Person
22.0,Week,2017-03-03,K04000001,,,18,,Person
17.0,Week,2017-03-10,K04000001,,,18,,Person
7.0,Week,2017-03-17,K04000001,,,18,,Person
13.0,Week,2017-03-24,K04000001,,,18,,Person
20.0,Week,2017-03-31,K04000001,,,18,,Person
21.0,Week,2017-04-07,K04000001,,,18,,Person
20.0,Week,2017-04-14,K04000001,,,18,,Person
19.0,Week,2017-04-21,K04000001,,,18,,Person
20.0,Week,2017-04-28,K04000001,,,18,,Person
18.0,Week,2017-05-05,K04000001,,,18,,Person
23.0,Week,2017-05-12,K04000001,,,18,,Person
18.0,Week,2017-05-19,K04000001,,,18,,Person
21.0,Week,2017-05-26,K04000001,,,18,,Person
12.0,Week,2017-06-02,K04000001,,,18,,Person
27.0,Week,2017-06-09,K04000001,,,18,,Person
215.0,Week,2017-01-06,K04000001,,,215,,Person
287.0,Week,2017-01-13,K04000001,,,215,,Person
301.0,Week,2017-01-20,K04000001,,,215,,Person
286.0,Week,2017-01-27,K04000001,,,215,,Person
308.0,Week,2017-02-03,K04000001,,,215,,Person
293.0,Week,2017-02-10,K04000001,,,215,,Person
295.0,Week,2017-02-17,K04000001,,,215,,Person
286.0,Week,2017-02-24,K04000001,,,215,,Person
254.0,Week,2017-03-03,K04000001,,,215,,Person
316.0,Week,2017-03-10,K04000001,,,215,,Person
274.0,Week,2017-03-17,K04000001,,,215,,Person
268.0,Week,2017-03-24,K04000001,,,215,,Person
307.0,Week,2017-03-31,K04000001,,,215,,Person
