V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type,Percentage Change_codelist,Percentage Change
5.48674119262,Month,Jan 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
6.121161671313,Month,Jan 2001,K03000001,,,Private sector,,Total Pay,,Single month
2.787129063043,Month,Jan 2001,K03000001,,,Public sector,,Total Pay,,Single month
6.320217546187,Month,Jan 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
13.509028273742,Month,Jan 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
2.813249168456,Month,Jan 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
2.492476901242,Month,Jan 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
8.573784101567,Month,Jan 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
3.166749761364,Month,Jan 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
8.363366238896,Month,Feb 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
9.503481220669,Month,Feb 2001,K03000001,,,Private sector,,Total Pay,,Single month
2.740347626594,Month,Feb 2001,K03000001,,,Public sector,,Total Pay,,Single month
9.521217615963,Month,Feb 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
21.554398815706,Month,Feb 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
2.729990138575,Month,Feb 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
4.779520348803,Month,Feb 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
5.293344878811,Month,Feb 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
3.886887504735,Month,Feb 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
4.775642079683,Month,Mar 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
6.187277042682,Month,Mar 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
4.837585092534,Month,Mar 2001,K03000001,,,Private sector,,Total Pay,,Single month
6.78065013872,Month,Mar 2001,K03000001,,,Private sector,,Total Pay,,3 month average
4.107580523291,Month,Mar 2001,K03000001,,,Public sector,,Total Pay,,Single month
3.21005046951,Month,Mar 2001,K03000001,,,Public sector,,Total Pay,,3 month average
4.867827425241,Month,Mar 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
6.867832783243,Month,Mar 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
5.648686227476,Month,Mar 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
13.212517300778,Month,Mar 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
4.14505081142,Month,Mar 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
3.227465109237,Month,Mar 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
4.583912274576,Month,Mar 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.943564749679,Month,Mar 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
7.308902340509,Month,Mar 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
7.048779055715,Month,Mar 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
6.76706398484,Month,Mar 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
4.603923430944,Month,Mar 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
5.745040951342,Month,Apr 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
6.272066676441,Month,Apr 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
5.776461270486,Month,Apr 2001,K03000001,,,Private sector,,Total Pay,,Single month
6.661605869798,Month,Apr 2001,K03000001,,,Private sector,,Total Pay,,3 month average
5.804770036407,Month,Apr 2001,K03000001,,,Public sector,,Total Pay,,Single month
4.209045615219,Month,Apr 2001,K03000001,,,Public sector,,Total Pay,,3 month average
7.076835846916,Month,Apr 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
7.120340657707,Month,Apr 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
8.32425915146,Month,Apr 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
11.448406541957,Month,Apr 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
5.654581401413,Month,Apr 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
4.16987722315,Month,Apr 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
1.568450982876,Month,Apr 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.626523068718,Month,Apr 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
8.462840995215,Month,Apr 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
7.017001069967,Month,Apr 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
4.785672566721,Month,Apr 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
5.143367136568,Month,Apr 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
4.930279619153,Month,May 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
5.149683050676,Month,May 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
4.719864838748,Month,May 2001,K03000001,,,Private sector,,Total Pay,,Single month
5.109968426602,Month,May 2001,K03000001,,,Private sector,,Total Pay,,3 month average
6.013976092814,Month,May 2001,K03000001,,,Public sector,,Total Pay,,Single month
5.305951226876,Month,May 2001,K03000001,,,Public sector,,Total Pay,,3 month average
5.307122782785,Month,May 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
5.743162414823,Month,May 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
4.94848432066,Month,May 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
6.290444829723,Month,May 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
5.958765888293,Month,May 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
5.251522300143,Month,May 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.52222180679,Month,May 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.213511151738,Month,May 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
8.822455100103,Month,May 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
8.201680400753,Month,May 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
3.577668709176,Month,May 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
5.03496306599,Month,May 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
5.82489179771,Month,Jun 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
5.499121034627,Month,Jun 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
5.828474136474,Month,Jun 2001,K03000001,,,Private sector,,Total Pay,,Single month
5.440044027426,Month,Jun 2001,K03000001,,,Private sector,,Total Pay,,3 month average
5.558201387928,Month,Jun 2001,K03000001,,,Public sector,,Total Pay,,Single month
5.791767291051,Month,Jun 2001,K03000001,,,Public sector,,Total Pay,,3 month average
6.294599802097,Month,Jun 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
6.221483289785,Month,Jun 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
