V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type
307.33914797041,Month,Jan 2000,K03000001,,,Whole Economy,,Total Pay
305.116143073671,Month,Jan 2000,K03000001,,,Private sector,,Total Pay
313.381473467158,Month,Jan 2000,K03000001,,,Public sector,,Total Pay
290.169243425328,Month,Jan 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
359.043590949386,Month,Jan 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
312.686460312383,Month,Jan 2000,K03000001,,,Public sector excluding financial services,,Total Pay
362.917333524808,Month,Jan 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
356.446077734773,Month,Jan 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
208.694565083174,Month,Jan 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
300.480808640198,Month,Feb 2000,K03000001,,,Whole Economy,,Total Pay
294.23425372113,Month,Feb 2000,K03000001,,,Private sector,,Total Pay
315.18941350334,Month,Feb 2000,K03000001,,,Public sector,,Total Pay
283.060817034357,Month,Feb 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
337.365912693218,Month,Feb 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
314.497704536507,Month,Feb 2000,K03000001,,,Public sector excluding financial services,,Total Pay
356.064023598023,Month,Feb 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
362.748654967669,Month,Feb 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
209.18660484123,Month,Feb 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
310.682975107765,Month,Mar 2000,K03000001,,,Whole Economy,,Total Pay
308.754251437458,Month,Mar 2000,K03000001,,,Private sector,,Total Pay
312.614709576542,Month,Mar 2000,K03000001,,,Public sector,,Total Pay
296.083296608474,Month,Mar 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
386.143847878857,Month,Mar 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
311.659665124763,Month,Mar 2000,K03000001,,,Public sector excluding financial services,,Total Pay
357.573363820893,Month,Mar 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
358.289030181682,Month,Mar 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
207.996028766794,Month,Mar 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
310.196884334828,Month,Apr 2000,K03000001,,,Whole Economy,,Total Pay
308.427463211945,Month,Apr 2000,K03000001,,,Private sector,,Total Pay
309.976792562889,Month,Apr 2000,K03000001,,,Public sector,,Total Pay
291.063210017324,Month,Apr 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
